date,PRC,is_prediction
2012/01/03,45.03,True
2012/01/04,45.0,True
2012/01/05,44.94,True
2012/01/06,44.48,True
2012/01/09,44.95,True
2012/01/10,44.79,True
2012/01/11,45.06,True
2012/01/12,45.11,True
2012/01/13,45.27,True
2012/01/17,45.19,True
2012/01/18,45.45,True
2012/01/19,44.98,True
2012/01/20,45.3,True
2012/01/23,45.37,True
2012/01/24,44.9,True
2012/01/25,45.12,True
2012/01/26,45.32,True
2012/01/27,45.02,True
2012/01/30,45.04,True
2012/01/31,45.56,True
2012/02/01,45.375,True
2012/02/02,44.28,True
2012/02/03,44.3,True
2012/02/06,44.2,True
2012/02/07,44.49,True
2012/02/08,44.61,True
2012/02/09,44.68,True
2012/02/10,44.61,True
2012/02/13,44.42,True
2012/02/14,44.54,True
2012/02/15,44.2,True
2012/02/16,44.42,True
2012/02/17,44.38,True
2012/02/21,44.06,True
2012/02/22,44.18,True
2012/02/23,44.24,True
2012/02/24,44.54,True
2012/02/27,44.43,True
2012/02/28,44.34,True
2012/02/29,44.19,True
2012/03/01,44.37,True
2012/03/02,44.27,True
2012/03/05,44.2,True
2012/03/06,44.65,True
2012/03/07,44.63,True
2012/03/08,44.77,True
2012/03/09,45.11,True
2012/03/12,45.39,True
2012/03/13,45.41,True
2012/03/14,44.85,True
2012/03/15,44.87,True
2012/03/16,44.34,True
2012/03/19,44.03,True
2012/03/20,44.02,True
2012/03/21,43.96,True
2012/03/22,44.07,True
2012/03/23,44.12,True
2012/03/26,44.51,True
2012/03/27,44.76,True
2012/03/28,44.63,True
2012/03/29,44.84,True
2012/03/30,44.93,True
2012/04/02,45.06,True
2012/04/03,45.24,True
2012/04/04,45.16,True
2012/04/05,44.97,True
2012/04/09,44.72,True
2012/04/10,44.36,True
2012/04/11,44.5,True
2012/04/12,44.76,True
2012/04/13,44.74,True
2012/04/16,45.18,True
2012/04/17,45.39,True
2012/04/18,45.55,True
2012/04/19,45.5,True
2012/04/20,45.83,True
2012/04/23,45.58,True
2012/04/24,45.87,True
2012/04/25,45.48,True
2012/04/26,45.89,True
2012/04/27,45.99,True
2012/04/30,45.94,True
2012/05/01,46.14,True
2012/05/02,45.9,True
2012/05/03,45.19,True
2012/05/04,45.36,True
2012/05/07,45.44,True
2012/05/08,45.7,True
2012/05/09,45.37,True
2012/05/10,45.65,True
2012/05/11,45.54,True
2012/05/14,45.45,True
2012/05/15,45.4,True
2012/05/16,45.38,True
2012/05/17,45.2,True
2012/05/18,45.48,True
2012/05/21,45.51,True
2012/05/22,45.55,True
2012/05/23,45.37,True
2012/05/24,45.6,True
2012/05/25,45.69,True
2012/05/29,45.87,True
2012/05/30,45.85,True
2012/05/31,45.91,True
2012/06/01,45.95,True
2012/06/04,46.06,True
2012/06/05,46.12,True
2012/06/06,47.03,True
2012/06/07,47.3,True
2012/06/08,47.38,True
2012/06/11,47.33,True
2012/06/12,47.31,True
2012/06/13,47.45,True
2012/06/14,47.62,True
2012/06/15,48.0,True
2012/06/18,48.29,True
2012/06/19,47.7,True
2012/06/20,46.76,True
2012/06/21,46.46,True
2012/06/22,46.55,True
2012/06/25,46.25,True
2012/06/26,46.34,True
2012/06/27,46.6,True
2012/06/28,46.66,True
2012/06/29,46.3,True
2012/07/02,46.71,True
2012/07/03,46.49,True
2012/07/05,46.45,True
2012/07/06,46.54,True
2012/07/09,46.83,True
2012/07/10,46.94,True
2012/07/11,47.19,True
2012/07/12,47.2,True
2012/07/13,47.61,True
2012/07/16,47.58,True
2012/07/17,47.7,True
2012/07/18,47.81,True
2012/07/19,47.7,True
2012/07/20,47.77,True
2012/07/23,47.63,True
2012/07/24,47.11,True
2012/07/25,47.4,True
2012/07/26,48.08,True
2012/07/27,48.42,True
2012/07/30,48.33,True
2012/07/31,48.15,True
2012/08/01,47.89,True
2012/08/02,47.09,True
2012/08/03,47.35,True
2012/08/06,47.39,True
2012/08/07,47.14,True
2012/08/08,46.93,True
2012/08/09,46.81,True
2012/08/10,46.92,True
2012/08/13,46.78,True
2012/08/14,46.6,True
2012/08/15,46.39,True
2012/08/16,46.07,True
2012/08/17,46.08,True
2012/08/20,45.97,True
2012/08/21,45.82,True
2012/08/22,46.09,True
2012/08/23,45.58,True
2012/08/24,45.88,True
2012/08/27,46.03,True
2012/08/28,45.77,True
2012/08/29,45.52,True
2012/08/30,45.38,True
2012/08/31,45.33,True
2012/09/04,45.47,True
2012/09/05,45.37,True
2012/09/06,46.07,True
2012/09/07,45.91,True
2012/09/10,45.69,True
2012/09/11,45.42,True
2012/09/12,45.32,True
2012/09/13,45.92,True
2012/09/14,45.05,True
2012/09/17,44.93,True
2012/09/18,44.96,True
2012/09/19,45.17,True
2012/09/20,45.24,True
2012/09/21,45.26,True
2012/09/24,45.82,True
2012/09/25,45.74,True
2012/09/26,46.11,True
2012/09/27,45.92,True
2012/09/28,46.09,True
2012/10/01,45.67,True
2012/10/02,45.57,True
2012/10/03,45.85,True
2012/10/04,45.97,True
2012/10/05,45.97,True
2012/10/08,46.07,True
