date,PRC,is_prediction
2012/01/03,77.49,True
2012/01/04,76.72,True
2012/01/05,76.93,True
2012/01/06,77.45,True
2012/01/09,77.36,True
2012/01/10,79.81,True
2012/01/11,80.77,True
2012/01/12,83.66,True
2012/01/13,84.06,True
2012/01/17,84.17,True
2012/01/18,84.06,True
2012/01/19,83.56,True
2012/01/20,84.3,True
2012/01/23,84.11,True
2012/01/24,84.29,True
2012/01/25,84.17,True
2012/01/26,83.72,True
2012/01/27,83.5,True
2012/01/30,82.89,True
2012/01/31,84.02,True
2012/02/01,85.02,True
2012/02/02,85.3,True
2012/02/03,86.9,True
2012/02/06,86.14,True
2012/02/07,84.76,True
2012/02/08,84.79,True
2012/02/09,85.27,True
2012/02/10,84.53,True
2012/02/13,86.24,True
2012/02/14,87.94,True
2012/02/15,86.91,True
2012/02/16,87.59,True
2012/02/17,88.05,True
2012/02/21,88.09,True
2012/02/22,87.91,True
2012/02/23,89.27,True
2012/02/24,89.23,True
2012/02/27,87.96,True
2012/02/28,86.87,True
2012/02/29,86.77,True
2012/03/01,86.59,True
2012/03/02,85.94,True
2012/03/05,86.24,True
2012/03/06,85.41,True
2012/03/07,85.45,True
2012/03/08,86.67,True
2012/03/09,87.75,True
2012/03/12,87.8,True
2012/03/13,87.86,True
2012/03/14,87.0,True
2012/03/15,86.44,True
2012/03/16,86.88,True
2012/03/19,86.81,True
2012/03/20,85.39,True
2012/03/21,85.43,True
2012/03/22,85.435,True
2012/03/23,84.66,True
2012/03/26,85.9,True
2012/03/27,85.47,True
2012/03/28,84.94,True
2012/03/29,84.18,True
2012/03/30,83.64,True
2012/04/02,84.2,True
2012/04/03,84.43,True
2012/04/04,84.65,True
2012/04/05,85.57,True
2012/04/09,84.77,True
2012/04/10,84.44,True
2012/04/11,85.57,True
2012/04/12,86.67,True
2012/04/13,86.1,True
2012/04/16,86.12,True
2012/04/17,87.02,True
2012/04/18,87.75,True
2012/04/19,87.28,True
2012/04/20,87.91,True
2012/04/23,87.11,True
2012/04/24,87.22,True
2012/04/25,87.1,True
2012/04/26,85.97,True
2012/04/27,87.64,True
2012/04/30,86.6,True
2012/05/01,87.54,True
2012/05/02,87.38,True
2012/05/03,86.53,True
2012/05/04,84.62,True
2012/05/07,85.22,True
2012/05/08,84.87,True
2012/05/09,83.19,True
2012/05/10,83.32,True
2012/05/11,83.24,True
2012/05/14,81.45,True
2012/05/15,81.78,True
2012/05/16,83.07,True
2012/05/17,82.4,True
2012/05/18,81.37,True
2012/05/21,82.82,True
2012/05/22,83.95,True
2012/05/23,85.76,True
2012/05/24,86.8,True
2012/05/25,86.31,True
2012/05/29,87.01,True
2012/05/30,86.93,True
2012/05/31,87.26,True
2012/06/01,85.76,True
2012/06/04,85.84,True
2012/06/05,85.83,True
2012/06/06,86.72,True
2012/06/07,86.04,True
2012/06/08,87.54,True
2012/06/11,87.71,True
2012/06/12,88.04,True
2012/06/13,87.56,True
2012/06/14,88.02,True
2012/06/15,87.77,True
2012/06/18,89.18,True
2012/06/19,90.75,True
2012/06/20,90.36,True
2012/06/21,88.68,True
2012/06/22,88.47,True
2012/06/25,88.4,True
2012/06/26,88.76,True
2012/06/27,89.78,True
2012/06/28,89.55,True
2012/06/29,91.67,True
2012/07/02,92.56,True
2012/07/03,92.93,True
2012/07/05,92.82,True
2012/07/06,92.47,True
2012/07/09,92.51,True
2012/07/10,93.42,True
2012/07/11,92.38,True
2012/07/12,92.53,True
2012/07/13,92.82,True
2012/07/16,93.02,True
2012/07/17,93.32,True
2012/07/18,93.16,True
2012/07/19,94.17,True
2012/07/20,93.34,True
2012/07/23,92.63,True
2012/07/24,91.38,True
2012/07/25,91.72,True
2012/07/26,92.22,True
2012/07/27,94.52,True
2012/07/30,93.99,True
2012/07/31,92.85,True
2012/08/01,91.85,True
2012/08/02,90.4,True
2012/08/03,91.84,True
2012/08/06,91.42,True
2012/08/07,90.35,True
2012/08/08,89.67,True
2012/08/09,89.06,True
2012/08/10,89.82,True
2012/08/13,89.77,True
2012/08/14,90.0,True
2012/08/15,90.13,True
2012/08/16,91.51,True
2012/08/17,91.47,True
2012/08/20,90.56,True
2012/08/21,90.23,True
2012/08/22,90.29,True
2012/08/23,90.24,True
2012/08/24,91.26,True
2012/08/27,91.1,True
2012/08/28,91.3,True
2012/08/29,92.42,True
2012/08/30,91.55,True
2012/08/31,91.52,True
2012/09/04,91.51,True
2012/09/05,91.97,True
2012/09/06,93.4,True
2012/09/07,93.6,True
2012/09/10,93.03,True
2012/09/11,93.19,True
2012/09/12,93.28,True
2012/09/13,93.32,True
2012/09/14,93.17,True
2012/09/17,93.9,True
2012/09/18,94.43,True
2012/09/19,93.66,True
2012/09/20,91.43,True
2012/09/21,91.6,True
2012/09/24,92.0,True
2012/09/25,91.44,True
2012/09/26,90.05,True
2012/09/27,89.995,True
2012/09/28,90.4831,True
2012/10/01,90.635,True
2012/10/02,91.025,True
2012/10/03,91.055,True
2012/10/04,92.03,True
2012/10/05,91.76,True
2012/10/08,91.17,True
2012/10/09,89.65,True
2012/10/10,89.96,True
2012/10/11,90.24,True
2012/10/12,89.99,True
2012/10/15,91.28,True
2012/10/16,92.07,True
2012/10/17,93.14,True
2012/10/18,93.6108,True
2012/10/19,91.87,True
2012/10/22,92.16,True
2012/10/23,92.2,True
2012/10/24,89.06,True
2012/10/25,95.21,True
2012/10/26,94.57,True
2012/10/31,94.76,True
2012/11/01,95.76,True
2012/11/02,94.77,True
2012/11/05,94.5245,True
2012/11/06,94.81,True
2012/11/07,93.7,True
2012/11/08,91.97,True
2012/11/09,92.41,True
2012/11/12,92.38,True
2012/11/13,92.33,True
2012/11/14,90.49,True
2012/11/15,90.37,True
2012/11/16,90.07,True
2012/11/19,89.9,True
2012/11/20,90.54,True
2012/11/21,91.69,True
2012/11/23,92.16,True
2012/11/26,92.45,True
2012/11/27,93.41,True
2012/11/28,92.93,True
2012/11/29,93.79,True
2012/11/30,93.47,True
2012/12/03,93.2277,True
2012/12/04,93.4231,True
2012/12/05,93.9634,True
2012/12/06,94.36,True
2012/12/07,94.26,True
2012/12/10,94.9,True
2012/12/11,94.59,True
2012/12/12,93.87,True
2012/12/13,93.3,True
2012/12/14,93.26,True
2012/12/17,93.65,True
2012/12/18,94.0291,True
2012/12/19,92.47,True
2012/12/20,92.69,True
2012/12/21,91.66,True
2012/12/24,91.92,True
2012/12/26,91.47,True
2012/12/27,92.19,True
2012/12/28,91.9,True
2012/12/31,93.28,True
2013/01/01,93.29767274081242,False
2013/01/02,93.32505221495032,False
2013/01/03,93.40714572703834,False
2013/01/04,93.37521567910743,False
2013/01/07,93.33980275017441,False
2013/01/08,93.46731195094526,False
2013/01/09,93.4911659465142,False
2013/01/10,93.56125488317295,False
2013/01/11,93.64370009383889,False
2013/01/14,93.69876577581026,False
2013/01/15,93.76096905629124,False
2013/01/16,93.82994937456942,False
2013/01/17,93.88617941906998,False
2013/01/18,93.9495684259986,False
2013/01/21,94.01305984608486,False
2013/01/22,94.07370030517635,False
2013/01/23,94.13662066256254,False
2013/01/24,94.19946958023651,False
2013/01/25,94.26118722305003,False
2013/01/28,94.32388987168348,False
2013/01/29,94.38629715629641,False
2013/01/30,94.44845003927404,False
2013/01/31,94.51092393575051,False
2013/02/01,94.57327502544337,False
2013/02/04,94.63555981350952,False
2013/02/05,94.6979650268708,False
2013/02/06,94.76030671125211,False
