date,PRC,is_prediction
2012/01/03,54.83,True
2012/01/04,55.27,True
2012/01/05,55.54,True
2012/01/06,55.85,True
2012/01/09,55.88,True
2012/01/10,56.05,True
2012/01/11,55.51,True
2012/01/12,55.52,True
2012/01/13,55.42,True
2012/01/17,55.92,True
2012/01/18,55.54,True
2012/01/19,55.64,True
2012/01/20,56.3,True
2012/01/23,56.22,True
2012/01/24,56.22,True
2012/01/25,57.19,True
2012/01/26,58.18,True
2012/01/27,57.67,True
2012/01/30,56.97,True
2012/01/31,56.9,True
2012/02/01,57.8,True
2012/02/02,57.61,True
2012/02/03,58.3,True
2012/02/06,57.46,True
2012/02/07,58.34,True
2012/02/08,58.31,True
2012/02/09,58.17,True
2012/02/10,57.5,True
2012/02/13,57.52,True
2012/02/14,57.49,True
2012/02/15,57.45,True
2012/02/16,57.96,True
2012/02/17,58.32,True
2012/02/21,58.24,True
2012/02/22,58.27,True
2012/02/23,57.67,True
2012/02/24,58.04,True
2012/02/27,57.9,True
2012/02/28,58.38,True
2012/02/29,59.24,True
2012/03/01,59.3,True
2012/03/02,58.89,True
2012/03/05,58.9,True
2012/03/06,58.32,True
2012/03/07,58.29,True
2012/03/08,58.45,True
2012/03/09,59.17,True
2012/03/12,59.66,True
2012/03/13,59.95,True
2012/03/14,59.08,True
2012/03/15,59.16,True
2012/03/16,58.71,True
2012/03/19,58.19,True
2012/03/20,58.7,True
2012/03/21,58.85,True
2012/03/22,58.3,True
2012/03/23,58.13,True
2012/03/26,58.62,True
2012/03/27,59.05,True
2012/03/28,58.36,True
2012/03/29,59.25,True
2012/03/30,59.96,True
2012/04/02,61.14,True
2012/04/03,62.28,True
2012/04/04,62.16,True
2012/04/05,62.43,True
2012/04/09,62.29,True
2012/04/10,62.0,True
2012/04/11,62.68,True
2012/04/12,62.89,True
2012/04/13,62.39,True
2012/04/16,63.18,True
2012/04/17,64.03,True
2012/04/18,63.45,True
2012/04/19,63.51,True
2012/04/20,64.51,True
2012/04/23,63.46,True
2012/04/24,64.09,True
2012/04/25,64.12,True
2012/04/26,63.91,True
2012/04/27,64.8,True
2012/04/30,64.74,True
2012/05/01,65.06,True
2012/05/02,63.88,True
2012/05/03,64.45,True
2012/05/04,64.92,True
2012/05/07,65.04,True
2012/05/08,64.74,True
2012/05/09,64.19,True
2012/05/10,64.97,True
2012/05/11,64.89,True
2012/05/14,64.74,True
2012/05/15,64.25,True
2012/05/16,63.92,True
2012/05/17,63.72,True
2012/05/18,63.44,True
2012/05/21,64.04,True
2012/05/22,64.02,True
2012/05/23,63.42,True
2012/05/24,64.05,True
2012/05/25,64.35,True
2012/05/29,64.73,True
2012/05/30,64.55,True
2012/05/31,65.01,True
2012/06/01,64.07,True
2012/06/04,64.34,True
2012/06/05,64.08,True
2012/06/06,65.37,True
2012/06/07,66.18,True
2012/06/08,66.73,True
2012/06/11,66.52,True
2012/06/12,66.95,True
2012/06/13,67.06,True
2012/06/14,67.49,True
2012/06/15,67.85,True
2012/06/18,68.73,True
2012/06/19,69.26,True
2012/06/20,68.52,True
2012/06/21,67.86,True
2012/06/22,67.2,True
2012/06/25,66.61,True
2012/06/26,67.71,True
2012/06/27,67.97,True
2012/06/28,68.19,True
2012/06/29,68.88,True
2012/07/02,69.4,True
2012/07/03,69.29,True
2012/07/05,68.78,True
2012/07/06,68.71,True
2012/07/09,68.49,True
2012/07/10,68.1,True
2012/07/11,68.46,True
2012/07/12,68.41,True
2012/07/13,69.03,True
2012/07/16,68.66,True
2012/07/17,69.51,True
2012/07/18,70.26,True
2012/07/19,70.43,True
2012/07/20,70.69,True
2012/07/23,69.43,True
2012/07/24,68.77,True
2012/07/25,68.07,True
2012/07/26,69.68,True
2012/07/27,70.86,True
2012/07/30,70.86,True
2012/07/31,70.41,True
2012/08/01,70.08,True
2012/08/02,69.23,True
2012/08/03,70.22,True
2012/08/06,69.72,True
2012/08/07,69.46,True
2012/08/08,68.89,True
2012/08/09,68.88,True
2012/08/10,69.03,True
2012/08/13,68.6,True
2012/08/14,69.33,True
2012/08/15,69.29,True
2012/08/16,68.92,True
2012/08/17,68.74,True
2012/08/20,68.83,True
2012/08/21,67.75,True
2012/08/22,67.75,True
2012/08/23,66.95,True
2012/08/24,67.18,True
2012/08/27,67.23,True
2012/08/28,66.74,True
2012/08/29,66.83,True
2012/08/30,66.4,True
2012/08/31,66.2,True
2012/09/04,66.13,True
2012/09/05,65.74,True
2012/09/06,66.79,True
2012/09/07,66.61,True
2012/09/10,66.57,True
2012/09/11,66.59,True
2012/09/12,66.29,True
2012/09/13,67.22,True
2012/09/14,65.79,True
2012/09/17,65.45,True
2012/09/18,64.68,True
2012/09/19,64.73,True
2012/09/20,64.79,True
2012/09/21,64.54,True
2012/09/24,65.01,True
2012/09/25,65.02,True
2012/09/26,64.14,True
2012/09/27,64.06,True
2012/09/28,64.49,True
2012/10/01,64.64,True
2012/10/02,65.11,True
2012/10/03,66.06,True
2012/10/04,66.39,True
2012/10/05,66.68,True
2012/10/08,66.91,True
2012/10/09,66.74,True
2012/10/10,66.76,True
2012/10/11,67.01,True
2012/10/12,66.88,True
2012/10/15,67.54,True
2012/10/16,67.88,True
2012/10/17,68.36,True
2012/10/18,68.35,True
2012/10/19,67.78,True
2012/10/22,68.09,True
2012/10/23,67.76,True
2012/10/24,67.66,True
2012/10/25,68.65,True
2012/10/26,68.98,True
2012/10/31,69.75,True
2012/11/01,68.99,True
2012/11/02,69.13,True
2012/11/05,68.24,True
2012/11/06,68.76,True
2012/11/07,67.0,True
2012/11/08,66.06,True
2012/11/09,65.79,True
2012/11/12,65.77,True
2012/11/13,66.19,True
2012/11/14,65.7,True
2012/11/15,65.19,True
2012/11/16,66.08,True
2012/11/19,65.91,True
2012/11/20,66.57,True
2012/11/21,66.3,True
2012/11/23,66.05,True
2012/11/26,66.78,True
2012/11/27,66.61,True
2012/11/28,67.48,True
2012/11/29,67.78,True
2012/11/30,68.42,True
2012/12/03,68.66,True
2012/12/04,68.24,True
2012/12/05,70.3,True
2012/12/06,71.5,True
2012/12/07,71.34,True
2012/12/10,71.22,True
2012/12/11,71.53,True
2012/12/12,71.36,True
2012/12/13,71.44,True
2012/12/14,71.5,True
2012/12/17,72.74,True
2012/12/18,72.65,True
2012/12/19,72.26,True
2012/12/20,71.95,True
2012/12/21,71.96,True
2012/12/24,71.71,True
2012/12/26,70.99,True
2012/12/27,70.74,True
2012/12/28,70.19,True
2012/12/31,70.94,True
2013/01/01,71.01462617435052,False
2013/01/02,71.16527947680432,False
2013/01/03,71.19819117925455,False
2013/01/04,71.16557103517694,False
2013/01/07,71.23882572087138,False
2013/01/08,71.21951636682351,False
2013/01/09,71.35062395583314,False
