date,PRC,is_prediction
2012/01/03,18.52,True
2012/01/04,18.66,True
2012/01/05,19.66,True
2012/01/06,19.75,True
2012/01/09,20.07,True
2012/01/10,20.47,True
2012/01/11,21.06,True
2012/01/12,21.05,True
2012/01/13,20.8,True
2012/01/17,20.61,True
2012/01/18,20.98,True
2012/01/19,20.24,True
2012/01/20,21.29,True
2012/01/23,21.22,True
2012/01/24,21.29,True
2012/01/25,21.62,True
2012/01/26,20.5,True
2012/01/27,20.61,True
2012/01/30,20.53,True
2012/01/31,20.57,True
2012/02/01,21.04,True
2012/02/02,21.31,True
2012/02/03,22.28,True
2012/02/06,22.1,True
2012/02/07,22.19,True
2012/02/08,22.25,True
2012/02/09,22.6,True
2012/02/10,22.03,True
2012/02/13,22.28,True
2012/02/14,21.67,True
2012/02/15,21.87,True
2012/02/16,22.56,True
2012/02/17,22.69,True
2012/02/21,23.01,True
2012/02/22,22.15,True
2012/02/23,22.32,True
2012/02/24,22.3,True
2012/02/27,22.85,True
2012/02/28,23.25,True
2012/02/29,22.96,True
2012/03/01,23.03,True
2012/03/02,22.91,True
2012/03/05,22.2,True
2012/03/06,21.54,True
2012/03/07,21.88,True
2012/03/08,22.25,True
2012/03/09,22.43,True
2012/03/12,21.88,True
2012/03/13,22.58,True
2012/03/14,23.61,True
2012/03/15,24.49,True
2012/03/16,24.38,True
2012/03/19,24.54,True
2012/03/20,24.65,True
2012/03/21,24.49,True
2012/03/22,23.63,True
2012/03/23,23.73,True
2012/03/26,24.0,True
2012/03/27,23.9,True
2012/03/28,24.29,True
2012/03/29,24.15,True
2012/03/30,24.17,True
2012/04/02,24.28,True
2012/04/03,24.47,True
2012/04/04,24.02,True
2012/04/05,24.06,True
2012/04/09,23.28,True
2012/04/10,22.84,True
2012/04/11,23.24,True
2012/04/12,23.55,True
2012/04/13,22.58,True
2012/04/16,22.83,True
2012/04/17,23.31,True
2012/04/18,23.07,True
2012/04/19,22.74,True
2012/04/20,22.6,True
2012/04/23,23.23,True
2012/04/24,23.68,True
2012/04/25,24.26,True
2012/04/26,24.42,True
2012/04/27,24.8,True
2012/04/30,24.28,True
2012/05/01,24.42,True
2012/05/02,24.31,True
2012/05/03,24.3,True
2012/05/04,23.75,True
2012/05/07,23.99,True
2012/05/08,23.64,True
2012/05/09,23.08,True
2012/05/10,23.59,True
2012/05/11,23.7,True
2012/05/14,23.01,True
2012/05/15,22.77,True
2012/05/16,22.73,True
