date,PRC,is_prediction
2012/01/03,51.07,True
2012/01/04,51.25,True
2012/01/05,51.19,True
2012/01/06,51.5,True
2012/01/09,51.8,True
2012/01/10,52.26,True
2012/01/11,53.02,True
2012/01/12,52.49,True
2012/01/13,51.73,True
2012/01/17,52.01,True
2012/01/18,52.17,True
2012/01/19,52.8,True
2012/01/20,53.14,True
2012/01/23,52.8,True
2012/01/24,52.94,True
2012/01/25,55.06,True
2012/01/26,54.87,True
2012/01/27,54.9,True
2012/01/30,55.02,True
2012/01/31,55.43,True
2012/02/01,55.22,True
2012/02/02,55.0,True
2012/02/03,55.61,True
2012/02/06,55.67,True
2012/02/07,55.18,True
2012/02/08,54.75,True
2012/02/09,53.96,True
2012/02/10,53.54,True
2012/02/13,53.87,True
2012/02/14,53.52,True
2012/02/15,53.58,True
2012/02/16,53.65,True
2012/02/17,53.6,True
2012/02/21,53.33,True
2012/02/22,53.44,True
2012/02/23,53.92,True
2012/02/24,54.78,True
2012/02/27,54.96,True
2012/02/28,54.56,True
2012/02/29,53.64,True
2012/03/01,53.14,True
2012/03/02,53.21,True
2012/03/05,52.8,True
2012/03/06,52.03,True
2012/03/07,52.05,True
2012/03/08,52.77,True
2012/03/09,52.9,True
2012/03/12,52.4,True
2012/03/13,53.33,True
2012/03/14,54.23,True
2012/03/15,55.0,True
2012/03/16,54.9,True
2012/03/19,54.95,True
2012/03/20,54.82,True
2012/03/21,54.85,True
2012/03/22,54.22,True
2012/03/23,54.44,True
2012/03/26,55.51,True
2012/03/27,55.34,True
2012/03/28,55.05,True
2012/03/29,55.08,True
2012/03/30,55.48,True
2012/04/02,55.55,True
2012/04/03,55.58,True
2012/04/04,54.77,True
2012/04/05,55.03,True
2012/04/09,54.15,True
2012/04/10,53.11,True
2012/04/11,53.83,True
2012/04/12,54.86,True
2012/04/13,53.96,True
2012/04/16,54.24,True
2012/04/17,54.89,True
2012/04/18,55.46,True
2012/04/19,54.36,True
2012/04/20,53.93,True
2012/04/23,52.7,True
2012/04/24,53.16,True
2012/04/25,53.68,True
2012/04/26,54.06,True
2012/04/27,54.56,True
2012/04/30,54.57,True
2012/05/01,54.87,True
2012/05/02,54.66,True
2012/05/03,54.76,True
2012/05/04,53.87,True
2012/05/07,54.12,True
2012/05/08,54.15,True
2012/05/09,53.25,True
2012/05/10,53.37,True
2012/05/11,53.18,True
2012/05/14,52.64,True
2012/05/15,51.99,True
2012/05/16,51.73,True
2012/05/17,50.98,True
2012/05/18,50.26,True
2012/05/21,51.43,True
2012/05/22,51.72,True
2012/05/23,51.28,True
2012/05/24,51.72,True
2012/05/25,51.85,True
2012/05/29,52.59,True
2012/05/30,51.55,True
2012/05/31,51.45,True
2012/06/01,50.01,True
2012/06/04,49.84,True
2012/06/05,50.79,True
2012/06/06,51.25,True
2012/06/07,51.19,True
2012/06/08,51.31,True
2012/06/11,51.41,True
2012/06/12,51.78,True
2012/06/13,51.49,True
2012/06/14,52.34,True
2012/06/15,54.15,True
2012/06/18,54.57,True
2012/06/19,55.19,True
2012/06/20,54.9,True
2012/06/21,53.75,True
2012/06/22,54.57,True
2012/06/25,53.71,True
2012/06/26,53.82,True
2012/06/27,54.33,True
2012/06/28,53.79,True
2012/06/29,55.1,True
2012/07/02,54.67,True
2012/07/03,54.68,True
2012/07/05,54.21,True
2012/07/06,53.54,True
2012/07/09,53.67,True
2012/07/10,53.06,True
2012/07/11,53.06,True
2012/07/12,52.72,True
2012/07/13,53.05,True
2012/07/16,52.9,True
2012/07/17,53.72,True
2012/07/18,53.57,True
2012/07/19,52.14,True
2012/07/20,51.38,True
2012/07/23,50.75,True
2012/07/24,50.75,True
2012/07/25,51.27,True
2012/07/26,51.3,True
2012/07/27,52.41,True
2012/07/30,52.34,True
2012/07/31,52.03,True
2012/08/01,52.83,True
2012/08/02,51.4,True
2012/08/03,52.75,True
2012/08/06,52.94,True
2012/08/07,53.0,True
2012/08/08,52.99,True
2012/08/09,52.79,True
2012/08/10,53.06,True
2012/08/13,53.2,True
2012/08/14,53.79,True
2012/08/15,54.11,True
2012/08/16,54.5,True
2012/08/17,54.36,True
2012/08/20,54.5,True
2012/08/21,54.3,True
2012/08/22,53.82,True
2012/08/23,53.23,True
2012/08/24,53.74,True
2012/08/27,53.69,True
2012/08/28,53.72,True
2012/08/29,53.58,True
2012/08/30,53.11,True
2012/08/31,53.26,True
2012/09/04,53.82,True
2012/09/05,53.12,True
2012/09/06,54.19,True
2012/09/07,54.15,True
2012/09/10,53.55,True
2012/09/11,54.0,True
2012/09/12,54.42,True
2012/09/13,55.19,True
2012/09/14,56.01,True
2012/09/17,56.23,True
2012/09/18,55.93,True
2012/09/19,55.89,True
2012/09/20,55.77,True
2012/09/21,56.29,True
2012/09/24,56.49,True
2012/09/25,55.98,True
2012/09/26,55.59,True
2012/09/27,55.81,True
2012/09/28,55.66,True
2012/10/01,54.9,True
2012/10/02,54.67,True
2012/10/03,54.42,True
2012/10/04,55.06,True
2012/10/05,54.81,True
2012/10/08,54.35,True
