date,PRC,is_prediction
2012/01/03,15.78,True
2012/01/04,15.75,True
2012/01/05,15.8,True
2012/01/06,15.78,True
2012/01/09,15.67,True
2012/01/10,15.91,True
2012/01/11,16.24,True
2012/01/12,16.075,True
2012/01/13,15.88,True
2012/01/17,16.28,True
2012/01/18,16.55,True
2012/01/19,16.59,True
2012/01/20,16.79,True
2012/01/23,16.79,True
2012/01/24,16.87,True
2012/01/25,17.07,True
2012/01/26,16.88,True
2012/01/27,17.08,True
2012/01/30,17.03,True
2012/01/31,17.19,True
2012/02/01,17.45,True
2012/02/02,17.43,True
2012/02/03,17.62,True
2012/02/06,17.53,True
2012/02/07,17.62,True
2012/02/08,17.75,True
2012/02/09,18.02,True
2012/02/10,17.78,True
2012/02/13,17.93,True
2012/02/14,17.92,True
2012/02/15,17.94,True
2012/02/16,18.145,True
2012/02/17,17.95,True
2012/02/21,17.94,True
2012/02/22,17.88,True
2012/02/23,17.91,True
2012/02/24,17.88,True
2012/02/27,17.9,True
2012/02/28,17.92,True
2012/02/29,17.84,True
2012/03/01,17.89,True
2012/03/02,17.74,True
2012/03/05,17.51,True
2012/03/06,17.1,True
2012/03/07,17.27,True
2012/03/08,17.57,True
2012/03/09,17.73,True
2012/03/12,17.8,True
2012/03/13,18.18,True
2012/03/14,17.86,True
2012/03/15,18.19,True
2012/03/16,18.17,True
2012/03/19,18.32,True
2012/03/20,18.3,True
2012/03/21,18.17,True
2012/03/22,18.2,True
2012/03/23,18.2,True
2012/03/26,18.67,True
2012/03/27,18.58,True
2012/03/28,18.35,True
2012/03/29,18.4,True
2012/03/30,18.7,True
2012/04/02,18.8,True
2012/04/03,18.51,True
2012/04/04,18.2,True
2012/04/05,18.31,True
2012/04/09,17.97,True
2012/04/10,17.56,True
2012/04/11,17.97,True
2012/04/12,18.285,True
2012/04/13,18.08,True
2012/04/16,18.175,True
2012/04/17,18.41,True
2012/04/18,18.16,True
2012/04/19,18.095,True
2012/04/20,18.14,True
2012/04/23,18.07,True
2012/04/24,16.01,True
2012/04/25,16.29,True
2012/04/26,16.47,True
2012/04/27,16.48,True
2012/04/30,16.535,True
2012/05/01,16.45,True
