date,PRC,is_prediction
2012/01/03,66.48,True
2012/01/04,66.79,True
2012/01/05,66.68,True
2012/01/06,65.75,True
2012/01/09,66.94,True
2012/01/10,59.94,True
2012/01/11,59.98,True
2012/01/12,59.79,True
2012/01/13,59.1,True
2012/01/17,59.65,True
2012/01/18,60.54,True
2012/01/19,63.08,True
2012/01/20,61.88,True
2012/01/23,63.01,True
2012/01/24,63.28,True
2012/01/25,63.73,True
2012/01/26,63.56,True
2012/01/27,63.49,True
2012/01/30,63.3,True
2012/01/31,63.8,True
2012/02/01,63.94,True
2012/02/02,63.7,True
2012/02/03,65.21,True
2012/02/06,65.16,True
2012/02/07,64.64,True
2012/02/08,64.01,True
2012/02/09,64.18,True
2012/02/10,63.88,True
2012/02/13,64.36,True
2012/02/14,65.57,True
2012/02/15,65.41,True
2012/02/16,65.79,True
2012/02/17,66.28,True
2012/02/21,65.59,True
2012/02/22,64.49,True
2012/02/23,64.48,True
2012/02/24,64.68,True
2012/02/27,64.89,True
2012/02/28,65.24,True
2012/02/29,65.01,True
2012/03/01,66.53,True
2012/03/02,67.47,True
2012/03/05,68.03,True
2012/03/06,67.1,True
2012/03/07,67.84,True
2012/03/08,68.9,True
2012/03/09,68.77,True
2012/03/12,69.14,True
2012/03/13,70.44,True
2012/03/14,70.19,True
2012/03/15,68.95,True
2012/03/16,68.03,True
2012/03/19,68.68,True
2012/03/20,73.27,True
2012/03/21,72.91,True
2012/03/22,72.48,True
2012/03/23,71.45,True
2012/03/26,72.33,True
2012/03/27,71.69,True
2012/03/28,70.07,True
2012/03/29,69.05,True
2012/03/30,69.13,True
2012/04/02,70.02,True
2012/04/03,67.98,True
2012/04/04,68.19,True
2012/04/05,67.58,True
2012/04/09,67.2,True
2012/04/10,65.82,True
2012/04/11,66.76,True
2012/04/12,67.37,True
2012/04/13,66.4,True
2012/04/16,66.66,True
2012/04/17,66.96,True
2012/04/18,66.43,True
2012/04/19,66.15,True
2012/04/20,67.15,True
2012/04/23,67.0,True
2012/04/24,65.93,True
2012/04/25,68.41,True
2012/04/26,68.74,True
2012/04/27,69.47,True
2012/04/30,68.46,True
2012/05/01,68.73,True
2012/05/02,68.53,True
2012/05/03,67.97,True
2012/05/04,65.95,True
2012/05/07,65.71,True
2012/05/08,64.75,True
2012/05/09,64.14,True
2012/05/10,63.63,True
2012/05/11,63.04,True
2012/05/14,61.59,True
2012/05/15,61.25,True
2012/05/16,62.15,True
2012/05/17,60.07,True
2012/05/18,60.64,True
2012/05/21,61.14,True
2012/05/22,61.44,True
2012/05/23,61.8,True
2012/05/24,57.59,True
2012/05/25,56.32,True
2012/05/29,57.37,True
2012/05/30,56.59,True
2012/05/31,55.39,True
2012/06/01,54.34,True
2012/06/04,54.7,True
2012/06/05,55.47,True
2012/06/06,56.59,True
2012/06/07,55.87,True
2012/06/08,55.28,True
2012/06/11,54.32,True
2012/06/12,55.53,True
2012/06/13,54.06,True
2012/06/14,53.54,True
2012/06/15,53.59,True
2012/06/18,53.75,True
2012/06/19,53.7,True
2012/06/20,54.09,True
2012/06/21,52.6,True
2012/06/22,52.26,True
2012/06/25,51.32,True
2012/06/26,51.65,True
2012/06/27,50.29,True
2012/06/28,51.07,True
2012/06/29,52.95,True
2012/07/02,52.89,True
2012/07/03,53.7,True
2012/07/05,54.06,True
2012/07/06,53.45,True
2012/07/09,52.4,True
2012/07/10,51.83,True
2012/07/11,51.61,True
2012/07/12,50.85,True
2012/07/13,52.16,True
2012/07/16,52.55,True
2012/07/17,52.87,True
2012/07/18,55.25,True
2012/07/19,57.18,True
2012/07/20,55.97,True
2012/07/23,55.16,True
2012/07/24,54.71,True
2012/07/25,54.66,True
2012/07/26,56.04,True
2012/07/27,57.43,True
2012/07/30,57.21,True
2012/07/31,54.93,True
2012/08/01,54.77,True
2012/08/02,53.58,True
2012/08/03,54.74,True
2012/08/06,56.33,True
2012/08/07,58.0,True
2012/08/08,58.3,True
2012/08/09,58.62,True
2012/08/10,58.48,True
2012/08/13,58.31,True
2012/08/14,59.18,True
2012/08/15,59.41,True
2012/08/16,59.63,True
2012/08/17,60.66,True
2012/08/20,59.45,True
2012/08/21,59.02,True
2012/08/22,58.62,True
2012/08/23,58.46,True
