date,PRC,is_prediction
2012/01/03,63.71,True
2012/01/04,64.43,True
2012/01/05,66.31,True
2012/01/06,66.46,True
2012/01/09,65.7,True
2012/01/10,65.56,True
2012/01/11,65.54,True
2012/01/12,65.31,True
2012/01/13,65.15,True
2012/01/17,65.98,True
2012/01/18,66.85,True
2012/01/19,66.92,True
2012/01/20,66.58,True
2012/01/23,66.59,True
2012/01/24,67.26,True
2012/01/25,67.96,True
2012/01/26,67.95,True
2012/01/27,67.37,True
2012/01/30,67.45,True
2012/01/31,68.14,True
2012/02/01,68.29,True
2012/02/02,68.12,True
2012/02/03,34.53,True
2012/02/06,34.32,True
2012/02/07,34.6,True
2012/02/08,34.42,True
2012/02/09,34.57,True
2012/02/10,34.36,True
2012/02/13,34.41,True
2012/02/14,34.49,True
2012/02/15,34.04,True
2012/02/16,34.23,True
2012/02/17,34.87,True
2012/02/21,35.22,True
2012/02/22,35.13,True
2012/02/23,35.93,True
2012/02/24,35.97,True
2012/02/27,36.74,True
2012/02/28,36.96,True
2012/02/29,36.61,True
2012/03/01,37.09,True
2012/03/02,37.08,True
2012/03/05,37.4,True
2012/03/06,36.81,True
2012/03/07,37.16,True
2012/03/08,37.74,True
2012/03/09,38.12,True
2012/03/12,38.07,True
2012/03/13,38.05,True
2012/03/14,38.09,True
2012/03/15,38.19,True
2012/03/16,37.91,True
2012/03/19,38.1,True
2012/03/20,38.47,True
2012/03/21,38.91,True
2012/03/22,38.9,True
2012/03/23,38.63,True
2012/03/26,39.36,True
2012/03/27,39.53,True
2012/03/28,39.48,True
2012/03/29,39.22,True
2012/03/30,39.71,True
2012/04/02,39.87,True
2012/04/03,39.61,True
2012/04/04,39.36,True
2012/04/05,40.29,True
2012/04/09,40.01,True
2012/04/10,38.67,True
2012/04/11,39.58,True
2012/04/12,39.76,True
2012/04/13,39.82,True
2012/04/16,40.19,True
2012/04/17,41.35,True
2012/04/18,41.38,True
2012/04/19,41.09,True
2012/04/20,41.02,True
2012/04/23,40.44,True
2012/04/24,40.25,True
2012/04/25,41.22,True
2012/04/26,41.77,True
2012/04/27,42.46,True
2012/04/30,41.71,True
2012/05/01,42.05,True
2012/05/02,42.53,True
2012/05/03,42.45,True
2012/05/04,41.74,True
2012/05/07,41.49,True
2012/05/08,41.29,True
2012/05/09,41.27,True
2012/05/10,41.79,True
2012/05/11,41.25,True
2012/05/14,39.7,True
2012/05/15,42.45,True
2012/05/16,42.43,True
2012/05/17,40.94,True
2012/05/18,40.06,True
2012/05/21,40.33,True
2012/05/22,40.57,True
2012/05/23,40.67,True
2012/05/24,40.9,True
2012/05/25,40.87,True
2012/05/29,41.6,True
2012/05/30,41.33,True
2012/05/31,42.46,True
2012/06/01,40.9,True
2012/06/04,41.13,True
2012/06/05,41.11,True
2012/06/06,42.22,True
2012/06/07,41.56,True
2012/06/08,41.46,True
2012/06/11,41.25,True
2012/06/12,41.7,True
2012/06/13,41.41,True
2012/06/14,42.06,True
2012/06/15,42.46,True
2012/06/18,43.04,True
2012/06/19,43.48,True
2012/06/20,43.11,True
2012/06/21,42.41,True
2012/06/22,43.2,True
2012/06/25,42.44,True
2012/06/26,43.09,True
2012/06/27,42.25,True
2012/06/28,41.6,True
2012/06/29,42.93,True
2012/07/02,43.22,True
2012/07/03,42.5,True
2012/07/05,44.09,True
2012/07/06,44.43,True
2012/07/09,44.64,True
2012/07/10,44.0,True
2012/07/11,43.61,True
2012/07/12,44.07,True
2012/07/13,44.79,True
2012/07/16,44.73,True
2012/07/17,45.07,True
2012/07/18,44.97,True
2012/07/19,44.98,True
2012/07/20,44.31,True
2012/07/23,44.21,True
2012/07/24,44.01,True
2012/07/25,44.28,True
2012/07/26,44.2,True
2012/07/27,44.7,True
2012/07/30,44.9,True
2012/07/31,44.28,True
2012/08/01,43.87,True
2012/08/02,45.01,True
2012/08/03,45.11,True
2012/08/06,45.25,True
2012/08/07,45.14,True
2012/08/08,45.1,True
2012/08/09,45.0,True
2012/08/10,44.46,True
2012/08/13,44.24,True
2012/08/14,45.03,True
2012/08/15,45.02,True
2012/08/16,45.19,True
2012/08/17,45.91,True
2012/08/20,45.84,True
2012/08/21,45.78,True
2012/08/22,46.09,True
2012/08/23,45.58,True
2012/08/24,45.87,True
2012/08/27,45.68,True
2012/08/28,45.79,True
2012/08/29,46.64,True
2012/08/30,45.6,True
2012/08/31,45.79,True
2012/09/04,46.16,True
2012/09/05,45.63,True
2012/09/06,46.28,True
2012/09/07,45.85,True
2012/09/10,45.84,True
2012/09/11,45.55,True
2012/09/12,45.59,True
2012/09/13,46.56,True
2012/09/14,46.46,True
2012/09/17,45.98,True
2012/09/18,45.34,True
2012/09/19,45.29,True
2012/09/20,45.17,True
2012/09/21,44.55,True
2012/09/24,44.31,True
2012/09/25,44.06,True
2012/09/26,44.6,True
2012/09/27,45.05,True
2012/09/28,44.79,True
2012/10/01,45.41,True
2012/10/02,45.17,True
2012/10/03,45.21,True
2012/10/04,45.5,True
2012/10/05,45.4,True
