date,PRC,is_prediction
2012/01/03,46.9,True
2012/01/04,45.95,True
2012/01/05,46.34,True
2012/01/06,47.62,True
2012/01/09,47.67,True
2012/01/10,49.07,True
2012/01/11,49.97,True
2012/01/12,49.78,True
2012/01/13,49.35,True
2012/01/17,49.86,True
2012/01/18,51.19,True
2012/01/19,51.84,True
2012/01/20,51.14,True
2012/01/23,51.83,True
2012/01/24,52.48,True
2012/01/25,53.54,True
2012/01/26,52.31,True
2012/01/27,52.46,True
2012/01/30,52.45,True
2012/01/31,52.9,True
2012/02/01,54.71,True
2012/02/02,54.8,True
2012/02/03,56.29,True
2012/02/06,55.74,True
2012/02/07,55.36,True
2012/02/08,56.0,True
2012/02/09,56.07,True
2012/02/10,55.52,True
2012/02/13,55.7,True
2012/02/14,55.85,True
2012/02/15,55.86,True
2012/02/16,56.62,True
2012/02/17,56.38,True
2012/02/21,55.92,True
2012/02/22,55.84,True
2012/02/23,56.12,True
2012/02/24,56.66,True
2012/02/27,56.43,True
2012/02/28,57.24,True
2012/02/29,56.62,True
2012/03/01,57.18,True
2012/03/02,57.25,True
2012/03/05,56.56,True
2012/03/06,55.43,True
2012/03/07,55.25,True
2012/03/08,56.09,True
2012/03/09,56.27,True
2012/03/12,55.39,True
2012/03/13,57.08,True
2012/03/14,57.76,True
2012/03/15,58.0,True
2012/03/16,57.91,True
2012/03/19,57.93,True
2012/03/20,57.25,True
2012/03/21,56.98,True
2012/03/22,56.45,True
2012/03/23,56.75,True
2012/03/26,58.15,True
2012/03/27,57.63,True
2012/03/28,56.54,True
2012/03/29,56.06,True
2012/03/30,56.38,True
2012/04/02,56.38,True
2012/04/03,56.17,True
2012/04/04,55.58,True
2012/04/05,55.89,True
2012/04/09,54.53,True
2012/04/10,53.11,True
2012/04/11,53.36,True
2012/04/12,55.12,True
2012/04/13,54.1,True
2012/04/16,53.64,True
2012/04/17,54.08,True
2012/04/18,54.52,True
2012/04/19,54.37,True
2012/04/20,54.14,True
2012/04/23,53.75,True
2012/04/24,52.74,True
2012/04/25,55.07,True
2012/04/26,54.91,True
2012/04/27,54.91,True
2012/04/30,55.65,True
2012/05/01,56.11,True
2012/05/02,55.61,True
2012/05/03,55.24,True
2012/05/04,54.03,True
2012/05/07,54.03,True
2012/05/08,53.79,True
2012/05/09,53.34,True
2012/05/10,53.46,True
2012/05/11,53.3,True
2012/05/14,52.54,True
2012/05/15,51.83,True
2012/05/16,51.54,True
2012/05/17,51.15,True
2012/05/18,50.54,True
2012/05/21,51.92,True
2012/05/22,51.34,True
2012/05/23,50.98,True
2012/05/24,52.21,True
2012/05/25,51.68,True
2012/05/29,51.72,True
2012/05/30,51.17,True
2012/05/31,50.48,True
2012/06/01,49.13,True
2012/06/04,48.63,True
2012/06/05,49.38,True
2012/06/06,50.11,True
2012/06/07,50.65,True
2012/06/08,50.87,True
2012/06/11,49.72,True
2012/06/12,50.31,True
2012/06/13,49.86,True
2012/06/14,50.64,True
2012/06/15,51.23,True
2012/06/18,50.9,True
2012/06/19,51.92,True
2012/06/20,51.63,True
2012/06/21,50.4,True
2012/06/22,51.04,True
2012/06/25,49.83,True
2012/06/26,49.54,True
2012/06/27,50.89,True
2012/06/28,50.55,True
2012/06/29,51.91,True
2012/07/02,51.38,True
2012/07/03,52.8,True
2012/07/05,52.59,True
2012/07/06,51.43,True
2012/07/09,51.58,True
2012/07/10,51.18,True
2012/07/11,51.72,True
2012/07/12,51.45,True
2012/07/13,52.04,True
2012/07/16,51.9,True
2012/07/17,52.32,True
2012/07/18,53.23,True
2012/07/19,53.03,True
2012/07/20,52.05,True
2012/07/23,50.7,True
2012/07/24,49.78,True
2012/07/25,54.14,True
2012/07/26,54.69,True
2012/07/27,56.1,True
2012/07/30,56.06,True
2012/07/31,55.67,True
2012/08/01,55.66,True
2012/08/02,54.39,True
2012/08/03,56.6,True
2012/08/06,56.58,True
2012/08/07,57.15,True
2012/08/08,57.3,True
2012/08/09,56.95,True
2012/08/10,57.07,True
2012/08/13,56.99,True
2012/08/14,56.71,True
2012/08/15,57.56,True
2012/08/16,56.55,True
2012/08/17,56.61,True
2012/08/20,56.56,True
2012/08/21,56.38,True
2012/08/22,56.56,True
2012/08/23,56.31,True
2012/08/24,56.59,True
2012/08/27,56.64,True
2012/08/28,56.28,True
2012/08/29,57.17,True
2012/08/30,56.98,True
2012/08/31,57.35,True
2012/09/04,57.31,True
2012/09/05,57.04,True
2012/09/06,58.23,True
2012/09/07,58.93,True
2012/09/10,59.05,True
2012/09/11,59.08,True
2012/09/12,59.33,True
2012/09/13,59.97,True
2012/09/14,60.61,True
2012/09/17,60.19,True
2012/09/18,59.98,True
2012/09/19,59.74,True
2012/09/20,59.72,True
2012/09/21,59.71,True
2012/09/24,59.47,True
2012/09/25,59.01,True
2012/09/26,58.72,True
2012/09/27,59.44,True
2012/09/28,58.83,True
2012/10/01,59.23,True
2012/10/02,59.72,True
2012/10/03,59.75,True
2012/10/04,60.3,True
2012/10/05,60.9,True
2012/10/08,60.5,True
2012/10/09,58.88,True
2012/10/10,58.41,True
2012/10/11,59.17,True
2012/10/12,58.84,True
2012/10/15,59.43,True
2012/10/16,60.27,True
2012/10/17,60.53,True
2012/10/18,59.0,True
2012/10/19,58.04,True
2012/10/22,58.45,True
2012/10/23,57.61,True
2012/10/24,60.36,True
2012/10/25,61.7,True
2012/10/26,61.04,True
2012/10/31,61.06,True
2012/11/01,62.43,True
2012/11/02,61.5,True
2012/11/05,61.93,True
2012/11/06,61.82,True
2012/11/07,60.85,True
2012/11/08,59.76,True
2012/11/09,60.69,True
2012/11/12,60.63,True
2012/11/13,61.19,True
2012/11/14,60.72,True
2012/11/15,60.44,True
2012/11/16,60.59,True
2012/11/19,61.41,True
2012/11/20,61.83,True
2012/11/21,61.16,True
2012/11/23,62.64,True
2012/11/26,62.32,True
2012/11/27,62.19,True
2012/11/28,62.75,True
2012/11/29,63.51,True
2012/11/30,63.55,True
2012/12/03,63.51,True
2012/12/04,63.61,True
2012/12/05,63.96,True
2012/12/06,64.37,True
2012/12/07,64.28,True
2012/12/10,64.78,True
2012/12/11,65.28,True
2012/12/12,65.15,True
2012/12/13,64.92,True
2012/12/14,64.21,True
2012/12/17,64.8,True
2012/12/18,65.25,True
2012/12/19,64.75,True
2012/12/20,65.15,True
2012/12/21,63.81,True
2012/12/24,63.94,True
2012/12/26,63.28,True
2012/12/27,63.42,True
2012/12/28,62.91,True
2012/12/31,63.78,True
2013/01/01,64.02890035359745,False
2013/01/02,63.887517989568266,False
2013/01/03,64.0306387359186,False
2013/01/04,63.92045875320144,False
2013/01/07,64.00062732128043,False
2013/01/08,64.00862925439311,False
2013/01/09,64.16112800964547,False
2013/01/10,64.27899097230951,False
2013/01/11,64.31395217425062,False
2013/01/14,64.39947817004283,False
2013/01/15,64.43615444908407,False
2013/01/16,64.50228895408443,False
2013/01/17,64.56588780670111,False
2013/01/18,64.64105615995518,False
2013/01/21,64.71974419367383,False
2013/01/22,64.7828866871731,False
2013/01/23,64.85375689038929,False
2013/01/24,64.91715715486532,False
2013/01/25,64.98384879552762,False
2013/01/28,65.05186533066774,False
2013/01/29,65.12015957624408,False
2013/01/30,65.19009203708285,False
2013/01/31,65.25746439975805,False
2013/02/01,65.325794945285,False
2013/02/04,65.39318884121656,False
2013/02/05,65.46076875247171,False
2013/02/06,65.52882512289534,False
2013/02/07,65.59674590688779,False
2013/02/08,65.66502502137007,False
2013/02/11,65.73293616650493,False
2013/02/12,65.80092613666238,False
2013/02/13,65.8688262742687,False
2013/02/14,65.93669769140236,False
2013/02/15,66.0046774037137,False
2013/02/18,66.07262105646524,False
2013/02/19,66.14062491976809,False
2013/02/20,66.20858409251116,False
2013/02/21,66.27654119977882,False
2013/02/22,66.34449413040765,False
2013/02/25,66.41243443215627,False
2013/02/26,66.48039465965935,False
2013/02/27,66.54834923372333,False
2013/02/28,66.61631214587017,False
2013/03/01,66.6842710349372,False
2013/03/04,66.75222722629131,False
2013/03/05,66.82018413672235,False
2013/03/06,66.8881381705848,False
2013/03/07,66.956095377978,False
2013/03/08,67.02405205816099,False
2013/03/11,67.09200968537455,False
