date,PRC,is_prediction
2012/01/03,26.63,True
2012/01/04,25.68,True
2012/01/05,25.52,True
2012/01/06,25.57,True
2012/01/09,26.26,True
2012/01/10,27.75,True
2012/01/11,27.79,True
2012/01/12,28.46,True
2012/01/13,29.51,True
2012/01/17,28.99,True
2012/01/18,29.03,True
2012/01/19,30.33,True
2012/01/20,30.4,True
2012/01/23,30.38,True
2012/01/24,30.69,True
2012/01/25,31.49,True
2012/01/26,31.05,True
2012/01/27,31.24,True
2012/01/30,31.64,True
2012/01/31,32.91,True
2012/02/01,35.06,True
2012/02/02,34.88,True
2012/02/03,35.38,True
2012/02/06,35.15,True
2012/02/07,34.84,True
2012/02/08,34.34,True
2012/02/09,29.34,True
2012/02/10,30.04,True
2012/02/13,28.59,True
2012/02/14,27.63,True
2012/02/15,29.28,True
2012/02/16,30.4,True
2012/02/17,30.7,True
2012/02/21,30.67,True
2012/02/22,30.0,True
2012/02/23,30.59,True
2012/02/24,31.8,True
2012/02/27,31.91,True
2012/02/28,32.31,True
2012/02/29,32.23,True
2012/03/01,32.62,True
2012/03/02,32.45,True
2012/03/05,31.97,True
2012/03/06,31.42,True
2012/03/07,31.07,True
2012/03/08,31.26,True
2012/03/09,30.7,True
2012/03/12,30.7,True
2012/03/13,30.48,True
2012/03/14,30.99,True
2012/03/15,32.47,True
2012/03/16,34.0,True
2012/03/19,34.0,True
2012/03/20,34.09,True
2012/03/21,33.77,True
2012/03/22,33.25,True
2012/03/23,33.27,True
2012/03/26,34.3,True
2012/03/27,35.29,True
2012/03/28,34.57,True
2012/03/29,35.16,True
2012/03/30,35.67,True
2012/04/02,37.37,True
2012/04/03,36.59,True
2012/04/04,36.25,True
2012/04/05,36.23,True
2012/04/09,35.5,True
2012/04/10,34.58,True
2012/04/11,34.785,True
2012/04/12,35.1,True
2012/04/13,34.5,True
2012/04/16,33.83,True
2012/04/17,35.0,True
2012/04/18,35.44,True
2012/04/19,35.22,True
2012/04/20,35.02,True
2012/04/23,33.94,True
2012/04/24,33.38,True
2012/04/25,33.69,True
2012/04/26,34.38,True
2012/04/27,36.87,True
2012/04/30,37.51,True
2012/05/01,36.53,True
2012/05/02,42.63,True
2012/05/03,40.9,True
2012/05/04,40.2,True
2012/05/07,40.97,True
2012/05/08,41.2,True
2012/05/09,40.68,True
2012/05/10,40.79,True
2012/05/11,41.73,True
2012/05/14,41.64,True
2012/05/15,42.65,True
2012/05/16,43.64,True
2012/05/17,41.03,True
2012/05/18,40.66,True
2012/05/21,42.17,True
2012/05/22,42.63,True
2012/05/23,45.15,True
2012/05/24,44.4,True
2012/05/25,45.0,True
2012/05/29,45.26,True
2012/05/30,43.16,True
2012/05/31,42.88,True
2012/06/01,41.02,True
2012/06/04,41.49,True
2012/06/05,41.09,True
2012/06/06,42.99,True
2012/06/07,41.67,True
2012/06/08,43.02,True
2012/06/11,42.94,True
2012/06/12,45.018,True
2012/06/13,43.43,True
2012/06/14,44.05,True
2012/06/15,44.38,True
2012/06/18,44.91,True
2012/06/19,44.24,True
2012/06/20,43.29,True
2012/06/21,43.01,True
2012/06/22,45.53,True
2012/06/25,44.07,True
2012/06/26,44.01,True
2012/06/27,44.42,True
2012/06/28,43.58,True
2012/06/29,44.69,True
2012/07/02,46.0,True
2012/07/03,46.05,True
2012/07/05,46.27,True
2012/07/06,46.36,True
2012/07/09,45.44,True
2012/07/10,44.76,True
2012/07/11,44.28,True
2012/07/12,43.88,True
2012/07/13,45.85,True
2012/07/16,46.15,True
2012/07/17,45.52,True
2012/07/18,45.42,True
2012/07/19,45.1,True
2012/07/20,44.9,True
2012/07/23,45.61,True
2012/07/24,43.47,True
2012/07/25,36.18,True
2012/07/26,35.04,True
2012/07/27,35.41,True
2012/07/30,36.01,True
2012/07/31,37.41,True
2012/08/01,36.57,True
2012/08/02,36.21,True
2012/08/03,36.68,True
2012/08/06,38.01,True
2012/08/07,38.66,True
2012/08/08,36.77,True
2012/08/09,36.18,True
2012/08/10,35.1,True
2012/08/13,33.52,True
2012/08/14,33.16,True
2012/08/15,33.96,True
2012/08/16,33.85,True
2012/08/17,33.45,True
2012/08/20,33.84,True
2012/08/21,34.05,True
2012/08/22,33.94,True
2012/08/23,33.54,True
2012/08/24,34.05,True
2012/08/27,33.97,True
2012/08/28,34.26,True
2012/08/29,34.21,True
2012/08/30,33.71,True
2012/08/31,33.44,True
2012/09/04,34.65,True
2012/09/05,35.4,True
2012/09/06,35.45,True
2012/09/07,35.61,True
2012/09/10,35.29,True
2012/09/11,35.38,True
2012/09/12,35.25,True
2012/09/13,36.34,True
2012/09/14,36.06,True
2012/09/17,35.81,True
2012/09/18,34.73,True
2012/09/19,34.9,True
2012/09/20,34.48,True
2012/09/21,34.53,True
2012/09/24,33.7,True
2012/09/25,33.74,True
2012/09/26,33.24,True
2012/09/27,33.42,True
2012/09/28,32.93,True
2012/10/01,31.94,True
2012/10/02,32.39,True
2012/10/03,32.12,True
2012/10/04,33.4,True
2012/10/05,33.49,True
2012/10/08,33.57,True
2012/10/09,32.52,True
2012/10/10,32.22,True
2012/10/11,31.15,True
2012/10/12,31.22,True
2012/10/15,31.49,True
2012/10/16,31.18,True
2012/10/17,31.0877,True
2012/10/18,30.57,True
2012/10/19,29.93,True
2012/10/22,30.7,True
2012/10/23,31.5,True
2012/10/24,31.4,True
2012/10/25,30.78,True
2012/10/26,30.27,True
2012/10/31,30.29,True
2012/11/01,29.41,True
2012/11/02,35.1209,True
2012/11/05,34.45,True
2012/11/06,33.83,True
2012/11/07,34.0,True
2012/11/08,34.17,True
2012/11/09,34.31,True
2012/11/12,34.98,True
2012/11/13,35.54,True
2012/11/14,35.64,True
2012/11/15,36.6,True
2012/11/16,38.03,True
2012/11/19,38.16,True
2012/11/20,37.28,True
2012/11/21,37.4,True
2012/11/23,38.0,True
2012/11/26,37.91,True
2012/11/27,37.77,True
2012/11/28,37.9,True
2012/11/29,37.87,True
2012/11/30,38.19,True
2012/12/03,37.7,True
2012/12/04,37.53,True
2012/12/05,38.37,True
2012/12/06,39.29,True
2012/12/07,38.59,True
2012/12/10,38.39,True
2012/12/11,40.91,True
2012/12/12,42.65,True
2012/12/13,42.71,True
2012/12/14,41.67,True
2012/12/17,43.45,True
2012/12/18,42.98,True
2012/12/19,43.41,True
2012/12/20,42.97,True
2012/12/21,41.97,True
2012/12/24,42.25,True
2012/12/26,41.8,True
2012/12/27,41.93,True
2012/12/28,41.34,True
2012/12/31,41.92,True
2013/01/01,42.04889154884287,False
2013/01/02,42.17853228804695,False
2013/01/03,42.254646869308566,False
2013/01/04,42.341097184797114,False
2013/01/07,42.37237773442349,False
2013/01/08,42.47417474485923,False
2013/01/09,42.500922798626135,False
2013/01/10,42.55568778496669,False
2013/01/11,42.61513377737261,False
2013/01/14,42.67514475687477,False
2013/01/15,42.735776497092154,False
2013/01/16,42.80147186670142,False
2013/01/17,42.86078917338777,False
2013/01/18,42.9248682049874,False
2013/01/21,42.98732708657767,False
2013/01/22,43.049027547404826,False
2013/01/23,43.11093450859008,False
2013/01/24,43.172808599415056,False
2013/01/25,43.23422690107049,False
2013/01/28,43.29619411097117,False
2013/01/29,43.35786665520243,False
2013/01/30,43.41961525364004,False
2013/01/31,43.48145113351147,False
2013/02/01,43.54325557420241,False
2013/02/04,43.60505411174539,False
2013/02/05,43.66689331871892,False
2013/02/06,43.72868729575734,False
2013/02/07,43.7904985567514,False
2013/02/08,43.852308413610665,False
2013/02/11,43.91410964684338,False
2013/02/12,43.97591403115779,False
2013/02/13,44.03771992659017,False
2013/02/14,44.09952217170511,False
2013/02/15,44.16132796368259,False
2013/02/18,44.22313283861294,False
2013/02/19,44.28493742143552,False
2013/02/20,44.34674274937019,False
2013/02/21,44.40854780053928,False
2013/02/22,44.47035260336449,False
2013/02/25,44.5321576774315,False
2013/02/26,44.5939624907704,False
2013/02/27,44.655767308366734,False
2013/02/28,44.7175721876883,False
2013/03/01,44.77937698843071,False
2013/03/04,44.841181753338496,False
2013/03/05,44.902986539348184,False
2013/03/06,44.964791288652734,False
2013/03/07,45.026596056951625,False
2013/03/08,45.08840079787428,False
2013/03/11,45.15020548782131,False
