date,PRC,is_prediction
2012/01/03,69.46,True
2012/01/04,69.37,True
2012/01/05,69.42,True
2012/01/06,69.71,True
2012/01/09,70.6,True
2012/01/10,72.69,True
2012/01/11,72.93,True
2012/01/12,80.2,True
2012/01/13,80.56,True
2012/01/17,80.48,True
2012/01/18,81.29,True
2012/01/19,80.43,True
2012/01/20,79.99,True
2012/01/23,80.49,True
2012/01/24,80.7,True
2012/01/25,80.8,True
2012/01/26,79.84,True
2012/01/27,80.42,True
2012/01/30,80.89,True
2012/01/31,80.77,True
2012/02/01,81.79,True
2012/02/02,79.87,True
2012/02/03,81.21,True
2012/02/06,82.05,True
2012/02/07,85.08,True
2012/02/08,83.45,True
2012/02/09,83.31,True
2012/02/10,83.08,True
2012/02/13,84.65,True
2012/02/14,84.53,True
2012/02/15,83.66,True
2012/02/16,83.39,True
2012/02/17,82.76,True
2012/02/21,83.37,True
2012/02/22,83.67,True
2012/02/23,84.87,True
2012/02/24,84.33,True
2012/02/27,87.42,True
2012/02/28,86.56,True
2012/02/29,85.47,True
2012/03/01,87.5,True
2012/03/02,86.61,True
2012/03/05,86.72,True
2012/03/06,85.67,True
2012/03/07,87.5,True
2012/03/08,87.47,True
2012/03/09,87.37,True
2012/03/12,87.35,True
2012/03/13,88.29,True
2012/03/14,87.63,True
2012/03/15,87.28,True
2012/03/16,85.81,True
2012/03/19,86.32,True
2012/03/20,86.87,True
2012/03/21,87.81,True
2012/03/22,87.75,True
2012/03/23,86.04,True
2012/03/26,90.92,True
2012/03/27,91.03,True
2012/03/28,91.3,True
2012/03/29,91.14,True
2012/03/30,90.56,True
2012/04/02,91.86,True
2012/04/03,92.89,True
2012/04/04,92.63,True
2012/04/05,93.35,True
2012/04/09,93.02,True
2012/04/10,90.84,True
2012/04/11,92.3,True
2012/04/12,97.95,True
2012/04/13,98.38,True
2012/04/16,98.01,True
2012/04/17,99.13,True
2012/04/18,99.66,True
2012/04/19,98.88,True
2012/04/20,99.46,True
2012/04/23,99.41,True
2012/04/24,96.93,True
2012/04/25,97.49,True
2012/04/26,97.52,True
2012/04/27,99.48,True
2012/04/30,98.41,True
2012/05/01,98.38,True
2012/05/02,99.77,True
2012/05/03,98.98,True
2012/05/04,96.48,True
2012/05/07,95.99,True
2012/05/08,95.82,True
