date,PRC,is_prediction
2012/01/03,20.31,True
2012/01/04,20.37,True
2012/01/05,20.28,True
2012/01/06,20.32,True
2012/01/09,20.09,True
2012/01/10,20.33,True
2012/01/11,19.74,True
2012/01/12,19.96,True
2012/01/13,19.88,True
2012/01/17,19.57,True
2012/01/18,19.46,True
2012/01/19,19.5,True
2012/01/20,19.2,True
2012/01/23,19.17,True
2012/01/24,18.97,True
2012/01/25,18.84,True
2012/01/26,18.9,True
2012/01/27,18.8,True
2012/01/30,18.73,True
2012/01/31,18.64,True
2012/02/01,18.52,True
2012/02/02,18.62,True
2012/02/03,19.38,True
2012/02/06,19.15,True
2012/02/07,19.14,True
2012/02/08,19.05,True
2012/02/09,19.13,True
2012/02/10,18.92,True
2012/02/13,19.04,True
2012/02/14,18.92,True
2012/02/15,18.84,True
2012/02/16,19.12,True
2012/02/17,18.99,True
2012/02/21,18.79,True
2012/02/22,18.69,True
2012/02/23,18.86,True
2012/02/24,18.99,True
2012/02/27,19.14,True
2012/02/28,19.08,True
2012/02/29,18.91,True
2012/03/01,19.0,True
2012/03/02,19.43,True
2012/03/05,19.39,True
2012/03/06,19.18,True
2012/03/07,19.55,True
2012/03/08,19.65,True
2012/03/09,19.86,True
2012/03/12,19.67,True
2012/03/13,19.97,True
2012/03/14,19.65,True
2012/03/15,19.69,True
2012/03/16,19.86,True
2012/03/19,19.77,True
2012/03/20,19.62,True
2012/03/21,19.46,True
2012/03/22,19.42,True
2012/03/23,19.48,True
2012/03/26,19.48,True
2012/03/27,19.51,True
2012/03/28,19.45,True
2012/03/29,19.26,True
2012/03/30,19.15,True
2012/04/02,19.44,True
2012/04/03,19.05,True
2012/04/04,18.99,True
2012/04/05,18.8,True
2012/04/09,18.3,True
2012/04/10,18.25,True
2012/04/11,18.08,True
2012/04/12,18.1,True
2012/04/13,17.93,True
2012/04/16,17.89,True
2012/04/17,18.1,True
2012/04/18,18.03,True
2012/04/19,17.97,True
2012/04/20,18.05,True
2012/04/23,17.66,True
2012/04/24,17.93,True
2012/04/25,17.86,True
2012/04/26,18.26,True
2012/04/27,18.22,True
2012/04/30,18.25,True
2012/05/01,18.35,True
2012/05/02,18.33,True
2012/05/03,18.24,True
2012/05/04,18.04,True
2012/05/07,18.63,True
2012/05/08,19.24,True
2012/05/09,19.5,True
2012/05/10,19.54,True
2012/05/11,19.58,True
2012/05/14,19.41,True
2012/05/15,19.28,True
2012/05/16,19.48,True
2012/05/17,19.21,True
2012/05/18,19.12,True
2012/05/21,19.12,True
2012/05/22,19.37,True
2012/05/23,19.14,True
2012/05/24,19.04,True
2012/05/25,19.32,True
2012/05/29,19.46,True
2012/05/30,19.29,True
2012/05/31,19.37,True
2012/06/01,18.68,True
2012/06/04,18.59,True
2012/06/05,18.57,True
2012/06/06,18.86,True
2012/06/07,18.88,True
2012/06/08,19.05,True
2012/06/11,18.84,True
