date,PRC,is_prediction
2012/01/03,18.9,True
2012/01/04,18.52,True
2012/01/05,18.39,True
2012/01/06,18.21,True
2012/01/09,17.93,True
2012/01/10,17.48,True
2012/01/11,18.01,True
2012/01/12,18.53,True
2012/01/13,18.43,True
2012/01/17,18.23,True
2012/01/18,18.25,True
2012/01/19,19.15,True
2012/01/20,19.33,True
2012/01/23,18.94,True
2012/01/24,19.4,True
2012/01/25,20.41,True
2012/01/26,21.7,True
2012/01/27,23.09,True
2012/01/30,22.99,True
2012/01/31,23.1,True
2012/02/01,23.21,True
2012/02/02,24.09,True
2012/02/03,24.97,True
2012/02/06,24.23,True
2012/02/07,24.26,True
2012/02/08,23.88,True
2012/02/09,24.0,True
2012/02/10,23.75,True
2012/02/13,23.97,True
2012/02/14,23.57,True
2012/02/15,23.16,True
2012/02/16,23.68,True
2012/02/17,23.37,True
2012/02/21,21.24,True
2012/02/22,20.94,True
2012/02/23,20.64,True
2012/02/24,20.41,True
2012/02/27,20.07,True
2012/02/28,20.58,True
2012/02/29,20.65,True
2012/03/01,20.41,True
2012/03/02,20.94,True
2012/03/05,20.47,True
2012/03/06,19.88,True
2012/03/07,19.79,True
2012/03/08,19.96,True
2012/03/09,19.82,True
2012/03/12,19.62,True
2012/03/13,19.83,True
2012/03/14,19.42,True
2012/03/15,20.39,True
2012/03/16,19.95,True
2012/03/19,20.62,True
2012/03/20,21.02,True
2012/03/21,20.56,True
2012/03/22,19.94,True
2012/03/23,20.55,True
2012/03/26,20.97,True
2012/03/27,20.93,True
2012/03/28,21.89,True
2012/03/29,22.34,True
2012/03/30,21.5,True
2012/04/02,21.49,True
2012/04/03,22.01,True
2012/04/04,21.43,True
2012/04/05,21.4,True
2012/04/09,21.08,True
2012/04/10,20.58,True
2012/04/11,21.04,True
2012/04/12,21.52,True
2012/04/13,21.44,True
2012/04/16,22.3,True
2012/04/17,22.67,True
2012/04/18,22.7,True
2012/04/19,23.34,True
2012/04/20,22.91,True
2012/04/23,22.85,True
2012/04/24,22.82,True
2012/04/25,22.97,True
2012/04/26,22.12,True
2012/04/27,22.17,True
2012/04/30,21.92,True
2012/05/01,21.91,True
2012/05/02,21.66,True
2012/05/03,21.57,True
2012/05/04,22.28,True
2012/05/07,23.59,True
2012/05/08,23.9,True
2012/05/09,23.47,True
2012/05/10,23.76,True
2012/05/11,24.11,True
2012/05/14,24.0,True
2012/05/15,23.69,True
2012/05/16,23.66,True
2012/05/17,21.9,True
2012/05/18,20.93,True
2012/05/21,21.92,True
2012/05/22,21.83,True
2012/05/23,22.31,True
2012/05/24,23.53,True
2012/05/25,23.57,True
2012/05/29,23.88,True
2012/05/30,24.17,True
2012/05/31,25.17,True
2012/06/01,24.36,True
2012/06/04,22.52,True
2012/06/05,23.28,True
2012/06/06,23.53,True
2012/06/07,22.92,True
2012/06/08,23.49,True
2012/06/11,22.05,True
2012/06/12,22.04,True
2012/06/13,22.8,True
2012/06/14,22.83,True
2012/06/15,22.32,True
2012/06/18,23.02,True
2012/06/19,23.71,True
2012/06/20,24.54,True
2012/06/21,24.18,True
2012/06/22,24.25,True
2012/06/25,23.65,True
2012/06/26,23.83,True
2012/06/27,23.97,True
2012/06/28,24.25,True
2012/06/29,24.33,True
2012/07/02,24.82,True
2012/07/03,24.08,True
2012/07/05,23.61,True
2012/07/06,24.24,True
2012/07/09,23.9,True
2012/07/10,23.86,True
2012/07/11,24.79,True
2012/07/12,23.78,True
2012/07/13,24.14,True
2012/07/16,24.23,True
2012/07/17,23.6,True
2012/07/18,22.84,True
2012/07/19,22.05,True
2012/07/20,21.55,True
2012/07/23,21.55,True
2012/07/24,20.38,True
2012/07/25,20.41,True
2012/07/26,19.2,True
2012/07/27,19.06,True
2012/07/30,19.03,True
2012/07/31,18.89,True
2012/08/01,18.17,True
2012/08/02,18.16,True
2012/08/03,18.26,True
2012/08/06,18.48,True
2012/08/07,18.42,True
2012/08/08,18.32,True
2012/08/09,17.89,True
2012/08/10,17.78,True
2012/08/13,18.19,True
2012/08/14,18.05,True
2012/08/15,18.2,True
2012/08/16,18.29,True
2012/08/17,18.4,True
2012/08/20,19.45,True
2012/08/21,19.57,True
2012/08/22,19.35,True
2012/08/23,19.29,True
2012/08/24,19.27,True
