date,PRC,is_prediction
2012/01/03,37.71,True
2012/01/04,37.01,True
2012/01/05,38.06,True
2012/01/06,39.2,True
2012/01/09,39.04,True
2012/01/10,37.08,True
2012/01/11,38.76,True
2012/01/12,37.45,True
2012/01/13,36.93,True
2012/01/17,36.82,True
2012/01/18,36.95,True
2012/01/19,37.44,True
2012/01/20,37.26,True
2012/01/23,37.67,True
2012/01/24,40.44,True
2012/01/25,42.05,True
2012/01/26,41.26,True
2012/01/27,41.82,True
2012/01/30,41.22,True
2012/01/31,41.29,True
2012/02/01,41.88,True
2012/02/02,41.6,True
2012/02/03,42.37,True
2012/02/06,41.63,True
2012/02/07,41.65,True
2012/02/08,41.65,True
2012/02/09,41.27,True
2012/02/10,42.4,True
2012/02/13,43.03,True
2012/02/14,42.73,True
2012/02/15,42.52,True
2012/02/16,42.49,True
2012/02/17,41.15,True
2012/02/21,41.24,True
2012/02/22,42.21,True
2012/02/23,43.2,True
2012/02/24,43.91,True
2012/02/27,43.97,True
2012/02/28,44.78,True
2012/02/29,44.61,True
2012/03/01,44.32,True
2012/03/02,43.87,True
2012/03/05,43.42,True
2012/03/06,42.72,True
2012/03/07,43.11,True
2012/03/08,43.28,True
2012/03/09,43.6,True
2012/03/12,43.4,True
2012/03/13,43.33,True
2012/03/14,43.44,True
2012/03/15,44.11,True
2012/03/16,44.53,True
2012/03/19,44.14,True
2012/03/20,43.01,True
2012/03/21,42.41,True
2012/03/22,42.06,True
2012/03/23,42.38,True
2012/03/26,43.3,True
2012/03/27,42.62,True
2012/03/28,41.62,True
2012/03/29,41.78,True
2012/03/30,41.91,True
2012/04/02,42.36,True
2012/04/03,43.15,True
2012/04/04,42.99,True
2012/04/05,42.68,True
2012/04/09,41.44,True
2012/04/10,40.98,True
2012/04/11,41.29,True
2012/04/12,43.14,True
2012/04/13,42.23,True
2012/04/16,41.98,True
2012/04/17,43.19,True
2012/04/18,43.22,True
2012/04/19,43.07,True
2012/04/20,42.8,True
2012/04/23,42.49,True
2012/04/24,42.67,True
2012/04/25,43.32,True
2012/04/26,43.45,True
2012/04/27,43.72,True
2012/04/30,42.71,True
2012/05/01,43.25,True
2012/05/02,42.39,True
2012/05/03,41.67,True
2012/05/04,40.98,True
2012/05/07,40.8,True
2012/05/08,41.0,True
2012/05/09,40.43,True
2012/05/10,40.5,True
2012/05/11,40.03,True
2012/05/14,39.64,True
2012/05/15,38.87,True
2012/05/16,38.74,True
2012/05/17,38.15,True
2012/05/18,37.81,True
2012/05/21,38.29,True
2012/05/22,38.3,True
2012/05/23,38.85,True
2012/05/24,38.97,True
2012/05/25,39.07,True
2012/05/29,39.62,True
2012/05/30,38.78,True
2012/05/31,38.75,True
2012/06/01,37.3,True
2012/06/04,37.89,True
2012/06/05,38.72,True
2012/06/06,39.27,True
2012/06/07,39.07,True
2012/06/08,39.52,True
2012/06/11,39.93,True
2012/06/12,39.82,True
2012/06/13,39.15,True
2012/06/14,39.29,True
2012/06/15,39.42,True
2012/06/18,39.79,True
2012/06/19,40.5,True
2012/06/20,40.44,True
2012/06/21,39.32,True
2012/06/22,39.76,True
2012/06/25,38.85,True
2012/06/26,39.16,True
2012/06/27,39.25,True
2012/06/28,42.6,True
2012/06/29,43.16,True
2012/07/02,42.9,True
2012/07/03,42.82,True
2012/07/05,42.57,True
2012/07/06,42.29,True
2012/07/09,42.34,True
2012/07/10,42.09,True
2012/07/11,41.82,True
2012/07/12,41.45,True
2012/07/13,41.63,True
2012/07/16,41.31,True
2012/07/17,41.27,True
2012/07/18,40.38,True
2012/07/19,40.23,True
2012/07/20,40.0,True
2012/07/23,38.82,True
2012/07/24,38.25,True
2012/07/25,38.26,True
2012/07/26,38.32,True
2012/07/27,40.11,True
2012/07/30,39.69,True
2012/07/31,39.08,True
2012/08/01,39.21,True
2012/08/02,38.74,True
2012/08/03,39.35,True
2012/08/06,39.07,True
2012/08/07,39.73,True
2012/08/08,39.62,True
2012/08/09,39.92,True
2012/08/10,39.75,True
2012/08/13,39.7,True
2012/08/14,39.78,True
2012/08/15,39.62,True
2012/08/16,40.29,True
2012/08/17,40.09,True
2012/08/20,40.38,True
2012/08/21,40.32,True
2012/08/22,40.16,True
2012/08/23,39.85,True
2012/08/24,39.6,True
2012/08/27,39.89,True
2012/08/28,40.12,True
2012/08/29,39.99,True
2012/08/30,40.01,True
2012/08/31,39.95,True
2012/09/04,40.36,True
2012/09/05,40.41,True
2012/09/06,41.16,True
2012/09/07,41.0,True
2012/09/10,40.63,True
2012/09/11,40.4,True
2012/09/12,41.03,True
2012/09/13,41.81,True
2012/09/14,43.65,True
2012/09/17,43.94,True
2012/09/18,44.61,True
2012/09/19,44.83,True
2012/09/20,45.31,True
2012/09/21,45.28,True
2012/09/24,45.37,True
2012/09/25,44.88,True
2012/09/26,44.91,True
2012/09/27,45.75,True
2012/09/28,45.73,True
2012/10/01,45.87,True
2012/10/02,46.12,True
2012/10/03,46.1,True
2012/10/04,46.21,True
2012/10/05,46.06,True
2012/10/08,45.91,True
2012/10/09,45.15,True
2012/10/10,44.86,True
2012/10/11,45.58,True
2012/10/12,45.33,True
2012/10/15,45.45,True
2012/10/16,45.02,True
2012/10/17,44.97,True
2012/10/18,44.45,True
2012/10/19,43.89,True
2012/10/22,44.22,True
2012/10/23,43.58,True
2012/10/24,43.27,True
2012/10/25,43.61,True
2012/10/26,42.78,True
2012/10/31,41.39,True
2012/11/01,43.66,True
2012/11/02,42.75,True
2012/11/05,43.73,True
2012/11/06,43.71,True
2012/11/07,45.6,True
2012/11/08,43.9,True
2012/11/09,43.27,True
2012/11/12,43.31,True
2012/11/13,42.78,True
2012/11/14,41.57,True
2012/11/15,41.31,True
2012/11/16,41.62,True
2012/11/19,42.87,True
2012/11/20,42.85,True
