date,PRC,is_prediction
2012/01/03,51.49,True
2012/01/04,52.24,True
2012/01/05,52.59,True
2012/01/06,52.78,True
2012/01/09,52.72,True
2012/01/10,52.62,True
2012/01/11,53.01,True
2012/01/12,52.87,True
2012/01/13,52.7,True
2012/01/17,53.57,True
2012/01/18,53.94,True
2012/01/19,52.32,True
2012/01/20,52.27,True
2012/01/23,52.43,True
2012/01/24,51.33,True
2012/01/25,51.57,True
2012/01/26,50.35,True
2012/01/27,51.02,True
2012/01/30,51.07,True
2012/01/31,51.79,True
2012/02/01,53.26,True
2012/02/02,52.54,True
2012/02/03,51.31,True
2012/02/06,51.29,True
2012/02/07,52.03,True
2012/02/08,52.14,True
2012/02/09,53.06,True
2012/02/10,53.32,True
2012/02/13,53.85,True
2012/02/14,54.46,True
2012/02/15,54.62,True
2012/02/16,54.79,True
2012/02/17,54.68,True
2012/02/21,55.32,True
2012/02/22,55.18,True
2012/02/23,54.94,True
2012/02/24,55.65,True
2012/02/27,55.73,True
2012/02/28,55.84,True
2012/02/29,55.75,True
2012/03/01,55.99,True
2012/03/02,55.84,True
2012/03/05,55.04,True
2012/03/06,54.46,True
2012/03/07,54.39,True
2012/03/08,55.61,True
2012/03/09,55.78,True
2012/03/12,55.02,True
2012/03/13,55.33,True
2012/03/14,55.78,True
2012/03/15,55.71,True
2012/03/16,55.59,True
2012/03/19,56.13,True
2012/03/20,54.78,True
2012/03/21,53.97,True
2012/03/22,53.88,True
2012/03/23,53.66,True
2012/03/26,55.1,True
2012/03/27,55.43,True
2012/03/28,55.44,True
2012/03/29,58.11,True
2012/03/30,58.94,True
2012/04/02,59.12,True
2012/04/03,59.4,True
2012/04/04,59.06,True
2012/04/05,59.01,True
2012/04/09,58.14,True
2012/04/10,57.56,True
2012/04/11,58.02,True
2012/04/12,58.46,True
2012/04/13,58.05,True
2012/04/16,57.36,True
2012/04/17,58.1,True
2012/04/18,57.32,True
2012/04/19,58.71,True
2012/04/20,59.51,True
2012/04/23,59.19,True
2012/04/24,58.72,True
2012/04/25,58.87,True
2012/04/26,58.37,True
2012/04/27,57.91,True
2012/04/30,56.15,True
2012/05/01,57.13,True
2012/05/02,56.66,True
2012/05/03,55.72,True
2012/05/04,54.72,True
2012/05/07,55.25,True
2012/05/08,55.82,True
2012/05/09,55.22,True
2012/05/10,55.29,True
2012/05/11,55.2,True
2012/05/14,55.16,True
2012/05/15,54.94,True
2012/05/16,54.9,True
2012/05/17,54.88,True
2012/05/18,53.99,True
2012/05/21,55.55,True
2012/05/22,55.72,True
2012/05/23,55.36,True
2012/05/24,56.22,True
2012/05/25,56.12,True
2012/05/29,56.15,True
2012/05/30,56.17,True
2012/05/31,55.77,True
2012/06/01,55.04,True
2012/06/04,54.91,True
2012/06/05,56.04,True
2012/06/06,57.7,True
2012/06/07,57.45,True
2012/06/08,58.0,True
2012/06/11,57.46,True
2012/06/12,57.84,True
2012/06/13,58.01,True
