date,PRC,is_prediction
2012/01/03,108.0,True
2012/01/04,108.78,True
2012/01/05,107.99,True
2012/01/06,107.53,True
2012/01/09,109.49,True
2012/01/10,111.36,True
2012/01/11,111.98,True
2012/01/12,111.05,True
2012/01/13,109.73,True
2012/01/17,109.5,True
2012/01/18,109.82,True
2012/01/19,112.18,True
2012/01/20,112.84,True
2012/01/23,111.22,True
2012/01/24,111.21,True
2012/01/25,113.63,True
2012/01/26,113.68,True
2012/01/27,114.9,True
2012/01/30,114.64,True
2012/01/31,114.31,True
2012/02/01,114.84,True
2012/02/02,114.73,True
2012/02/03,116.11,True
2012/02/06,115.05,True
2012/02/07,114.68,True
2012/02/08,114.35,True
2012/02/09,112.8,True
2012/02/10,111.63,True
2012/02/13,113.18,True
2012/02/14,113.17,True
2012/02/15,109.41,True
2012/02/16,108.88,True
2012/02/17,110.99,True
2012/02/21,111.78,True
2012/02/22,112.08,True
2012/02/23,111.95,True
2012/02/24,112.62,True
2012/02/27,112.74,True
2012/02/28,112.22,True
2012/02/29,110.25,True
2012/03/01,111.53,True
2012/03/02,110.89,True
2012/03/05,109.55,True
2012/03/06,106.8,True
2012/03/07,107.84,True
2012/03/08,109.27,True
2012/03/09,107.64,True
2012/03/12,108.15,True
2012/03/13,110.39,True
2012/03/14,107.71,True
2012/03/15,113.08,True
2012/03/16,113.15,True
2012/03/19,113.01,True
2012/03/20,111.84,True
2012/03/21,112.31,True
2012/03/22,110.04,True
2012/03/23,108.89,True
2012/03/26,111.33,True
2012/03/27,110.51,True
2012/03/28,107.91,True
2012/03/29,107.4,True
2012/03/30,107.48,True
2012/04/02,109.6,True
2012/04/03,107.75,True
2012/04/04,108.38,True
2012/04/05,108.65,True
2012/04/09,106.18,True
2012/04/10,104.98,True
2012/04/11,105.8,True
2012/04/12,108.8,True
2012/04/13,108.04,True
2012/04/16,108.09,True
2012/04/17,109.2,True
2012/04/18,109.65,True
2012/04/19,105.7,True
2012/04/20,107.26,True
2012/04/23,109.0,True
2012/04/24,110.52,True
2012/04/25,113.49,True
2012/04/26,113.37,True
2012/04/27,113.89,True
2012/04/30,112.44,True
2012/05/01,114.81,True
2012/05/02,115.04,True
2012/05/03,114.06,True
2012/05/04,113.6,True
2012/05/07,113.63,True
2012/05/08,113.08,True
2012/05/09,111.89,True
2012/05/10,112.41,True
2012/05/11,112.18,True
2012/05/14,111.07,True
2012/05/15,112.41,True
2012/05/16,112.0,True
2012/05/17,108.16,True
2012/05/18,107.17,True
2012/05/21,110.18,True
2012/05/22,111.38,True
2012/05/23,112.49,True
2012/05/24,112.89,True
2012/05/25,111.88,True
2012/05/29,112.59,True
2012/05/30,109.86,True
2012/05/31,111.4,True
2012/06/01,108.11,True
2012/06/04,106.45,True
2012/06/05,107.08,True
2012/06/06,110.18,True
2012/06/07,110.28,True
2012/06/08,110.64,True
2012/06/11,109.61,True
2012/06/12,112.17,True
2012/06/13,112.3,True
2012/06/14,113.64,True
2012/06/15,114.87,True
2012/06/18,118.19,True
2012/06/19,118.41,True
2012/06/20,117.29,True
2012/06/21,115.46,True
2012/06/22,116.48,True
2012/06/25,113.93,True
2012/06/26,114.68,True
2012/06/27,114.79,True
2012/06/28,115.32,True
2012/06/29,119.31,True
2012/07/02,118.56,True
2012/07/03,118.95,True
2012/07/05,118.25,True
2012/07/06,116.75,True
2012/07/09,117.99,True
2012/07/10,116.46,True
2012/07/11,116.52,True
2012/07/12,116.29,True
2012/07/13,118.15,True
2012/07/16,117.96,True
2012/07/17,118.34,True
2012/07/18,118.6,True
2012/07/19,122.77,True
2012/07/20,119.6,True
2012/07/23,117.29,True
2012/07/24,116.79,True
2012/07/25,117.39,True
2012/07/26,120.81,True
2012/07/27,122.48,True
2012/07/30,123.14,True
2012/07/31,122.61,True
2012/08/01,121.59,True
2012/08/02,121.8,True
2012/08/03,124.54,True
2012/08/06,123.39,True
2012/08/07,123.25,True
2012/08/08,122.0,True
2012/08/09,121.29,True
2012/08/10,122.01,True
2012/08/13,121.69,True
2012/08/14,121.68,True
2012/08/15,123.71,True
2012/08/16,124.92,True
2012/08/17,125.01,True
2012/08/20,124.32,True
2012/08/21,124.72,True
2012/08/22,124.69,True
2012/08/23,123.79,True
2012/08/24,123.99,True
2012/08/27,123.65,True
2012/08/28,123.5,True
2012/08/29,122.78,True
2012/08/30,121.4,True
2012/08/31,121.44,True
2012/09/04,122.26,True
2012/09/05,119.23,True
2012/09/06,121.24,True
2012/09/07,122.25,True
2012/09/10,122.86,True
2012/09/11,124.19,True
2012/09/12,124.94,True
2012/09/13,126.47,True
2012/09/14,128.42999,True
2012/09/17,126.91,True
2012/09/18,126.62,True
2012/09/19,125.05,True
2012/09/20,120.95,True
2012/09/21,119.37,True
2012/09/24,121.11,True
2012/09/25,120.38,True
2012/09/26,118.92,True
2012/09/27,118.51,True
2012/09/28,118.7,True
2012/10/01,118.53,True
2012/10/02,119.1,True
2012/10/03,120.64,True
2012/10/04,121.57,True
2012/10/05,122.16,True
2012/10/08,122.64,True
2012/10/09,121.26,True
2012/10/10,120.93,True
2012/10/11,120.92,True
2012/10/12,121.05,True
2012/10/15,120.93,True
2012/10/16,123.4,True
2012/10/17,123.73,True
2012/10/18,125.34,True
2012/10/19,123.77,True
2012/10/22,124.34,True
2012/10/23,123.22,True
2012/10/24,120.87,True
2012/10/25,121.64,True
2012/10/26,123.61,True
2012/10/31,123.03,True
2012/11/01,125.97,True
2012/11/02,123.98,True
2012/11/05,123.74,True
2012/11/06,124.76,True
2012/11/07,122.14,True
2012/11/08,121.03,True
2012/11/09,120.25,True
2012/11/12,121.77,True
2012/11/13,121.32,True
2012/11/14,117.46,True
2012/11/15,117.9922,True
2012/11/16,117.56,True
2012/11/19,119.71,True
2012/11/20,120.03,True
2012/11/21,120.04,True
2012/11/23,121.98,True
2012/11/26,121.87,True
2012/11/27,122.25,True
2012/11/28,122.79,True
2012/11/29,123.16,True
2012/11/30,122.78,True
2012/12/03,121.43,True
2012/12/04,122.37,True
2012/12/05,122.86,True
2012/12/06,123.1308,True
2012/12/07,123.95,True
2012/12/10,125.23,True
2012/12/11,123.59,True
2012/12/12,124.7,True
2012/12/13,124.69,True
2012/12/14,124.2746,True
2012/12/17,125.69,True
2012/12/18,127.16,True
2012/12/19,125.77,True
2012/12/20,126.12,True
2012/12/21,125.68,True
2012/12/24,125.5,True
2012/12/26,124.71,True
2012/12/27,124.62,True
2012/12/28,123.54,True
2012/12/31,125.72,True
2013/01/01,125.89468478613827,False
2013/01/02,125.9087425852344,False
2013/01/03,125.98623200111089,False
2013/01/04,126.09183231632217,False
2013/01/07,126.05285146877618,False
2013/01/08,125.99814063373812,False
2013/01/09,125.99687585383185,False
2013/01/10,126.08923738847218,False
2013/01/11,126.17688592524364,False
2013/01/14,126.2598679883303,False
2013/01/15,126.34629427258339,False
2013/01/16,126.43020796686612,False
2013/01/17,126.50210638230621,False
2013/01/18,126.56610246174299,False
2013/01/21,126.62906449570417,False
2013/01/22,126.69419545135746,False
2013/01/23,126.76064246142481,False
2013/01/24,126.82843455715539,False
2013/01/25,126.897679217817,False
2013/01/28,126.96766039481426,False
2013/01/29,127.03745387950927,False
2013/01/30,127.10675047721527,False
2013/01/31,127.1756567530629,False
2013/02/01,127.24432477560005,False
2013/02/04,127.31286081386682,False
2013/02/05,127.38138841007382,False
2013/02/06,127.45000108455953,False
2013/02/07,127.51871396680642,False
2013/02/08,127.5874907642602,False
2013/02/11,127.65629298499299,False
2013/02/12,127.72509515383662,False
2013/02/13,127.79388238401765,False
2013/02/14,127.8626495421114,False
2013/02/15,127.93140099120897,False
2013/02/18,128.0001452634388,False
2013/02/19,128.06888933085497,False
2013/02/20,128.13763664469326,False
2013/02/21,128.2063880619655,False
2013/02/22,128.2751427250644,False
2013/02/25,128.34389908559544,False
2013/02/26,128.41265557176203,False
2013/02/27,128.48141132442674,False
2013/02/28,128.55016603320814,False
2013/03/01,128.61891993989292,False
2013/03/04,128.68767334051904,False
2013/03/05,128.75642659657044,False
2013/03/06,128.8251798727312,False
2013/03/07,128.89393326972558,False
2013/03/08,128.9626867669126,False
2013/03/11,129.03144033322553,False
