date,PRC,is_prediction
2012/01/03,27.58,True
2012/01/04,27.57,True
2012/01/05,27.98,True
2012/01/06,27.75,True
2012/01/09,28.24,True
2012/01/10,28.26,True
2012/01/11,28.41,True
2012/01/12,28.74,True
2012/01/13,29.03,True
2012/01/17,28.77,True
2012/01/18,29.08,True
2012/01/19,28.56,True
2012/01/20,28.74,True
2012/01/23,28.49,True
2012/01/24,28.45,True
2012/01/25,28.6,True
2012/01/26,27.79,True
2012/01/27,27.86,True
2012/01/30,28.01,True
2012/01/31,28.22,True
2012/02/01,28.56,True
2012/02/02,28.57,True
2012/02/03,29.2,True
2012/02/06,29.16,True
2012/02/07,29.45,True
2012/02/08,29.63,True
2012/02/09,29.34,True
2012/02/10,29.01,True
2012/02/13,29.18,True
2012/02/14,29.0,True
2012/02/15,28.63,True
2012/02/16,29.08,True
2012/02/17,29.35,True
2012/02/21,29.12,True
2012/02/22,28.81,True
2012/02/23,28.99,True
2012/02/24,28.73,True
2012/02/27,29.3,True
2012/02/28,29.17,True
2012/02/29,29.4,True
2012/03/01,29.71,True
2012/03/02,29.27,True
2012/03/05,28.9,True
2012/03/06,28.37,True
2012/03/07,28.64,True
2012/03/08,29.16,True
2012/03/09,29.72,True
2012/03/12,29.68,True
2012/03/13,31.01,True
2012/03/14,31.48,True
2012/03/15,31.68,True
2012/03/16,31.65,True
2012/03/19,31.85,True
2012/03/20,31.7,True
2012/03/21,31.54,True
2012/03/22,31.37,True
2012/03/23,31.7,True
2012/03/26,32.11,True
2012/03/27,31.69,True
2012/03/28,31.82,True
2012/03/29,31.55,True
2012/03/30,31.68,True
2012/04/02,31.71,True
2012/04/03,31.59,True
2012/04/04,31.31,True
2012/04/05,31.35,True
2012/04/09,31.01,True
2012/04/10,30.34,True
2012/04/11,30.87,True
2012/04/12,31.34,True
2012/04/13,30.9,True
2012/04/16,31.16,True
2012/04/17,31.55,True
2012/04/18,31.3,True
2012/04/19,31.22,True
2012/04/20,31.29,True
2012/04/23,31.21,True
2012/04/24,31.62,True
2012/04/25,31.68,True
2012/04/26,32.1,True
2012/04/27,32.43,True
2012/04/30,32.17,True
2012/05/01,32.29,True
2012/05/02,32.04,True
2012/05/03,31.94,True
2012/05/04,31.67,True
2012/05/07,31.84,True
2012/05/08,31.57,True
2012/05/09,31.47,True
2012/05/10,31.91,True
2012/05/11,32.21,True
2012/05/14,31.56,True
2012/05/15,31.3,True
2012/05/16,31.06,True
2012/05/17,30.65,True
2012/05/18,30.27,True
2012/05/21,30.72,True
2012/05/22,31.0,True
2012/05/23,31.09,True
2012/05/24,31.13,True
2012/05/25,30.93,True
2012/05/29,31.21,True
2012/05/30,30.75,True
2012/05/31,31.11,True
2012/06/01,29.6,True
2012/06/04,28.79,True
2012/06/05,29.22,True
2012/06/06,29.7,True
2012/06/07,29.58,True
2012/06/08,30.1,True
2012/06/11,29.87,True
2012/06/12,30.63,True
2012/06/13,30.56,True
2012/06/14,31.01,True
2012/06/15,31.58,True
2012/06/18,31.52,True
2012/06/19,31.76,True
2012/06/20,31.72,True
2012/06/21,31.23,True
2012/06/22,31.72,True
2012/06/25,31.16,True
2012/06/26,31.305,True
2012/06/27,31.43,True
2012/06/28,31.44,True
2012/06/29,32.16,True
2012/07/02,32.44,True
2012/07/03,32.58,True
2012/07/05,32.29,True
2012/07/06,32.01,True
2012/07/09,32.03,True
2012/07/10,31.9,True
2012/07/11,32.28,True
2012/07/12,32.01,True
2012/07/13,32.7,True
2012/07/16,32.78,True
2012/07/17,32.95,True
2012/07/18,33.48,True
2012/07/19,33.8,True
2012/07/20,33.6,True
2012/07/23,33.42,True
2012/07/24,33.465,True
2012/07/25,33.29,True
2012/07/26,33.59,True
2012/07/27,33.92,True
2012/07/30,33.75,True
2012/07/31,33.5,True
2012/08/01,33.32,True
2012/08/02,32.9,True
2012/08/03,33.49,True
2012/08/06,33.01,True
2012/08/07,33.09,True
2012/08/08,33.02,True
2012/08/09,33.03,True
2012/08/10,33.16,True
2012/08/13,33.18,True
2012/08/14,33.02,True
2012/08/15,33.17,True
2012/08/16,33.21,True
2012/08/17,33.11,True
2012/08/20,33.23,True
2012/08/21,33.03,True
2012/08/22,32.9,True
2012/08/23,32.76,True
2012/08/24,33.03,True
2012/08/27,33.19,True
2012/08/28,33.31,True
2012/08/29,33.5,True
2012/08/30,33.29,True
2012/08/31,33.41,True
2012/09/04,33.12,True
2012/09/05,33.08,True
2012/09/06,33.93,True
2012/09/07,33.98,True
2012/09/10,33.83,True
2012/09/11,34.04,True
2012/09/12,33.94,True
2012/09/13,34.87,True
2012/09/14,34.93,True
2012/09/17,34.19,True
2012/09/18,34.19,True
2012/09/19,34.34,True
2012/09/20,34.04,True
2012/09/21,33.85,True
2012/09/24,34.18,True
2012/09/25,34.12,True
2012/09/26,33.95,True
2012/09/27,34.16,True
2012/09/28,34.3,True
2012/10/01,34.09,True
2012/10/02,34.08,True
2012/10/03,34.38,True
2012/10/04,35.19,True
2012/10/05,34.92,True
2012/10/08,34.81,True
2012/10/09,34.68,True
2012/10/10,34.6,True
2012/10/11,34.39,True
2012/10/12,33.72,True
2012/10/15,33.63,True
2012/10/16,33.61,True
2012/10/17,34.2,True
2012/10/18,34.4,True
2012/10/19,34.23,True
2012/10/22,34.17,True
2012/10/23,33.36,True
2012/10/24,33.13,True
2012/10/25,33.48,True
2012/10/26,33.15,True
2012/10/31,33.21,True
2012/11/01,33.66,True
2012/11/02,33.43,True
2012/11/05,33.14,True
2012/11/06,33.59,True
2012/11/07,32.39,True
2012/11/08,32.17,True
2012/11/09,32.1,True
2012/11/12,32.06,True
2012/11/13,31.71,True
2012/11/14,31.33,True
2012/11/15,31.21,True
2012/11/16,31.55,True
2012/11/19,32.08,True
2012/11/20,32.25,True
2012/11/21,32.05,True
2012/11/23,32.58,True
2012/11/26,32.385,True
2012/11/27,32.1,True
2012/11/28,32.39,True
2012/11/29,32.4,True
2012/11/30,32.26,True
2012/12/03,32.05,True
2012/12/04,31.43,True
2012/12/05,31.76,True
2012/12/06,31.81,True
2012/12/07,32.02,True
2012/12/10,31.9,True
2012/12/11,31.97,True
2012/12/12,31.87,True
2012/12/13,31.57,True
2012/12/14,31.4,True
2012/12/17,32.09,True
2012/12/18,32.57,True
2012/12/19,32.2,True
2012/12/20,32.44,True
2012/12/21,32.48,True
2012/12/24,32.31,True
2012/12/26,32.26,True
2012/12/27,32.02,True
2012/12/28,31.68,True
2012/12/31,31.94,True
2013/01/01,31.942686899337755,False
2013/01/02,31.975209917718022,False
2013/01/03,32.07632413118378,False
2013/01/04,32.12195157390884,False
2013/01/07,32.16891651946144,False
2013/01/08,32.204400895907135,False
2013/01/09,32.1912305439335,False
2013/01/10,32.20180189135967,False
2013/01/11,32.20866381157982,False
2013/01/14,32.21108688761538,False
2013/01/15,32.22503994055841,False
2013/01/16,32.24103712129829,False
2013/01/17,32.259493680346935,False
2013/01/18,32.28191590157391,False
2013/01/21,32.3016169207676,False
2013/01/22,32.32103012715081,False
2013/01/23,32.33993579334162,False
2013/01/24,32.3569712481335,False
2013/01/25,32.373621295786236,False
2013/01/28,32.390028705672854,False
2013/01/29,32.40625182587734,False
2013/01/30,32.42294579053666,False
2013/01/31,32.43985844016793,False
2013/02/01,32.45697569094734,False
2013/02/04,32.474341834035805,False
2013/02/05,32.491732725936586,False
2013/02/06,32.509106842259364,False
2013/02/07,32.52644183139559,False
2013/02/08,32.5436823536069,False
2013/02/11,32.56086940495782,False
2013/02/12,32.578021054537956,False
2013/02/13,32.59515005811371,False
2013/02/14,32.612288115754424,False
2013/02/15,32.62944103259369,False
2013/02/18,32.64660975475514,False
2013/02/19,32.66379540489753,False
2013/02/20,32.68098932516767,False
2013/02/21,32.69818623881568,False
2013/02/22,32.71538258418155,False
2013/02/25,32.73257461880257,False
2013/02/26,32.749762346285294,False
2013/02/27,32.76694664608142,False
2013/02/28,32.784128539482495,False
2013/03/01,32.80130976797643,False
2013/03/04,32.818491334536105,False
2013/03/05,32.83567373820387,False
2013/03/06,32.852857221067524,False
2013/03/07,32.87004151810902,False
2013/03/08,32.887226276218236,False
2013/03/11,32.90441118486789,False
