date,PRC,is_prediction
2012/01/03,45.91,True
2012/01/04,45.9,True
2012/01/05,46.97,True
2012/01/06,47.45,True
2012/01/09,46.6,True
2012/01/10,46.93,True
2012/01/11,47.28,True
2012/01/12,47.89,True
2012/01/13,46.89,True
2012/01/17,47.56,True
2012/01/18,48.06,True
2012/01/19,48.58,True
2012/01/20,47.63,True
2012/01/23,47.75,True
2012/01/24,48.0,True
2012/01/25,48.35,True
2012/01/26,48.01,True
2012/01/27,47.82,True
2012/01/30,47.9,True
2012/01/31,47.04,True
2012/02/01,46.97,True
2012/02/02,46.69,True
2012/02/03,48.36,True
2012/02/06,48.72,True
2012/02/07,48.8,True
2012/02/08,49.37,True
2012/02/09,49.38,True
2012/02/10,49.22,True
2012/02/13,49.39,True
2012/02/14,49.04,True
2012/02/15,48.47,True
2012/02/16,48.9,True
2012/02/17,48.69,True
2012/02/21,48.38,True
2012/02/22,47.77,True
2012/02/23,47.49,True
2012/02/24,47.45,True
2012/02/27,46.9,True
2012/02/28,47.16,True
2012/02/29,47.66,True
2012/03/01,48.83,True
2012/03/02,48.48,True
2012/03/05,48.47,True
2012/03/06,47.24,True
2012/03/07,47.43,True
2012/03/08,48.3,True
2012/03/09,47.79,True
2012/03/12,47.54,True
2012/03/13,48.03,True
2012/03/14,47.48,True
2012/03/15,47.1,True
2012/03/16,47.62,True
2012/03/19,48.46,True
2012/03/20,47.67,True
2012/03/21,47.13,True
2012/03/22,46.68,True
2012/03/23,46.64,True
2012/03/26,47.07,True
2012/03/27,47.65,True
2012/03/28,47.17,True
2012/03/29,47.34,True
2012/03/30,47.46,True
2012/04/02,47.14,True
2012/04/03,46.97,True
2012/04/04,46.4,True
2012/04/05,47.26,True
2012/04/09,46.75,True
2012/04/10,46.24,True
2012/04/11,46.4,True
2012/04/12,47.075,True
2012/04/13,46.78,True
2012/04/16,46.4,True
2012/04/17,47.15,True
2012/04/18,47.275,True
2012/04/19,47.26,True
2012/04/20,47.28,True
2012/04/23,46.39,True
2012/04/24,46.13,True
2012/04/25,46.93,True
2012/04/26,47.44,True
2012/04/27,47.37,True
2012/04/30,46.39,True
2012/05/01,46.61,True
2012/05/02,47.43,True
