date,PRC,is_prediction
2012/01/03,20.93,True
2012/01/04,20.42,True
2012/01/05,19.81,True
2012/01/06,20.37,True
2012/01/09,19.61,True
2012/01/10,20.08,True
2012/01/11,20.45,True
2012/01/12,20.94,True
2012/01/13,21.02,True
2012/01/17,22.03,True
2012/01/18,23.05,True
2012/01/19,23.0,True
2012/01/20,23.51,True
2012/01/23,23.52,True
2012/01/24,24.19,True
2012/01/25,24.65,True
2012/01/26,23.89,True
2012/01/27,24.12,True
2012/01/30,24.28,True
2012/01/31,23.99,True
2012/02/01,23.98,True
2012/02/02,24.08,True
2012/02/03,24.63,True
2012/02/06,24.86,True
2012/02/07,25.29,True
2012/02/08,25.04,True
2012/02/09,25.29,True
2012/02/10,24.81,True
2012/02/13,24.45,True
2012/02/14,24.62,True
2012/02/15,24.87,True
2012/02/16,25.35,True
2012/02/17,24.99,True
2012/02/21,25.53,True
2012/02/22,25.51,True
2012/02/23,25.8,True
2012/02/24,24.39,True
2012/02/27,24.53,True
2012/02/28,24.79,True
2012/02/29,24.49,True
2012/03/01,25.7,True
2012/03/02,26.02,True
2012/03/05,25.69,True
2012/03/06,25.17,True
2012/03/07,27.0,True
2012/03/08,27.87,True
2012/03/09,28.56,True
2012/03/12,28.22,True
2012/03/13,28.48,True
2012/03/14,27.98,True
2012/03/15,28.02,True
2012/03/16,27.99,True
2012/03/19,27.95,True
2012/03/20,27.46,True
2012/03/21,27.14,True
2012/03/22,26.44,True
2012/03/23,26.69,True
2012/03/26,27.05,True
2012/03/27,27.52,True
2012/03/28,27.32,True
2012/03/29,26.65,True
2012/03/30,25.77,True
2012/04/02,26.33,True
2012/04/03,25.4,True
2012/04/04,25.27,True
2012/04/05,24.94,True
2012/04/09,24.71,True
2012/04/10,23.6,True
2012/04/11,23.79,True
2012/04/12,24.93,True
2012/04/13,24.14,True
2012/04/16,23.36,True
2012/04/17,24.08,True
2012/04/18,23.88,True
2012/04/19,23.9,True
2012/04/20,23.75,True
2012/04/23,23.62,True
2012/04/24,23.93,True
2012/04/25,24.16,True
2012/04/26,24.57,True
2012/04/27,25.12,True
2012/04/30,24.7,True
2012/05/01,24.84,True
2012/05/02,24.21,True
2012/05/03,23.54,True
2012/05/04,22.95,True
2012/05/07,22.88,True
2012/05/08,22.56,True
2012/05/09,22.48,True
2012/05/10,22.56,True
2012/05/11,22.54,True
2012/05/14,22.05,True
2012/05/15,21.52,True
2012/05/16,21.83,True
2012/05/17,21.59,True
2012/05/18,21.44,True
2012/05/21,21.88,True
2012/05/22,22.06,True
2012/05/23,22.21,True
2012/05/24,22.12,True
2012/05/25,22.34,True
2012/05/29,22.37,True
2012/05/30,21.81,True
2012/05/31,21.1,True
2012/06/01,20.68,True
2012/06/04,20.37,True
2012/06/05,21.0,True
2012/06/06,21.72,True
2012/06/07,21.45,True
2012/06/08,21.27,True
2012/06/11,21.85,True
2012/06/12,22.28,True
2012/06/13,21.74,True
2012/06/14,21.89,True
2012/06/15,22.24,True
2012/06/18,21.79,True
2012/06/19,23.03,True
2012/06/20,23.54,True
2012/06/21,22.99,True
2012/06/22,23.5,True
2012/06/25,22.97,True
2012/06/26,23.35,True
2012/06/27,23.62,True
2012/06/28,23.93,True
2012/06/29,24.15,True
2012/07/02,24.19,True
2012/07/03,25.01,True
2012/07/05,24.41,True
