date,PRC,is_prediction
2012/01/03,32.23,True
2012/01/04,32.2,True
2012/01/05,33.12,True
2012/01/06,34.05,True
2012/01/09,35.68,True
2012/01/10,36.32,True
2012/01/11,37.32,True
2012/01/12,37.07,True
2012/01/13,36.81,True
2012/01/17,36.51,True
2012/01/18,37.47,True
2012/01/19,36.97,True
2012/01/20,36.31,True
2012/01/23,35.86,True
2012/01/24,34.99,True
2012/01/25,35.46,True
2012/01/26,35.72,True
2012/01/27,35.98,True
2012/01/30,34.74,True
2012/01/31,36.95,True
2012/02/01,37.83,True
2012/02/02,38.38,True
2012/02/03,36.78,True
2012/02/06,38.245,True
2012/02/07,37.59,True
2012/02/08,36.78,True
2012/02/09,37.04,True
2012/02/10,36.13,True
2012/02/13,36.15,True
2012/02/14,36.13,True
2012/02/15,36.48,True
2012/02/16,37.49,True
2012/02/17,39.24,True
2012/02/21,37.77,True
2012/02/22,37.6,True
2012/02/23,38.64,True
2012/02/24,38.39,True
2012/02/27,38.69,True
2012/02/28,38.25,True
2012/02/29,38.92,True
2012/03/01,40.37,True
2012/03/02,40.73,True
2012/03/05,40.4,True
2012/03/06,39.69,True
2012/03/07,40.73,True
2012/03/08,41.66,True
2012/03/09,41.79,True
2012/03/12,41.62,True
2012/03/13,41.72,True
2012/03/14,41.32,True
2012/03/15,42.81,True
2012/03/16,42.94,True
2012/03/19,41.64,True
2012/03/20,40.92,True
2012/03/21,41.09,True
2012/03/22,40.64,True
2012/03/23,41.34,True
2012/03/26,40.93,True
2012/03/27,40.95,True
2012/03/28,40.44,True
2012/03/29,40.54,True
2012/03/30,41.01,True
2012/04/02,40.48,True
2012/04/03,41.8,True
2012/04/04,40.57,True
2012/04/05,40.05,True
2012/04/09,38.11,True
2012/04/10,36.56,True
2012/04/11,37.03,True
2012/04/12,37.71,True
2012/04/13,36.17,True
2012/04/16,35.49,True
2012/04/17,36.42,True
2012/04/18,35.56,True
2012/04/19,36.66,True
2012/04/20,36.58,True
2012/04/23,36.67,True
2012/04/24,36.59,True
2012/04/25,37.67,True
2012/04/26,37.52,True
2012/04/27,38.62,True
2012/04/30,38.48,True
2012/05/01,38.45,True
2012/05/02,38.36,True
2012/05/03,38.11,True
2012/05/04,37.41,True
2012/05/07,58.12,True
2012/05/08,64.16,True
2012/05/09,60.35,True
2012/05/10,60.19,True
2012/05/11,62.02,True
2012/05/14,64.7,True
2012/05/15,63.38,True
2012/05/16,62.61,True
2012/05/17,61.27,True
2012/05/18,61.34,True
2012/05/21,62.1,True
2012/05/22,63.09,True
2012/05/23,63.94,True
2012/05/24,64.09,True
2012/05/25,64.85,True
2012/05/29,57.8,True
2012/05/30,60.18,True
2012/05/31,60.04,True
2012/06/01,59.56,True
2012/06/04,57.7,True
2012/06/05,58.56,True
2012/06/06,57.84,True
2012/06/07,56.77,True
2012/06/08,56.98,True
2012/06/11,54.9,True
2012/06/12,55.95,True
2012/06/13,55.46,True
2012/06/14,55.94,True
2012/06/15,56.54,True
2012/06/18,57.77,True
2012/06/19,57.23,True
2012/06/20,59.15,True
2012/06/21,57.6,True
2012/06/22,60.61,True
2012/06/25,58.43,True
2012/06/26,59.62,True
2012/06/27,61.11,True
2012/06/28,51.18,True
2012/06/29,55.92,True
2012/07/02,55.56,True
2012/07/03,55.46,True
2012/07/05,55.51,True
2012/07/06,54.66,True
2012/07/09,54.14,True
2012/07/10,54.16,True
2012/07/11,52.76,True
2012/07/12,52.94,True
2012/07/13,53.55,True
2012/07/16,52.4,True
2012/07/17,52.71,True
2012/07/18,53.61,True
2012/07/19,52.1,True
2012/07/20,51.27,True
2012/07/23,49.77,True
2012/07/24,48.365,True
2012/07/25,49.08,True
2012/07/26,49.08,True
2012/07/27,49.32,True
2012/07/30,49.96,True
2012/07/31,48.51,True
2012/08/01,49.16,True
2012/08/02,49.62,True
2012/08/03,49.34,True
2012/08/06,51.94,True
2012/08/07,51.51,True
2012/08/08,50.81,True
2012/08/09,51.51,True
2012/08/10,51.66,True
2012/08/13,51.42,True
2012/08/14,53.53,True
2012/08/15,54.42,True
2012/08/16,54.48,True
2012/08/17,54.78,True
2012/08/20,54.88,True
2012/08/21,54.63,True
2012/08/22,54.67,True
2012/08/23,53.87,True
2012/08/24,53.56,True
2012/08/27,53.51,True
2012/08/28,54.09,True
2012/08/29,53.32,True
2012/08/30,53.28,True
2012/08/31,53.33,True
2012/09/04,54.53,True
2012/09/05,54.99,True
2012/09/06,57.44,True
2012/09/07,57.1,True
2012/09/10,56.64,True
2012/09/11,56.05,True
2012/09/12,55.74,True
2012/09/13,56.21,True
2012/09/14,58.08,True
2012/09/17,57.54,True
2012/09/18,57.45,True
2012/09/19,57.9,True
2012/09/20,58.13,True
2012/09/21,59.04,True
2012/09/24,58.72,True
2012/09/25,56.26,True
2012/09/26,54.765,True
2012/09/27,55.66,True
2012/09/28,55.89,True
2012/10/01,56.44,True
2012/10/02,57.28,True
2012/10/03,57.76,True
2012/10/04,59.39,True
2012/10/05,59.42,True
2012/10/08,58.49,True
2012/10/09,58.48,True
2012/10/10,57.0,True
2012/10/11,56.88,True
2012/10/12,53.53,True
2012/10/15,53.24,True
2012/10/16,53.29,True
2012/10/17,53.95,True
2012/10/18,52.625,True
2012/10/19,50.24,True
2012/10/22,49.87,True
2012/10/23,49.63,True
2012/10/24,49.5,True
2012/10/25,50.11,True
2012/10/26,49.56,True
2012/10/31,48.28,True
2012/11/01,50.48,True
2012/11/02,45.0099,True
2012/11/05,46.41,True
2012/11/06,46.15,True
2012/11/07,45.5285,True
2012/11/08,44.61,True
2012/11/09,45.01,True
2012/11/12,44.0,True
2012/11/13,44.1,True
2012/11/14,42.16,True
2012/11/15,40.66,True
2012/11/16,41.22,True
2012/11/19,41.43,True
2012/11/20,42.16,True
2012/11/21,41.11,True
2012/11/23,41.46,True
2012/11/26,40.5,True
2012/11/27,39.98,True
2012/11/28,39.53,True
2012/11/29,39.74,True
2012/11/30,39.79,True
2012/12/03,39.08,True
2012/12/04,39.485,True
2012/12/05,39.18,True
2012/12/06,39.0966,True
2012/12/07,38.88,True
2012/12/10,40.25,True
2012/12/11,41.84,True
2012/12/12,42.25,True
2012/12/13,42.15,True
2012/12/14,41.79,True
2012/12/17,41.81,True
2012/12/18,43.33,True
2012/12/19,43.02,True
2012/12/20,43.34,True
2012/12/21,43.04,True
2012/12/24,42.49,True
2012/12/26,41.75,True
2012/12/27,41.76,True
2012/12/28,40.94,True
2012/12/31,41.9,True
2013/01/01,41.897412211600354,False
2013/01/02,41.78230009659886,False
2013/01/03,41.82551267112738,False
2013/01/04,41.83390462081309,False
2013/01/07,41.93730607254056,False
2013/01/08,42.00261136629403,False
2013/01/09,42.004093737812866,False
2013/01/10,42.042127373264584,False
2013/01/11,42.08678527318713,False
2013/01/14,42.13122108858566,False
2013/01/15,42.173484534264524,False
2013/01/16,42.20862594396666,False
2013/01/17,42.2471549237436,False
2013/01/18,42.28849622464031,False
2013/01/21,42.328702799813435,False
2013/01/22,42.368331033353805,False
2013/01/23,42.40752694745081,False
2013/01/24,42.447035478583544,False
2013/01/25,42.48697429198007,False
2013/01/28,42.526738442416004,False
2013/01/29,42.56634867454059,False
2013/01/30,42.60596578422342,False
2013/01/31,42.64563122247539,False
2013/02/01,42.68533965877323,False
2013/02/04,42.725026041310805,False
2013/02/05,42.76468618309104,False
2013/02/06,42.8043521078456,False
2013/02/07,42.84402776280177,False
2013/02/08,42.883706283007726,False
2013/02/11,42.92338158740705,False
2013/02/12,42.963053599935,False
2013/02/13,43.00272678086458,False
2013/02/14,43.04240172501921,False
2013/02/15,43.08207672972077,False
2013/02/18,43.1217512746333,False
2013/02/19,43.16142560890882,False
2013/02/20,43.201100130035925,False
2013/02/21,43.24077491151109,False
2013/02/22,43.280449813288975,False
2013/02/25,43.32012473693865,False
2013/02/26,43.359799685728966,False
2013/02/27,43.39947478863304,False
2013/02/28,43.439149934195655,False
2013/03/01,43.47882527736467,False
2013/03/04,43.518500585881156,False
2013/03/05,43.55817595900525,False
2013/03/06,43.5978514625745,False
2013/03/07,43.637527102006445,False
2013/03/08,43.67720262259375,False
2013/03/11,43.716878266531836,False
