date,PRC,is_prediction
2012/01/03,75.94,True
2012/01/04,74.45,True
2012/01/05,73.71,True
2012/01/06,74.15,True
2012/01/09,74.27,True
2012/01/10,74.14,True
2012/01/11,75.39,True
2012/01/12,76.71,True
2012/01/13,76.06,True
2012/01/17,77.78,True
2012/01/18,76.29,True
2012/01/19,79.38,True
2012/01/20,77.99,True
2012/01/23,78.76,True
2012/01/24,85.04,True
2012/01/25,87.91,True
2012/01/26,86.95,True
2012/01/27,86.82,True
2012/01/30,86.27,True
2012/01/31,86.57,True
2012/02/01,88.33,True
2012/02/02,88.78,True
2012/02/03,89.49,True
2012/02/06,89.26,True
2012/02/07,88.83,True
2012/02/08,88.56,True
2012/02/09,88.34,True
2012/02/10,87.8,True
2012/02/13,88.14,True
2012/02/14,88.51,True
2012/02/15,87.92,True
2012/02/16,89.1,True
2012/02/17,88.63,True
2012/02/21,87.44,True
2012/02/22,88.12,True
2012/02/23,88.11,True
2012/02/24,88.56,True
2012/02/27,88.98,True
2012/02/28,89.9,True
2012/02/29,89.6,True
2012/03/01,90.3,True
2012/03/02,89.34,True
2012/03/05,88.92,True
2012/03/06,87.32,True
2012/03/07,87.88,True
2012/03/08,89.86,True
2012/03/09,90.98,True
2012/03/12,90.51,True
2012/03/13,92.27,True
2012/03/14,92.18,True
2012/03/15,93.13,True
2012/03/16,92.96,True
2012/03/19,92.58,True
2012/03/20,92.88,True
2012/03/21,92.38,True
2012/03/22,91.21,True
2012/03/23,90.89,True
2012/03/26,94.03,True
2012/03/27,93.11,True
2012/03/28,92.86,True
2012/03/29,91.81,True
2012/03/30,92.66,True
2012/04/02,93.99,True
2012/04/03,93.89,True
2012/04/04,91.76,True
2012/04/05,91.93,True
2012/04/09,90.08,True
2012/04/10,87.44,True
2012/04/11,88.15,True
2012/04/12,89.28,True
2012/04/13,87.56,True
2012/04/16,86.95,True
2012/04/17,88.56,True
2012/04/18,88.19,True
2012/04/19,88.04,True
2012/04/20,88.75,True
2012/04/23,88.34,True
2012/04/24,81.8,True
2012/04/25,83.27,True
2012/04/26,84.3,True
2012/04/27,83.82,True
2012/04/30,84.11,True
2012/05/01,83.92,True
2012/05/02,83.82,True
2012/05/03,83.52,True
2012/05/04,83.51,True
2012/05/07,83.78,True
2012/05/08,84.5,True
2012/05/09,84.35,True
2012/05/10,84.29,True
2012/05/11,84.82,True
2012/05/14,83.84,True
2012/05/15,83.12,True
2012/05/16,83.18,True
2012/05/17,82.52,True
2012/05/18,80.81,True
2012/05/21,82.55,True
2012/05/22,82.77,True
2012/05/23,82.09,True
