date,PRC,is_prediction
2012/01/03,48.51,True
2012/01/04,48.97,True
2012/01/05,50.32,True
2012/01/06,49.48,True
2012/01/09,50.49,True
2012/01/10,51.83,True
2012/01/11,51.83,True
2012/01/12,52.01,True
2012/01/13,50.9,True
2012/01/17,49.89,True
2012/01/18,53.86,True
2012/01/19,55.43,True
2012/01/20,54.19,True
2012/01/23,53.96,True
2012/01/24,54.36,True
2012/01/25,54.89,True
2012/01/26,54.42,True
2012/01/27,54.6,True
2012/01/30,53.75,True
2012/01/31,54.32,True
2012/02/01,61.64,True
2012/02/02,64.36,True
2012/02/03,68.66,True
2012/02/06,70.74,True
2012/02/07,70.7,True
2012/02/08,70.2,True
2012/02/09,69.53,True
2012/02/10,70.04,True
2012/02/13,71.94,True
2012/02/14,72.07,True
2012/02/15,69.35,True
2012/02/16,70.66,True
2012/02/17,71.03,True
2012/02/21,70.61,True
2012/02/22,70.08,True
2012/02/23,70.9,True
2012/02/24,71.3,True
2012/02/27,76.1,True
2012/02/28,76.15,True
2012/02/29,75.57,True
2012/03/01,74.48,True
2012/03/02,74.14,True
2012/03/05,73.85,True
2012/03/06,72.8,True
2012/03/07,73.57,True
2012/03/08,73.44,True
2012/03/09,75.3,True
2012/03/12,75.13,True
2012/03/13,78.06,True
2012/03/14,78.5,True
2012/03/15,78.82,True
2012/03/16,76.84,True
2012/03/19,77.76,True
2012/03/20,77.42,True
2012/03/21,77.52,True
2012/03/22,76.54,True
2012/03/23,76.78,True
2012/03/26,78.02,True
2012/03/27,76.62,True
2012/03/28,75.83,True
2012/03/29,76.13,True
2012/03/30,76.86,True
2012/04/02,75.77,True
2012/04/03,74.5,True
2012/04/04,74.23,True
2012/04/05,75.23,True
2012/04/09,74.29,True
2012/04/10,70.46,True
2012/04/11,71.94,True
2012/04/12,71.97,True
2012/04/13,71.1,True
2012/04/16,71.03,True
2012/04/17,68.0,True
2012/04/18,66.21,True
2012/04/19,64.49,True
2012/04/20,64.17,True
2012/04/23,65.73,True
2012/04/24,66.33,True
2012/04/25,68.89,True
2012/04/26,65.96,True
2012/04/27,64.52,True
2012/04/30,64.02,True
2012/05/01,64.79,True
2012/05/02,64.88,True
2012/05/03,62.8,True
2012/05/04,61.77,True
2012/05/07,61.98,True
2012/05/08,61.62,True
2012/05/09,61.11,True
2012/05/10,61.13,True
2012/05/11,62.41,True
2012/05/14,61.02,True
2012/05/15,60.96,True
2012/05/16,61.58,True
2012/05/17,58.46,True
2012/05/18,57.71,True
2012/05/21,58.56,True
2012/05/22,58.58,True
2012/05/23,58.96,True
2012/05/24,58.53,True
2012/05/25,60.56,True
2012/05/29,62.83,True
2012/05/30,63.13,True
2012/05/31,61.88,True
2012/06/01,57.81,True
2012/06/04,57.27,True
2012/06/05,58.86,True
2012/06/06,60.79,True
2012/06/07,60.01,True
2012/06/08,60.83,True
2012/06/11,58.83,True
2012/06/12,59.6,True
2012/06/13,58.24,True
2012/06/14,58.04,True
2012/06/15,59.11,True
2012/06/18,60.23,True
2012/06/19,62.14,True
2012/06/20,61.8,True
2012/06/21,58.16,True
2012/06/22,56.73,True
2012/06/25,54.86,True
2012/06/26,55.44,True
2012/06/27,56.85,True
2012/06/28,57.44,True
2012/06/29,61.16,True
2012/07/02,61.53,True
2012/07/03,62.94,True
2012/07/05,63.26,True
2012/07/06,62.82,True
2012/07/09,61.9,True
2012/07/10,60.66,True
2012/07/11,61.9,True
2012/07/12,61.7,True
2012/07/13,62.82,True
2012/07/16,61.98,True
2012/07/17,63.44,True
2012/07/18,65.04,True
2012/07/19,68.46,True
2012/07/20,67.61,True
2012/07/23,67.31,True
2012/07/24,62.25,True
2012/07/25,64.61,True
2012/07/26,66.9,True
2012/07/27,68.61,True
2012/07/30,68.23,True
2012/07/31,67.56,True
2012/08/01,67.4,True
2012/08/02,66.85,True
2012/08/03,69.54,True
2012/08/06,70.02,True
2012/08/07,70.86,True
2012/08/08,71.67,True
2012/08/09,71.22,True
2012/08/10,71.84,True
2012/08/13,71.73,True
2012/08/14,71.52,True
2012/08/15,71.77,True
2012/08/16,73.82,True
2012/08/17,75.27,True
2012/08/20,73.65,True
2012/08/21,73.43,True
2012/08/22,74.63,True
2012/08/23,74.01,True
2012/08/24,74.35,True
2012/08/27,74.04,True
2012/08/28,73.98,True
2012/08/29,74.68,True
2012/08/30,74.31,True
2012/08/31,75.46,True
2012/09/04,76.04,True
2012/09/05,75.25,True
2012/09/06,77.76,True
2012/09/07,78.02,True
2012/09/10,78.51,True
2012/09/11,79.65,True
2012/09/12,80.49,True
2012/09/13,80.93,True
2012/09/14,83.34,True
2012/09/17,83.33,True
2012/09/18,82.88,True
2012/09/19,85.01,True
2012/09/20,84.5,True
2012/09/21,85.22,True
2012/09/24,85.68,True
2012/09/25,83.34,True
2012/09/26,81.84,True
2012/09/27,83.48,True
