date,PRC,is_prediction
2012/01/03,26.82,True
2012/01/04,26.98,True
2012/01/05,27.55,True
2012/01/06,27.39,True
2012/01/09,27.78,True
2012/01/10,28.33,True
2012/01/11,27.84,True
2012/01/12,28.14,True
2012/01/13,28.22,True
2012/01/17,28.43,True
2012/01/18,29.05,True
2012/01/19,28.74,True
2012/01/20,28.84,True
2012/01/23,29.03,True
2012/01/24,29.06,True
2012/01/25,29.41,True
2012/01/26,28.87,True
2012/01/27,28.55,True
2012/01/30,28.71,True
2012/01/31,28.82,True
2012/02/01,29.19,True
2012/02/02,28.84,True
2012/02/03,29.7,True
2012/02/06,29.41,True
2012/02/07,29.2,True
2012/02/08,29.21,True
2012/02/09,29.19,True
2012/02/10,29.06,True
2012/02/13,29.52,True
2012/02/14,29.18,True
2012/02/15,28.97,True
2012/02/16,28.87,True
2012/02/17,29.11,True
2012/02/21,29.46,True
2012/02/22,29.3,True
2012/02/23,29.06,True
2012/02/24,29.31,True
2012/02/27,29.11,True
2012/02/28,29.0,True
2012/02/29,29.88,True
2012/03/01,30.26,True
2012/03/02,30.26,True
2012/03/05,30.35,True
2012/03/06,29.72,True
2012/03/07,29.65,True
2012/03/08,29.78,True
2012/03/09,29.86,True
2012/03/12,29.67,True
2012/03/13,30.23,True
2012/03/14,30.04,True
2012/03/15,30.02,True
2012/03/16,30.46,True
2012/03/19,30.42,True
2012/03/20,31.3,True
2012/03/21,31.01,True
2012/03/22,30.21,True
2012/03/23,30.18,True
2012/03/26,30.61,True
2012/03/27,30.99,True
2012/03/28,30.68,True
2012/03/29,30.59,True
2012/03/30,30.81,True
2012/04/02,31.06,True
2012/04/03,31.44,True
2012/04/04,31.4,True
2012/04/05,31.46,True
2012/04/09,31.0,True
2012/04/10,30.56,True
2012/04/11,31.02,True
2012/04/12,31.82,True
2012/04/13,32.1,True
2012/04/16,31.34,True
2012/04/17,31.75,True
2012/04/18,32.28,True
2012/04/19,32.18,True
2012/04/20,32.3,True
2012/04/23,32.31,True
2012/04/24,32.31,True
2012/04/25,32.96,True
2012/04/26,33.89,True
2012/04/27,33.63,True
2012/04/30,34.03,True
2012/05/01,34.38,True
2012/05/02,33.75,True
2012/05/03,32.96,True
2012/05/04,32.7,True
2012/05/07,33.16,True
2012/05/08,32.58,True
2012/05/09,32.23,True
2012/05/10,32.53,True
2012/05/11,32.54,True
2012/05/14,31.67,True
2012/05/15,31.24,True
2012/05/16,30.52,True
2012/05/17,29.79,True
2012/05/18,29.67,True
2012/05/21,31.01,True
2012/05/22,31.29,True
2012/05/23,31.39,True
2012/05/24,31.05,True
2012/05/25,30.77,True
2012/05/29,31.39,True
2012/05/30,30.68,True
2012/05/31,30.53,True
2012/06/01,29.01,True
2012/06/04,28.67,True
2012/06/05,29.3,True
2012/06/06,29.55,True
2012/06/07,29.85,True
2012/06/08,29.37,True
2012/06/11,29.27,True
2012/06/12,29.54,True
2012/06/13,29.46,True
2012/06/14,29.45,True
2012/06/15,30.07,True
2012/06/18,29.49,True
2012/06/19,30.04,True
2012/06/20,29.53,True
2012/06/21,28.42,True
2012/06/22,28.43,True
2012/06/25,27.36,True
2012/06/26,27.76,True
2012/06/27,28.21,True
2012/06/28,28.04,True
2012/06/29,28.82,True
2012/07/02,29.04,True
2012/07/03,29.28,True
2012/07/05,29.1,True
2012/07/06,28.94,True
2012/07/09,29.15,True
2012/07/10,28.78,True
2012/07/11,28.9,True
2012/07/12,28.94,True
2012/07/13,29.89,True
2012/07/16,29.99,True
2012/07/17,30.67,True
2012/07/18,30.86,True
2012/07/19,31.05,True
2012/07/20,31.31,True
2012/07/23,31.47,True
2012/07/24,30.97,True
2012/07/25,30.61,True
2012/07/26,31.13,True
2012/07/27,31.6,True
2012/07/30,31.76,True
2012/07/31,31.79,True
2012/08/01,31.85,True
2012/08/02,30.93,True
2012/08/03,31.52,True
2012/08/06,31.74,True
2012/08/07,31.97,True
2012/08/08,31.63,True
2012/08/09,31.61,True
2012/08/10,31.85,True
2012/08/13,31.78,True
2012/08/14,32.15,True
2012/08/15,32.37,True
2012/08/16,32.66,True
2012/08/17,32.31,True
2012/08/20,32.17,True
2012/08/21,32.28,True
2012/08/22,32.26,True
2012/08/23,31.88,True
2012/08/24,32.11,True
2012/08/27,32.46,True
2012/08/28,32.56,True
2012/08/29,32.44,True
2012/08/30,32.04,True
2012/08/31,32.27,True
2012/09/04,32.37,True
2012/09/05,32.13,True
2012/09/06,33.18,True
2012/09/07,33.89,True
2012/09/10,33.62,True
2012/09/11,33.74,True
2012/09/12,33.97,True
2012/09/13,34.69,True
2012/09/14,35.1,True
2012/09/17,34.54,True
2012/09/18,34.08,True
2012/09/19,33.96,True
2012/09/20,34.36,True
2012/09/21,34.32,True
2012/09/24,34.49,True
2012/09/25,34.74,True
2012/09/26,33.98,True
2012/09/27,34.98,True
2012/09/28,34.97,True
2012/10/01,35.6,True
2012/10/02,35.55,True
2012/10/03,36.48,True
2012/10/04,36.19,True
2012/10/05,35.95,True
2012/10/08,36.04,True
2012/10/09,35.95,True
2012/10/10,35.55,True
2012/10/11,35.64,True
2012/10/12,35.14,True
2012/10/15,35.85,True
2012/10/16,36.77,True
2012/10/17,36.15,True
2012/10/18,35.51,True
2012/10/19,34.97,True
2012/10/22,34.97,True
2012/10/23,34.44,True
2012/10/24,34.66,True
2012/10/25,34.71,True
2012/10/26,34.82,True
2012/10/31,34.99,True
2012/11/01,33.69,True
2012/11/02,33.07,True
2012/11/05,33.21,True
2012/11/06,33.46,True
2012/11/07,32.85,True
2012/11/08,32.2,True
2012/11/09,32.07,True
2012/11/12,31.65,True
2012/11/13,31.87,True
2012/11/14,31.19,True
2012/11/15,30.97,True
2012/11/16,31.68,True
2012/11/19,32.67,True
2012/11/20,32.8,True
2012/11/21,33.03,True
2012/11/23,33.44,True
2012/11/26,32.79,True
2012/11/27,32.69,True
2012/11/28,33.0,True
2012/11/29,32.58,True
2012/11/30,32.84,True
2012/12/03,32.59,True
2012/12/04,32.24,True
2012/12/05,32.28,True
2012/12/06,31.56,True
2012/12/07,31.22,True
2012/12/10,31.22,True
2012/12/11,31.38,True
2012/12/12,31.13,True
2012/12/13,31.02,True
2012/12/14,31.49,True
2012/12/17,31.89,True
2012/12/18,32.38,True
2012/12/19,32.53,True
2012/12/20,32.85,True
2012/12/21,32.8,True
2012/12/24,32.53,True
2012/12/26,32.29,True
2012/12/27,32.02,True
2012/12/28,31.79,True
2012/12/31,32.74,True
2013/01/01,32.851990631553676,False
2013/01/02,32.83269616516646,False
2013/01/03,32.8514041163363,False
2013/01/04,32.798695991451986,False
2013/01/07,32.88821551275979,False
2013/01/08,32.87308542170944,False
2013/01/09,32.88105900282897,False
2013/01/10,32.91468971463697,False
2013/01/11,32.93015932297567,False
2013/01/14,32.96494649441584,False
2013/01/15,32.984177393411194,False
2013/01/16,33.00695401255802,False
2013/01/17,33.032837987572,False
2013/01/18,33.05433279603165,False
2013/01/21,33.07900151187246,False
2013/01/22,33.101639877955485,False
2013/01/23,33.124892364526794,False
2013/01/24,33.148676106902364,False
2013/01/25,33.17170673431474,False
2013/01/28,33.19529925486045,False
2013/01/29,33.21859574725583,False
2013/01/30,33.24195946113641,False
2013/01/31,33.265406429161615,False
2013/02/01,33.28872470609068,False
2013/02/04,33.31213731377674,False
2013/02/05,33.33550470365896,False
2013/02/06,33.35887896221536,False
2013/02/07,33.38226859438367,False
2013/02/08,33.405637245632605,False
2013/02/11,33.42902147811519,False
2013/02/12,33.4523986957701,False
2013/02/13,33.47577640262927,False
2013/02/14,33.49915691070837,False
2013/02/15,33.522533928529384,False
2013/02/18,33.54591343914788,False
2013/02/19,33.569291858996,False
2013/02/20,33.59267027102858,False
2013/02/21,33.61604918726147,False
2013/02/22,33.63942751072118,False
2013/02/25,33.66280622705184,False
2013/02/26,33.68618477011035,False
2013/02/27,33.70956329328167,False
2013/02/28,33.73294190607482,False
2013/03/01,33.75632041465624,False
2013/03/04,33.77969897458392,False
2013/03/05,33.803077497989904,False
2013/03/06,33.82645603096327,False
2013/03/07,33.84983454688129,False
2013/03/08,33.87321303491621,False
2013/03/11,33.89659152322306,False
