date,PRC,is_prediction
2012/01/03,60.33,True
2012/01/04,59.71,True
2012/01/05,59.42,True
2012/01/06,59.0,True
2012/01/09,59.18,True
2012/01/10,59.04,True
2012/01/11,59.4,True
2012/01/12,59.5,True
2012/01/13,59.54,True
2012/01/17,59.85,True
2012/01/18,60.01,True
2012/01/19,60.61,True
2012/01/20,61.01,True
2012/01/23,60.91,True
2012/01/24,61.39,True
2012/01/25,61.47,True
2012/01/26,60.97,True
2012/01/27,60.71,True
2012/01/30,61.3,True
2012/01/31,61.36,True
2012/02/01,62.18,True
2012/02/02,61.94,True
2012/02/03,62.03,True
2012/02/06,61.88,True
2012/02/07,61.69,True
2012/02/08,61.62,True
2012/02/09,61.96,True
2012/02/10,61.9,True
2012/02/13,61.79,True
2012/02/14,62.22,True
2012/02/15,61.76,True
2012/02/16,62.04,True
2012/02/17,62.48,True
2012/02/21,60.07,True
2012/02/22,58.6,True
2012/02/23,58.54,True
2012/02/24,58.79,True
2012/02/27,58.46,True
2012/02/28,58.93,True
2012/02/29,59.08,True
2012/03/01,58.82,True
2012/03/02,59.01,True
2012/03/05,59.4,True
2012/03/06,58.965,True
2012/03/07,59.86,True
2012/03/08,59.77,True
2012/03/09,60.08,True
2012/03/12,60.68,True
2012/03/13,61.0,True
2012/03/14,61.08,True
2012/03/15,61.23,True
2012/03/16,60.84,True
2012/03/19,60.74,True
2012/03/20,60.6,True
2012/03/21,60.56,True
2012/03/22,60.65,True
2012/03/23,60.75,True
2012/03/26,61.2,True
2012/03/27,61.09,True
2012/03/28,61.19,True
2012/03/29,60.82,True
2012/03/30,61.2,True
2012/04/02,61.36,True
2012/04/03,60.65,True
2012/04/04,60.26,True
2012/04/05,60.67,True
2012/04/09,60.13,True
2012/04/10,59.93,True
2012/04/11,59.8,True
2012/04/12,60.14,True
2012/04/13,59.77,True
2012/04/16,60.58,True
2012/04/17,61.87,True
2012/04/18,62.06,True
2012/04/19,61.75,True
2012/04/20,62.45,True
2012/04/23,59.54,True
2012/04/24,57.77,True
2012/04/25,57.36,True
2012/04/26,58.95,True
2012/04/27,59.03,True
2012/04/30,58.91,True
2012/05/01,59.07,True
2012/05/02,59.01,True
2012/05/03,58.99,True
2012/05/04,58.7,True
2012/05/07,59.19,True
2012/05/08,59.05,True
2012/05/09,59.03,True
2012/05/10,59.19,True
2012/05/11,59.42,True
2012/05/14,59.07,True
2012/05/15,59.35,True
2012/05/16,59.19,True
2012/05/17,61.68,True
2012/05/18,62.43,True
2012/05/21,63.04,True
2012/05/22,63.73,True
2012/05/23,64.58,True
2012/05/24,65.07,True
2012/05/25,65.31,True
2012/05/29,65.68,True
2012/05/30,65.44,True
2012/05/31,65.82,True
2012/06/01,65.55,True
2012/06/04,65.99,True
2012/06/05,65.5,True
2012/06/06,65.93,True
2012/06/07,65.87,True
2012/06/08,68.22,True
2012/06/11,67.53,True
2012/06/12,67.72,True
2012/06/13,67.07,True
2012/06/14,67.63,True
2012/06/15,67.75,True
2012/06/18,68.12,True
2012/06/19,67.81,True
2012/06/20,68.52,True
2012/06/21,67.7,True
2012/06/22,67.3,True
2012/06/25,68.18,True
2012/06/26,68.58,True
2012/06/27,68.59,True
2012/06/28,68.3,True
2012/06/29,69.72,True
2012/07/02,69.35,True
2012/07/03,70.75,True
2012/07/05,71.08,True
2012/07/06,71.36,True
2012/07/09,71.76,True
2012/07/10,72.11,True
2012/07/11,72.26,True
2012/07/12,72.31,True
2012/07/13,73.18,True
2012/07/16,72.98,True
2012/07/17,73.1,True
2012/07/18,72.85,True
2012/07/19,71.53,True
2012/07/20,72.25,True
2012/07/23,71.85,True
2012/07/24,72.14,True
2012/07/25,72.08,True
2012/07/26,73.67,True
2012/07/27,74.52,True
2012/07/30,74.98,True
2012/07/31,74.43,True
2012/08/01,73.62,True
2012/08/02,74.05,True
2012/08/03,74.55,True
2012/08/06,74.28,True
2012/08/07,73.99,True
2012/08/08,74.31,True
2012/08/09,73.85,True
2012/08/10,73.68,True
2012/08/13,73.4,True
2012/08/14,74.01,True
2012/08/15,74.45,True
2012/08/16,72.15,True
2012/08/17,71.99,True
2012/08/20,72.3,True
2012/08/21,71.43,True
2012/08/22,71.77,True
2012/08/23,71.56,True
2012/08/24,72.11,True
2012/08/27,72.5,True
2012/08/28,72.41,True
2012/08/29,72.77,True
2012/08/30,72.25,True
2012/08/31,72.6,True
2012/09/04,73.51,True
2012/09/05,73.55,True
2012/09/06,74.81,True
2012/09/07,73.82,True
2012/09/10,73.51,True
2012/09/11,74.06,True
2012/09/12,74.07,True
2012/09/13,75.14,True
2012/09/14,74.5,True
2012/09/17,73.99,True
2012/09/18,73.95,True
2012/09/19,74.37,True
2012/09/20,74.75,True
2012/09/21,74.45,True
2012/09/24,74.74,True
2012/09/25,74.26,True
2012/09/26,74.19,True
2012/09/27,73.98,True
2012/09/28,73.8,True
2012/10/01,74.05,True
2012/10/02,73.75,True
2012/10/03,74.2,True
2012/10/04,74.72,True
2012/10/05,75.13,True
2012/10/08,75.25,True
2012/10/09,74.14,True
2012/10/10,75.42,True
2012/10/11,75.01,True
2012/10/12,75.81,True
2012/10/15,77.15,True
2012/10/16,76.91,True
2012/10/17,77.03,True
2012/10/18,76.56,True
2012/10/19,75.62,True
2012/10/22,75.65,True
2012/10/23,74.76,True
2012/10/24,74.82,True
2012/10/25,75.32,True
2012/10/26,75.11,True
2012/10/31,75.02,True
2012/11/01,73.45,True
2012/11/02,72.77,True
2012/11/05,73.14,True
2012/11/06,73.76,True
2012/11/07,73.11,True
2012/11/08,72.48,True
2012/11/09,72.31,True
2012/11/12,72.48,True
2012/11/13,71.81,True
2012/11/14,71.31,True
2012/11/15,68.72,True
2012/11/16,68.03,True
2012/11/19,69.02,True
2012/11/20,69.0,True
2012/11/21,68.89,True
2012/11/23,70.2,True
2012/11/26,69.91,True
2012/11/27,69.5,True
2012/11/28,70.56,True
2012/11/29,70.83,True
2012/11/30,72.02,True
2012/12/03,71.34,True
2012/12/04,72.12,True
2012/12/05,71.65,True
2012/12/06,71.59,True
2012/12/07,72.29,True
2012/12/10,72.15,True
2012/12/11,70.89,True
2012/12/12,68.94,True
2012/12/13,69.04,True
2012/12/14,68.75,True
2012/12/17,69.2,True
2012/12/18,69.5,True
2012/12/19,68.52,True
2012/12/20,69.0,True
2012/12/21,68.65,True
2012/12/24,68.57,True
2012/12/26,67.99,True
2012/12/27,68.19,True
2012/12/28,67.61,True
2012/12/31,68.23,True
2013/01/01,68.2612894881335,False
2013/01/02,68.3151625880418,False
2013/01/03,68.31468277578382,False
2013/01/04,68.31829473070499,False
2013/01/07,68.34270490437916,False
2013/01/08,68.36582619777984,False
2013/01/09,68.4188673825942,False
2013/01/10,68.45131985677259,False
2013/01/11,68.4837135122328,False
2013/01/14,68.51257469284296,False
2013/01/15,68.54240987829188,False
2013/01/16,68.5732559235498,False
2013/01/17,68.60480098665188,False
2013/01/18,68.6369800987516,False
2013/01/21,68.66840513157723,False
2013/01/22,68.69971968836812,False
2013/01/23,68.7308777521258,False
2013/01/24,68.76211121234408,False
2013/01/25,68.79340865043862,False
2013/01/28,68.82475161906905,False
2013/01/29,68.85610115055374,False
2013/01/30,68.88741920626103,False
2013/01/31,68.91872729815168,False
2013/02/01,68.95002989019403,False
2013/02/04,68.98133747514383,False
2013/02/05,69.01264902262155,False
2013/02/06,69.04396269114375,False
2013/02/07,69.0752758461845,False
2013/02/08,69.10658747116457,False
2013/02/11,69.13789844958009,False
2013/02/12,69.16920928486188,False
2013/02/13,69.20052042500149,False
2013/02/14,69.23183177062442,False
2013/02/15,69.26314318161472,False
2013/02/18,69.2944545191965,False
2013/02/19,69.32576575554329,False
2013/02/20,69.3570769512368,False
2013/02/21,69.38838812691549,False
2013/02/22,69.41969931315013,False
