date,PRC,is_prediction
2012/01/03,37.42,True
2012/01/04,36.87,True
2012/01/05,37.34,True
2012/01/06,37.64,True
2012/01/09,38.17,True
2012/01/10,38.52,True
2012/01/11,38.96,True
2012/01/12,39.5,True
2012/01/13,39.08,True
2012/01/17,39.01,True
2012/01/18,39.43,True
2012/01/19,39.88,True
2012/01/20,39.9,True
2012/01/23,39.89,True
2012/01/24,40.37,True
2012/01/25,40.59,True
2012/01/26,40.24,True
2012/01/27,39.92,True
2012/01/30,39.97,True
2012/01/31,39.76,True
2012/02/01,40.56,True
2012/02/02,40.37,True
2012/02/03,41.48,True
2012/02/06,41.2,True
2012/02/07,40.93,True
2012/02/08,43.42,True
2012/02/09,44.27,True
2012/02/10,44.15,True
2012/02/13,44.27,True
2012/02/14,43.68,True
2012/02/15,42.99,True
2012/02/16,43.48,True
2012/02/17,43.99,True
2012/02/21,43.97,True
2012/02/22,43.69,True
2012/02/23,43.68,True
2012/02/24,44.02,True
2012/02/27,43.72,True
2012/02/28,44.3,True
2012/02/29,43.99,True
2012/03/01,44.57,True
2012/03/02,44.19,True
2012/03/05,44.41,True
2012/03/06,43.18,True
2012/03/07,43.57,True
2012/03/08,43.75,True
2012/03/09,44.15,True
2012/03/12,44.85,True
2012/03/13,46.16,True
2012/03/14,45.87,True
2012/03/15,45.54,True
2012/03/16,45.24,True
2012/03/19,45.39,True
2012/03/20,45.03,True
2012/03/21,45.09,True
2012/03/22,44.68,True
2012/03/23,44.64,True
2012/03/26,45.35,True
2012/03/27,45.56,True
2012/03/28,45.51,True
2012/03/29,45.12,True
2012/03/30,46.51,True
2012/04/02,47.09,True
2012/04/03,46.96,True
2012/04/04,46.38,True
2012/04/05,46.96,True
2012/04/09,46.09,True
2012/04/10,44.81,True
2012/04/11,45.75,True
2012/04/12,46.5,True
2012/04/13,46.63,True
2012/04/16,46.78,True
2012/04/17,47.42,True
2012/04/18,47.6,True
2012/04/19,47.95,True
2012/04/20,47.51,True
2012/04/23,47.15,True
2012/04/24,47.11,True
2012/04/25,48.97,True
2012/04/26,50.2,True
2012/04/27,50.61,True
2012/04/30,50.34,True
2012/05/01,51.02,True
2012/05/02,51.34,True
2012/05/03,51.57,True
2012/05/04,51.15,True
2012/05/07,51.41,True
2012/05/08,50.89,True
2012/05/09,50.76,True
2012/05/10,51.33,True
2012/05/11,51.64,True
2012/05/14,50.88,True
2012/05/15,50.79,True
2012/05/16,49.78,True
2012/05/17,47.43,True
2012/05/18,46.78,True
2012/05/21,48.57,True
2012/05/22,48.96,True
2012/05/23,49.47,True
2012/05/24,49.71,True
2012/05/25,49.43,True
2012/05/29,50.8,True
2012/05/30,50.03,True
2012/05/31,49.8,True
2012/06/01,47.35,True
2012/06/04,47.59,True
2012/06/05,48.33,True
2012/06/06,50.2,True
2012/06/07,50.26,True
2012/06/08,50.73,True
2012/06/11,49.7,True
2012/06/12,50.85,True
2012/06/13,50.33,True
2012/06/14,51.24,True
2012/06/15,51.33,True
2012/06/18,51.68,True
2012/06/19,52.42,True
2012/06/20,52.24,True
2012/06/21,51.45,True
2012/06/22,51.26,True
2012/06/25,50.76,True
2012/06/26,51.1,True
2012/06/27,51.44,True
2012/06/28,50.86,True
2012/06/29,52.74,True
2012/07/02,52.89,True
2012/07/03,53.0,True
2012/07/05,53.07,True
2012/07/06,52.75,True
2012/07/09,52.62,True
2012/07/10,52.14,True
2012/07/11,51.79,True
2012/07/12,49.9,True
2012/07/13,50.22,True
2012/07/16,49.9,True
2012/07/17,50.65,True
2012/07/18,50.84,True
2012/07/19,51.35,True
2012/07/20,50.76,True
2012/07/23,49.34,True
2012/07/24,48.45,True
2012/07/25,49.84,True
2012/07/26,50.71,True
2012/07/27,52.28,True
2012/07/30,52.84,True
2012/07/31,52.05,True
2012/08/01,51.47,True
2012/08/02,51.1,True
2012/08/03,52.48,True
2012/08/06,52.48,True
2012/08/07,52.86,True
2012/08/08,51.85,True
2012/08/09,51.29,True
2012/08/10,51.3,True
2012/08/13,50.91,True
2012/08/14,50.63,True
2012/08/15,50.86,True
2012/08/16,52.37,True
2012/08/17,52.52,True
2012/08/20,51.55,True
2012/08/21,51.26,True
2012/08/22,51.02,True
2012/08/23,50.65,True
2012/08/24,51.43,True
2012/08/27,51.69,True
2012/08/28,51.73,True
2012/08/29,52.18,True
2012/08/30,51.66,True
