date,PRC,is_prediction
2012/01/03,32.44,True
2012/01/04,32.095,True
2012/01/05,32.38,True
2012/01/06,32.17,True
2012/01/09,32.87,True
2012/01/10,32.93,True
2012/01/11,32.85,True
2012/01/12,33.46,True
2012/01/13,32.99,True
2012/01/17,33.35,True
2012/01/18,35.3,True
2012/01/19,35.64,True
2012/01/20,35.77,True
2012/01/23,35.68,True
2012/01/24,36.06,True
2012/01/25,35.52,True
2012/01/26,35.84,True
2012/01/27,35.99,True
2012/01/30,35.86,True
2012/01/31,35.85,True
2012/02/01,36.28,True
2012/02/02,36.2,True
2012/02/03,36.92,True
2012/02/06,36.31,True
2012/02/07,36.4,True
2012/02/08,36.6,True
2012/02/09,36.85,True
2012/02/10,36.325,True
2012/02/13,36.26,True
2012/02/14,36.53,True
2012/02/15,36.45,True
2012/02/16,37.15,True
2012/02/17,37.275,True
2012/02/21,36.89,True
2012/02/22,36.84,True
2012/02/23,36.89,True
2012/02/24,37.23,True
2012/02/27,37.0,True
2012/02/28,37.45,True
2012/02/29,36.93,True
2012/03/01,36.68,True
2012/03/02,36.48,True
2012/03/05,35.72,True
2012/03/06,36.07,True
2012/03/07,36.13,True
2012/03/08,36.41,True
2012/03/09,36.44,True
2012/03/12,36.18,True
2012/03/13,36.94,True
2012/03/14,36.65,True
2012/03/15,36.88,True
2012/03/16,37.27,True
2012/03/19,37.12,True
2012/03/20,36.03,True
2012/03/21,36.48,True
2012/03/22,36.23,True
2012/03/23,36.07,True
2012/03/26,36.61,True
2012/03/27,36.42,True
2012/03/28,36.17,True
2012/03/29,36.29,True
2012/03/30,36.48,True
2012/04/02,36.72,True
2012/04/03,36.14,True
2012/04/04,35.39,True
2012/04/05,35.52,True
2012/04/09,35.14,True
2012/04/10,34.85,True
2012/04/11,35.44,True
2012/04/12,36.005,True
2012/04/13,35.2,True
2012/04/16,35.27,True
2012/04/17,35.54,True
2012/04/18,35.37,True
2012/04/19,35.04,True
2012/04/20,34.4,True
2012/04/23,33.92,True
2012/04/24,33.53,True
2012/04/25,34.325,True
2012/04/26,36.65,True
2012/04/27,36.5,True
2012/04/30,36.38,True
2012/05/01,35.51,True
2012/05/02,35.33,True
2012/05/03,34.74,True
2012/05/04,34.06,True
2012/05/07,33.92,True
2012/05/08,33.81,True
2012/05/09,33.8,True
2012/05/10,33.33,True
2012/05/11,33.24,True
2012/05/14,32.96,True
2012/05/15,32.78,True
2012/05/16,32.3,True
2012/05/17,31.85,True
2012/05/18,31.31,True
2012/05/21,32.01,True
2012/05/22,31.82,True
2012/05/23,32.07,True
2012/05/24,31.61,True
2012/05/25,31.98,True
2012/05/29,32.55,True
2012/05/30,32.24,True
2012/05/31,31.97,True
2012/06/01,31.0,True
2012/06/04,31.04,True
2012/06/05,31.9,True
2012/06/06,32.48,True
2012/06/07,32.14,True
2012/06/08,32.84,True
2012/06/11,32.175,True
2012/06/12,32.65,True
2012/06/13,32.35,True
2012/06/14,32.08,True
2012/06/15,32.55,True
2012/06/18,32.81,True
2012/06/19,33.04,True
2012/06/20,33.08,True
2012/06/21,31.9,True
2012/06/22,32.66,True
2012/06/25,31.56,True
2012/06/26,31.77,True
2012/06/27,32.29,True
2012/06/28,32.37,True
2012/06/29,33.57,True
2012/07/02,33.2,True
2012/07/03,33.5,True
2012/07/05,33.45,True
2012/07/06,32.44,True
2012/07/09,32.27,True
2012/07/10,31.93,True
2012/07/11,31.87,True
2012/07/12,31.2,True
2012/07/13,31.45,True
2012/07/16,31.37,True
2012/07/17,30.89,True
2012/07/18,32.01,True
2012/07/19,31.295,True
2012/07/20,31.14,True
2012/07/23,30.73,True
2012/07/24,30.63,True
2012/07/25,31.33,True
2012/07/26,32.245,True
2012/07/27,32.9,True
2012/07/30,32.62,True
2012/07/31,32.4,True
2012/08/01,32.81,True
2012/08/02,32.62,True
2012/08/03,33.36,True
2012/08/06,33.15,True
2012/08/07,33.79,True
2012/08/08,33.72,True
2012/08/09,33.72,True
2012/08/10,33.71,True
2012/08/13,33.65,True
2012/08/14,33.36,True
2012/08/15,33.59,True
2012/08/16,34.11,True
2012/08/17,33.96,True
2012/08/20,33.98,True
2012/08/21,34.28,True
2012/08/22,33.84,True
2012/08/23,33.545,True
2012/08/24,33.9,True
2012/08/27,33.6,True
2012/08/28,33.85,True
2012/08/29,33.71,True
2012/08/30,33.47,True
2012/08/31,33.91,True
2012/09/04,33.79,True
2012/09/05,33.39,True
2012/09/06,34.71,True
2012/09/07,34.87,True
2012/09/10,34.63,True
2012/09/11,34.88,True
2012/09/12,34.95,True
2012/09/13,34.865,True
2012/09/14,35.23,True
2012/09/17,35.12,True
2012/09/18,35.31,True
2012/09/19,35.07,True
2012/09/20,34.95,True
