date,PRC,is_prediction
2012/01/03,86.0,True
2012/01/04,86.02,True
2012/01/05,85.76,True
2012/01/06,85.12,True
2012/01/09,85.5,True
2012/01/10,85.72,True
2012/01/11,85.08,True
2012/01/12,84.74,True
2012/01/13,84.88,True
2012/01/17,85.69,True
2012/01/18,86.45,True
2012/01/19,87.03,True
2012/01/20,87.49,True
2012/01/23,87.47,True
2012/01/24,87.18,True
2012/01/25,87.22,True
2012/01/26,86.77,True
2012/01/27,85.83,True
2012/01/30,85.49,True
2012/01/31,83.74,True
2012/02/01,83.97,True
2012/02/02,83.53,True
2012/02/03,84.92,True
2012/02/06,85.75,True
2012/02/07,86.34,True
2012/02/08,85.32,True
2012/02/09,84.88,True
2012/02/10,83.8,True
2012/02/13,84.42,True
2012/02/14,84.67,True
2012/02/15,84.12,True
2012/02/16,85.41,True
2012/02/17,85.62,True
2012/02/21,86.57,True
2012/02/22,86.92,True
2012/02/23,87.02,True
2012/02/24,87.34,True
2012/02/27,87.23,True
2012/02/28,87.14,True
2012/02/29,86.5,True
2012/03/01,86.83,True
2012/03/02,86.33,True
2012/03/05,87.01,True
2012/03/06,85.86,True
2012/03/07,85.83,True
2012/03/08,84.83,True
2012/03/09,84.3,True
2012/03/12,85.55,True
2012/03/13,86.86,True
2012/03/14,86.02,True
2012/03/15,86.09,True
2012/03/16,86.44,True
2012/03/19,86.99,True
2012/03/20,86.6,True
2012/03/21,86.01,True
2012/03/22,85.33,True
2012/03/23,85.55,True
2012/03/26,87.03,True
2012/03/27,86.62,True
2012/03/28,85.86,True
2012/03/29,86.08,True
2012/03/30,86.73,True
2012/04/02,87.07,True
2012/04/03,85.83,True
2012/04/04,84.98,True
2012/04/05,84.82,True
2012/04/09,83.88,True
2012/04/10,82.17,True
2012/04/11,82.7,True
2012/04/12,83.6,True
2012/04/13,82.95,True
2012/04/16,84.01,True
2012/04/17,85.45,True
2012/04/18,85.75,True
2012/04/19,85.28,True
2012/04/20,85.3,True
2012/04/23,85.69,True
2012/04/24,86.31,True
2012/04/25,86.85,True
2012/04/26,86.07,True
2012/04/27,86.08,True
2012/04/30,86.34,True
2012/05/01,87.04,True
2012/05/02,86.2,True
2012/05/03,85.65,True
2012/05/04,84.57,True
2012/05/07,84.48,True
2012/05/08,84.02,True
2012/05/09,83.31,True
2012/05/10,82.84,True
2012/05/11,83.1,True
2012/05/14,82.12,True
2012/05/15,81.79,True
2012/05/16,82.17,True
2012/05/17,81.91,True
2012/05/18,81.47,True
2012/05/21,82.04,True
2012/05/22,81.95,True
2012/05/23,82.04,True
2012/05/24,82.61,True
2012/05/25,82.08,True
2012/05/29,81.93,True
2012/05/30,79.79,True
2012/05/31,78.63,True
2012/06/01,77.92,True
2012/06/04,77.83,True
2012/06/05,77.6,True
2012/06/06,80.18,True
2012/06/07,80.69,True
2012/06/08,80.84,True
2012/06/11,80.27,True
2012/06/12,81.26,True
2012/06/13,80.63,True
2012/06/14,82.13,True
2012/06/15,83.22,True
2012/06/18,83.11,True
2012/06/19,84.48,True
2012/06/20,84.97,True
2012/06/21,82.11,True
2012/06/22,82.11,True
2012/06/25,81.24,True
2012/06/26,82.4,True
2012/06/27,83.2,True
2012/06/28,83.1,True
2012/06/29,85.57,True
2012/07/02,85.34,True
2012/07/03,86.28,True
2012/07/05,85.57,True
2012/07/06,84.8,True
2012/07/09,83.65,True
2012/07/10,83.11,True
2012/07/11,84.38,True
2012/07/12,84.12,True
2012/07/13,85.47,True
2012/07/16,85.05,True
2012/07/17,85.73,True
2012/07/18,86.21,True
2012/07/19,86.21,True
2012/07/20,85.95,True
2012/07/23,85.21,True
2012/07/24,84.58,True
2012/07/25,85.24,True
2012/07/26,86.52,True
2012/07/27,87.45,True
2012/07/30,87.56,True
2012/07/31,86.85,True
2012/08/01,86.91,True
2012/08/02,85.88,True
2012/08/03,87.55,True
2012/08/06,87.45,True
2012/08/07,87.92,True
2012/08/08,88.28,True
2012/08/09,88.2,True
2012/08/10,88.44,True
2012/08/13,88.14,True
2012/08/14,88.2,True
2012/08/15,88.0,True
2012/08/16,88.67,True
2012/08/17,88.4,True
2012/08/20,87.95,True
2012/08/21,87.46,True
2012/08/22,87.73,True
2012/08/23,87.31,True
2012/08/24,88.05,True
2012/08/27,87.74,True
2012/08/28,88.1,True
2012/08/29,87.9,True
2012/08/30,87.2,True
2012/08/31,87.3,True
2012/09/04,87.12,True
2012/09/05,87.33,True
2012/09/06,88.99,True
2012/09/07,89.92,True
2012/09/10,89.48,True
2012/09/11,89.62,True
2012/09/12,89.55,True
2012/09/13,91.23,True
2012/09/14,92.3,True
2012/09/17,91.91,True
2012/09/18,91.65,True
2012/09/19,90.57,True
2012/09/20,91.52,True
2012/09/21,91.92,True
2012/09/24,91.88,True
2012/09/25,91.74,True
2012/09/26,91.23,True
2012/09/27,91.8,True
2012/09/28,91.45,True
2012/10/01,91.8,True
2012/10/02,91.72,True
2012/10/03,91.7,True
2012/10/04,92.22,True
2012/10/05,92.55,True
2012/10/08,92.68,True
2012/10/09,92.13,True
2012/10/10,91.03,True
2012/10/11,91.17,True
2012/10/12,91.03,True
2012/10/15,91.51,True
2012/10/16,92.38,True
2012/10/17,93.39,True
2012/10/18,93.48,True
2012/10/19,92.15,True
2012/10/22,92.19,True
2012/10/23,90.18,True
2012/10/24,89.88,True
2012/10/25,90.43,True
2012/10/26,90.62,True
2012/10/31,91.17,True
2012/11/01,91.6,True
2012/11/02,90.27,True
2012/11/05,90.63,True
2012/11/06,91.61,True
2012/11/07,88.18,True
2012/11/08,87.0695,True
2012/11/09,87.21,True
2012/11/12,87.32,True
2012/11/13,86.47,True
2012/11/14,86.07,True
2012/11/15,86.14,True
2012/11/16,86.45,True
2012/11/19,87.67,True
2012/11/20,87.5,True
2012/11/21,88.01,True
2012/11/23,89.09,True
2012/11/26,88.62,True
2012/11/27,87.35,True
2012/11/28,88.1,True
2012/11/29,88.12,True
2012/11/30,88.14,True
2012/12/03,87.61,True
2012/12/04,87.19,True
2012/12/05,87.73,True
