date,PRC,is_prediction
2012/01/03,8.2,True
2012/01/04,8.15,True
2012/01/05,8.1,True
2012/01/06,8.1,True
2012/01/09,8.09,True
2012/01/10,8.11,True
2012/01/11,8.19,True
2012/01/12,8.13,True
2012/01/13,8.08,True
2012/01/17,8.08,True
2012/01/18,8.48,True
2012/01/19,8.71,True
2012/01/20,8.76,True
2012/01/23,8.73,True
2012/01/24,8.67,True
2012/01/25,7.81,True
2012/01/26,7.85,True
2012/01/27,7.88,True
2012/01/30,7.73,True
2012/01/31,7.75,True
2012/02/01,7.78,True
2012/02/02,7.79,True
2012/02/03,7.96,True
2012/02/06,7.94,True
2012/02/07,7.97,True
2012/02/08,8.01,True
2012/02/09,8.02,True
2012/02/10,7.92,True
2012/02/13,8.02,True
2012/02/14,8.37,True
2012/02/15,8.33,True
2012/02/16,8.38,True
2012/02/17,8.3,True
2012/02/21,8.17,True
2012/02/22,8.15,True
2012/02/23,8.34,True
2012/02/24,8.36,True
2012/02/27,8.37,True
2012/02/28,8.3,True
2012/02/29,8.23,True
2012/03/01,8.4,True
2012/03/02,8.27,True
2012/03/05,8.34,True
2012/03/06,8.06,True
2012/03/07,8.09,True
2012/03/08,8.25,True
2012/03/09,8.25,True
2012/03/12,8.28,True
2012/03/13,8.42,True
2012/03/14,8.46,True
2012/03/15,8.44,True
2012/03/16,8.32,True
2012/03/19,8.33,True
2012/03/20,8.25,True
2012/03/21,8.26,True
2012/03/22,8.21,True
2012/03/23,8.22,True
2012/03/26,8.38,True
2012/03/27,8.37,True
2012/03/28,8.25,True
2012/03/29,8.13,True
2012/03/30,8.075,True
2012/04/02,8.15,True
2012/04/03,8.06,True
2012/04/04,7.9,True
2012/04/05,7.87,True
2012/04/09,7.8,True
2012/04/10,7.73,True
2012/04/11,7.85,True
2012/04/12,7.96,True
2012/04/13,7.84,True
2012/04/16,7.89,True
2012/04/17,8.0,True
2012/04/18,7.96,True
2012/04/19,7.91,True
2012/04/20,7.87,True
2012/04/23,7.88,True
2012/04/24,7.92,True
2012/04/25,7.96,True
2012/04/26,7.91,True
2012/04/27,7.83,True
2012/04/30,7.78,True
2012/05/01,7.93,True
2012/05/02,7.83,True
2012/05/03,7.71,True
2012/05/04,7.62,True
2012/05/07,7.73,True
2012/05/08,7.68,True
2012/05/09,7.64,True
2012/05/10,7.64,True
2012/05/11,7.63,True
2012/05/14,7.69,True
2012/05/15,7.4,True
2012/05/16,7.19,True
2012/05/17,7.27,True
2012/05/18,7.15,True
2012/05/21,7.2,True
2012/05/22,7.19,True
2012/05/23,7.19,True
2012/05/24,6.94,True
2012/05/25,7.07,True
2012/05/29,7.31,True
2012/05/30,7.24,True
2012/05/31,7.22,True
2012/06/01,7.12,True
2012/06/04,7.09,True
2012/06/05,7.185,True
2012/06/06,7.44,True
2012/06/07,7.5,True
2012/06/08,7.71,True
2012/06/11,7.52,True
2012/06/12,7.57,True
2012/06/13,7.63,True
2012/06/14,7.62,True
2012/06/15,7.79,True
2012/06/18,7.71,True
2012/06/19,7.81,True
2012/06/20,7.81,True
2012/06/21,7.62,True
2012/06/22,7.81,True
2012/06/25,7.53,True
2012/06/26,7.59,True
2012/06/27,7.65,True
2012/06/28,7.73,True
2012/06/29,7.87,True
2012/07/02,7.87,True
2012/07/03,7.94,True
2012/07/05,7.84,True
2012/07/06,7.79,True
2012/07/09,7.67,True
2012/07/10,7.57,True
2012/07/11,7.62,True
2012/07/12,7.4,True
2012/07/13,7.27,True
2012/07/16,7.26,True
2012/07/17,7.24,True
2012/07/18,7.19,True
2012/07/19,7.19,True
2012/07/20,6.7,True
2012/07/23,6.73,True
2012/07/24,6.49,True
2012/07/25,6.38,True
2012/07/26,6.64,True
2012/07/27,6.84,True
2012/07/30,6.91,True
2012/07/31,6.93,True
2012/08/01,6.79,True
2012/08/02,6.65,True
2012/08/03,6.93,True
2012/08/06,6.98,True
2012/08/07,7.1,True
2012/08/08,7.13,True
2012/08/09,7.17,True
2012/08/10,7.18,True
2012/08/13,7.19,True
2012/08/14,7.18,True
2012/08/15,7.24,True
2012/08/16,7.34,True
2012/08/17,7.41,True
2012/08/20,7.42,True
2012/08/21,7.42,True
2012/08/22,7.29,True
2012/08/23,7.3,True
2012/08/24,7.38,True
2012/08/27,7.3,True
2012/08/28,7.38,True
2012/08/29,7.39,True
2012/08/30,7.33,True
2012/08/31,7.37,True
2012/09/04,7.26,True
2012/09/05,7.42,True
2012/09/06,7.68,True
2012/09/07,7.68,True
2012/09/10,7.46,True
2012/09/11,7.49,True
2012/09/12,7.66,True
2012/09/13,7.74,True
2012/09/14,7.86,True
2012/09/17,7.7,True
2012/09/18,7.6,True
2012/09/19,7.79,True
2012/09/20,7.8,True
2012/09/21,7.8,True
2012/09/24,7.72,True
2012/09/25,7.32,True
2012/09/26,7.25,True
2012/09/27,7.38,True
2012/09/28,7.34,True
2012/10/01,7.35,True
2012/10/02,7.35,True
2012/10/03,7.17,True
2012/10/04,7.28,True
2012/10/05,7.27,True
2012/10/08,7.25,True
2012/10/09,7.16,True
2012/10/10,7.07,True
2012/10/11,7.22,True
2012/10/12,7.08,True
2012/10/15,7.16,True
2012/10/16,7.39,True
2012/10/17,7.32,True
2012/10/18,7.36,True
2012/10/19,6.98,True
2012/10/22,7.03,True
2012/10/23,6.67,True
2012/10/24,6.48,True
2012/10/25,6.5,True
2012/10/26,6.49,True
2012/10/31,6.44,True
2012/11/01,6.65,True
2012/11/02,6.47,True
2012/11/05,6.59,True
2012/11/06,6.67,True
2012/11/07,6.36,True
2012/11/08,6.34,True
2012/11/09,6.34,True
2012/11/12,6.33,True
2012/11/13,6.42,True
2012/11/14,6.29,True
2012/11/15,6.28,True
2012/11/16,6.23,True
2012/11/19,6.42,True
2012/11/20,6.42,True
2012/11/21,6.46,True
2012/11/23,6.66,True
2012/11/26,6.58,True
2012/11/27,6.53,True
2012/11/28,6.67,True
2012/11/29,6.79,True
2012/11/30,6.81,True
2012/12/03,6.79,True
2012/12/04,6.98,True
2012/12/05,6.97,True
2012/12/06,7.02,True
2012/12/07,7.09,True
2012/12/10,7.03,True
2012/12/11,7.12,True
2012/12/12,7.08,True
2012/12/13,7.04,True
2012/12/14,6.97,True
2012/12/17,6.94,True
2012/12/18,7.12,True
2012/12/19,7.06,True
2012/12/20,7.13,True
2012/12/21,7.05,True
2012/12/24,6.98,True
2012/12/26,6.9,True
2012/12/27,6.79,True
2012/12/28,6.69,True
2012/12/31,6.82,True
2013/01/01,6.821816236470789,False
2013/01/02,6.826848570656274,False
2013/01/03,6.832462162236562,False
2013/01/04,6.7953903155713995,False
2013/01/07,6.787224354639442,False
2013/01/08,6.788990905935796,False
2013/01/09,6.781150966104867,False
2013/01/10,6.781906251047469,False
2013/01/11,6.776778328324289,False
2013/01/14,6.7679896667871144,False
2013/01/15,6.76321225325886,False
2013/01/16,6.757075096970813,False
