date,PRC,is_prediction
2012/01/03,16.765,True
2012/01/04,17.14,True
2012/01/05,17.62,True
2012/01/06,17.64,True
2012/01/09,17.88,True
2012/01/10,18.17,True
2012/01/11,18.5,True
2012/01/12,18.65,True
2012/01/13,18.5,True
2012/01/17,18.4,True
2012/01/18,18.79,True
2012/01/19,18.7,True
2012/01/20,18.85,True
2012/01/23,18.55,True
2012/01/24,17.15,True
2012/01/25,17.52,True
2012/01/26,16.58,True
2012/01/27,16.89,True
2012/01/30,16.71,True
2012/01/31,16.83,True
2012/02/01,17.02,True
2012/02/02,17.31,True
2012/02/03,18.03,True
2012/02/06,18.07,True
2012/02/07,18.35,True
2012/02/08,18.57,True
2012/02/09,18.51,True
2012/02/10,18.37,True
2012/02/13,18.55,True
2012/02/14,18.42,True
2012/02/15,18.51,True
2012/02/16,19.16,True
2012/02/17,19.86,True
2012/02/21,19.5,True
2012/02/22,18.79,True
2012/02/23,18.91,True
2012/02/24,19.0,True
2012/02/27,19.07,True
2012/02/28,19.22,True
2012/02/29,19.0,True
2012/03/01,18.99,True
2012/03/02,18.86,True
2012/03/05,18.55,True
2012/03/06,17.95,True
2012/03/07,18.33,True
2012/03/08,18.69,True
2012/03/09,18.99,True
2012/03/12,18.71,True
2012/03/13,19.53,True
2012/03/14,21.58,True
2012/03/15,22.13,True
2012/03/16,22.28,True
2012/03/19,22.64,True
2012/03/20,22.2,True
2012/03/21,22.07,True
2012/03/22,21.48,True
2012/03/23,21.73,True
2012/03/26,21.97,True
2012/03/27,21.66,True
2012/03/28,21.8,True
2012/03/29,21.65,True
2012/03/30,21.46,True
2012/04/02,21.43,True
2012/04/03,21.51,True
2012/04/04,21.08,True
2012/04/05,21.08,True
2012/04/09,20.6,True
2012/04/10,20.28,True
2012/04/11,20.84,True
2012/04/12,21.135,True
2012/04/13,20.53,True
2012/04/16,20.795,True
2012/04/17,21.17,True
2012/04/18,21.17,True
2012/04/19,20.93,True
2012/04/20,20.54,True
2012/04/23,20.805,True
2012/04/24,20.06,True
2012/04/25,20.19,True
2012/04/26,20.42,True
2012/04/27,20.65,True
2012/04/30,20.39,True
2012/05/01,20.66,True
2012/05/02,20.4,True
2012/05/03,20.04,True
2012/05/04,19.77,True
2012/05/07,20.09,True
2012/05/08,20.09,True
2012/05/09,19.8,True
2012/05/10,19.89,True
2012/05/11,20.12,True
2012/05/14,19.49,True
2012/05/15,19.08,True
2012/05/16,18.81,True
2012/05/17,18.43,True
2012/05/18,18.27,True
2012/05/21,18.59,True
2012/05/22,18.76,True
2012/05/23,19.12,True
2012/05/24,18.8,True
2012/05/25,18.87,True
2012/05/29,19.19,True
