tickers,KMB,EL,CHD,COST,K,TAP,PEP,MDLZ,TGT,HSY,KO,STZ,NWL,DG,MO,PM,CAG,TSN,CL,CLX,DLTR,MKC,ADM,WMT,MNST,CPB,GIS,HRL,PG,SYY,SJM,KR
KMB,1.0,0.4631578947368421,0.4421052631578947,0.2736842105263158,0.38947368421052636,0.16842105263157894,0.5157894736842106,0.35789473684210527,0.28421052631578947,0.45263157894736844,0.3473684210526316,0.38947368421052636,0.3007926037591192,0.19999999999999998,0.4105263157894737,0.3684210526315789,0.2631578947368421,0.39999999999999997,0.5263157894736842,0.4842105263157895,0.28421052631578947,0.08421052631578947,0.5263157894736842,0.2631578947368421,0.17894736842105263,0.4421052631578947,0.4421052631578947,0.5052631578947369,0.49473684210526314,0.32190085665449597,0.4105263157894737,0.3368421052631579
EL,0.4631578947368421,1.0,0.30526315789473685,0.22105263157894736,0.3368421052631579,-0.052631578947368425,0.4421052631578947,0.28421052631578947,0.10526315789473685,0.4210526315789474,0.39999999999999997,0.6105263157894737,0.3007926037591192,0.0,0.35789473684210527,0.3157894736842105,0.35789473684210527,0.4105263157894737,0.3473684210526316,0.45263157894736844,0.16842105263157894,0.19999999999999998,0.5789473684210527,0.2105263157894737,0.08421052631578947,0.22105263157894736,0.3684210526315789,0.30526315789473685,0.6105263157894737,0.38522561534062627,0.3157894736842105,0.4736842105263158
CHD,0.4421052631578947,0.30526315789473685,1.0,0.4105263157894737,0.37894736842105264,0.0736842105263158,0.39999999999999997,0.24210526315789474,0.2947368421052632,0.23157894736842105,0.4210526315789474,0.35789473684210527,0.16358895993917008,-0.021052631578947368,0.4631578947368421,0.35789473684210527,0.3368421052631579,0.3263157894736842,0.5789473684210527,0.4105263157894737,0.2947368421052632,0.15789473684210525,0.38947368421052636,0.2947368421052632,0.16842105263157894,0.30526315789473685,0.3263157894736842,0.38947368421052636,0.4421052631578947,0.16358895993917008,0.18947368421052632,0.28421052631578947
COST,0.2736842105263158,0.22105263157894736,0.4105263157894737,1.0,0.3368421052631579,-0.09473684210526316,0.08421052631578947,0.19999999999999998,0.3368421052631579,0.0,0.12631578947368421,0.3157894736842105,0.2796843508637424,0.12631578947368421,0.18947368421052632,0.18947368421052632,0.37894736842105264,0.24210526315789474,0.38947368421052636,0.19999999999999998,0.35789473684210527,0.2631578947368421,0.22105263157894736,0.2736842105263158,-0.10526315789473685,0.19999999999999998,0.28421052631578947,0.3684210526315789,0.16842105263157894,0.18469721283454688,0.18947368421052632,0.09473684210526316
K,0.38947368421052636,0.3368421052631579,0.37894736842105264,0.3368421052631579,1.0,-0.23157894736842105,0.5368421052631579,0.6105263157894737,0.3684210526315789,0.4105263157894737,0.5578947368421052,0.22105263157894736,0.36411736244524956,0.052631578947368425,0.30526315789473685,0.3263157894736842,0.3473684210526316,0.5052631578947369,0.5473684210526316,0.35789473684210527,0.031578947368421054,0.10526315789473685,0.4421052631578947,0.17894736842105263,0.22105263157894736,0.3368421052631579,0.6105263157894737,0.5684210526315789,0.5157894736842106,0.5751998913990174,0.19999999999999998,0.23157894736842105
TAP,0.16842105263157894,-0.052631578947368425,0.0736842105263158,-0.09473684210526316,-0.23157894736842105,1.0,0.042105263157894736,-0.15789473684210525,-0.08421052631578947,-0.021052631578947368,-0.16842105263157894,0.10526315789473685,0.036939442566909376,0.10526315789473685,0.16842105263157894,0.10526315789473685,-0.08421052631578947,-0.052631578947368425,-0.09473684210526316,-0.010526315789473684,0.042105263157894736,-0.031578947368421054,0.11578947368421053,0.10526315789473685,0.06315789473684211,0.010526315789473684,-0.30526315789473685,-0.19999999999999998,0.0,-0.11081832770072811,0.021052631578947368,0.1368421052631579
PEP,0.5157894736842106,0.4421052631578947,0.39999999999999997,0.08421052631578947,0.5368421052631579,0.042105263157894736,1.0,0.5473684210526316,0.2631578947368421,0.43157894736842106,0.6842105263157895,0.30526315789473685,0.38522561534062627,-0.010526315789473684,0.4736842105263158,0.5157894736842106,0.30526315789473685,0.37894736842105264,0.5263157894736842,0.4210526315789474,0.052631578947368425,0.08421052631578947,0.5263157894736842,0.4105263157894737,0.3684210526315789,0.3368421052631579,0.35789473684210527,0.4210526315789474,0.6421052631578947,0.4379962475790683,0.15789473684210525,0.3157894736842105
MDLZ,0.35789473684210527,0.28421052631578947,0.24210526315789474,0.19999999999999998,0.6105263157894737,-0.15789473684210525,0.5473684210526316,1.0,0.23157894736842105,0.37894736842105264,0.39999999999999997,0.25263157894736843,0.45910450047444507,0.1473684210526316,0.3368421052631579,0.3157894736842105,0.3368421052631579,0.22105263157894736,0.5368421052631579,0.15789473684210525,0.021052631578947368,0.1368421052631579,0.3684210526315789,0.2736842105263158,0.2947368421052632,0.24210526315789474,0.4105263157894737,0.5157894736842106,0.37894736842105264,0.34300910954987274,0.18947368421052632,0.28421052631578947
TGT,0.28421052631578947,0.10526315789473685,0.2947368421052632,0.3368421052631579,0.3684210526315789,-0.08421052631578947,0.2631578947368421,0.23157894736842105,1.0,0.1368421052631579,0.2631578947368421,0.052631578947368425,0.4379962475790683,0.30526315789473685,0.11578947368421053,0.2631578947368421,0.052631578947368425,0.10526315789473685,0.25263157894736843,0.18947368421052632,0.2631578947368421,0.12631578947368421,0.12631578947368421,0.17894736842105263,0.09473684210526316,0.3157894736842105,0.23157894736842105,0.39999999999999997,0.09473684210526316,0.18469721283454688,0.0736842105263158,0.10526315789473685
HSY,0.45263157894736844,0.4210526315789474,0.23157894736842105,0.0,0.4105263157894737,-0.021052631578947368,0.43157894736842106,0.37894736842105264,0.1368421052631579,1.0,0.4105263157894737,0.22105263157894736,0.19525133928223526,0.0736842105263158,0.24210526315789474,0.11578947368421053,0.19999999999999998,0.39999999999999997,0.37894736842105264,0.37894736842105264,0.15789473684210525,0.12631578947368421,0.2947368421052632,0.052631578947368425,0.28421052631578947,0.39999999999999997,0.5473684210526316,0.5052631578947369,0.5157894736842106,0.4274421211313799,0.30526315789473685,0.23157894736842105
