tickers,HES,HP,NOV,COP,EOG,APA,PSX,XOM,COG,PXD,CVX,MRO,WMB,MPC,CXO,VLO,EQT,KMI,FTI,DVN,RRC,HAL,XEC,OKE,OXY
HES,1.0,0.499891782699661,0.492388716542818,0.49787172642666483,0.5251424861121132,0.5545654637624052,0.32293207336765206,0.5273980018582521,0.312254247885433,0.5121564100714234,0.5584214137322671,0.49204574181577015,0.3806500489472146,0.3443474496789554,0.4818555659764808,0.39456027703628893,0.40062044585527745,0.3698546145259028,0.5066195306496097,0.5128778587403506,0.3857003718104263,0.47723829449534666,0.4717552846114999,0.2469696976125138,0.5853113051006421
HP,0.499891782699661,1.0,0.5094149051295,0.48401991198326244,0.5017675492388717,0.46899239063955683,0.27704628278189997,0.4624652793312444,0.3222105986729076,0.518216578890412,0.4631867540259889,0.4714115655460766,0.3652104904796816,0.2869201356323498,0.4365485895678523,0.37551403217661067,0.384459995671308,0.2666762885852003,0.44803578543635375,0.5102806435322127,0.3520796510353311,0.5375514032176612,0.5115792511362817,0.2873737381217185,0.502488997907799
NOV,0.492388716542818,0.5094149051295,1.0,0.44592742226390597,0.4890700526657529,0.4971319340779302,0.263049673703856,0.44514988665737565,0.34544208384368147,0.46396363898708615,0.48728400883045625,0.4152808342949521,0.42206269642555067,0.3446360291465263,0.45646057283024316,0.3986003895822813,0.391963061828151,0.3073703975576172,0.5152772269865441,0.4768054252939904,0.3502038168289953,0.498593175095592,0.4385686458408485,0.3069985577976179,0.5088377461943583
COP,0.49787172642666483,0.48401991198326244,0.44592742226390597,1.0,0.5577519659476229,0.5464843641083081,0.3691064538313021,0.5670791100692014,0.339958876163623,0.5563090686097684,0.6328776022299027,0.5298510158203836,0.4476029006195071,0.33944159873025037,0.4792583507683429,0.3657023302792007,0.401774763725561,0.36408240048726215,0.48901554809784314,0.49412019334824336,0.3629017714564991,0.45242046028425087,0.45876920857081027,0.36096681190634133,0.5593391530192628
EOG,0.5251424861121132,0.5017675492388717,0.4890700526657529,0.5577519659476229,1.0,0.552978104901779,0.3305797051319441,0.5194617802160624,0.415425129233901,0.6626506024096386,0.535478518439391,0.5330255044772595,0.49363298614420814,0.3234254382800664,0.5325012625351706,0.38777865954837315,0.41663660630546145,0.30650456545182114,0.5488979477616392,0.5078277180578602,0.4213412217308061,0.4768054252939904,0.5076834283240748,0.36731601827207355,0.5225452709039753
APA,0.5545654637624051,0.46899239063955683,0.4971319340779302,0.5464843641083083,0.552978104901779,1.0,0.2972075915089507,0.4969334019718727,0.3422324851971239,0.5786644573737301,0.5369074261757957,0.514539289888402,0.42896312976953443,0.2698510063064527,0.5319095236607405,0.3196363523897287,0.429164113772936,0.3431231057872709,0.508189625393916,0.5864569463258951,0.4254996764089057,0.4727443297646733,0.5160359350544785,0.3185048889037652,0.5721707165802594
PSX,0.32293207336765206,0.2770462827818999,0.263049673703856,0.3691064538313021,0.3305797051319441,0.29720759150895076,1.0,0.3387445887445888,0.27582972582972587,0.33461996342251354,0.33427128427128433,0.3358585858585859,0.26341991341991344,0.42191840148660176,0.2509288988321479,0.37776415016823645,0.2810865410724693,0.1948914068137111,0.29963924963924965,0.2735832042471262,0.251010101010101,0.2820966056451117,0.26102954455857136,0.21241747551613055,0.292341546310484
XOM,0.5273980018582523,0.4624652793312444,0.44514988665737565,0.5670791100692014,0.5194617802160624,0.49693340197187275,0.3387445887445888,1.0,0.3202741702741703,0.5321597348435662,0.61998556998557,0.49458874458874463,0.39992784992784997,0.3463078534773749,0.43880090934362376,0.3942137732084118,0.3924822339410249,0.2989393181892651,0.4948773448773449,0.4533746981774633,0.37034632034632037,0.4603008552470108,0.4022942897895505,0.3398390997557659,0.5529382060522087
COG,0.31225424788543304,0.3222105986729076,0.34544208384368147,0.339958876163623,0.415425129233901,0.3422324851971239,0.27582972582972587,0.3202741702741703,1.0,0.33894881159098067,0.33023088023088026,0.3391774891774892,0.28751803751803756,0.2209155515307754,0.30561668069378334,0.26853288138391446,0.5096497243675367,0.15520600372317384,0.37510822510822517,0.39854262137687896,0.5042568542568543,0.27026442065130135,0.34876086743950635,0.2118402541152715,0.34775080286686394
PXD,0.5121564100714234,0.518216578890412,0.46396363898708615,0.5563090686097684,0.6626506024096386,0.5786644573737301,0.3346199634225135,0.5321597348435662,0.3389488115909807,1.0,0.5285523613698435,0.5480321781279458,0.46780419207235396,0.2847557896255682,0.563667845032826,0.356323497583147,0.3750811629752544,0.297269022989996,0.4989718988853177,0.5107135127335691,0.4083546772254046,0.4519875910828945,0.48084553783998274,0.3798701308588621,0.51100209220114
