tickers,EFX,UAL,AYI,CAT,AME,FLS,FAST,URI,NOC,ITW,WM,TDG,PCAR,HII,PWR,FDX,PAYX,ROK,HON,XYL,CMI,GPN,UNP,CHRW,KSU,JBHT,NSC,LUV,MMM,JCI,AOS,RSG,CSX,DAL,DOV,ETN,BA,PH,ALK,SRCL,UPS,MAS,SNA,VRSK,RHI,LMT,TXT,ADP,GWW,PNR,AVY,EXPD,ROP,DE,EMR,FLR,CTAS,GE,SWK
EFX,1.0,0.12190563818614976,0.3275351486359948,0.2953336593038043,0.33501049437382474,0.32178488268381794,0.2548517870004791,0.2542767604052614,0.31844972843155533,0.3286852018264302,0.31289193125450737,0.3057991433367662,0.3246600156599064,0.1692878296320872,0.3587900402735396,0.34432592521635125,0.38112221230097904,0.25871190339275446,0.3560564677587921,0.29102932719953994,0.2744026912378805,0.29714187178928986,0.3315603348025186,0.26216216216216215,0.26209712210022196,0.23599091467733893,0.28562392179413454,0.12472685451408855,0.3718335778873936,0.31748131109833233,0.31955146635997694,0.2919338635495813,0.3349340093550069,0.09838987924094307,0.33869066458321795,0.3275351486359948,0.3375406113927826,0.33670711424933075,0.20309939343088723,0.28659325505649547,0.3421128305156736,0.3072942124843322,0.37625071880391026,0.2641672178430056,0.41549255345028435,0.30200396780832944,0.3504887866589994,0.4512622929999143,0.27183851905321715,0.28872915468660143,0.28383312739945055,0.30119893057502467,0.3512262443589635,0.2796434732604945,0.2865439907993099,0.3198297922600778,0.3388729154686601,0.2990654236520533,0.2987838188751104
UAL,0.12190563818614976,1.0,0.14507503881317924,0.12460468058191017,0.14530504283824966,0.12920476108331896,0.026622965901903287,0.12862975102064286,0.03133804841584728,0.12437467655683974,0.011044957452169416,0.08745903053303433,0.105629348513599,0.1128744753033178,0.14606515480316112,0.2616870795238917,0.12210974852140576,0.08602397864456605,0.10643436260134553,0.04991230846489528,0.0753838192168363,0.11236665845880978,0.1382899200736013,0.14295161157111713,0.0960841814731758,0.19682594445402796,0.13766136689511438,0.40746384537125335,0.13139735501885894,0.17377303707478517,0.13846640412841915,0.08494364055574788,0.13244004918239255,0.573416520751078,0.08538899430740038,0.06986372261514577,0.08354896210683688,0.044049570306780084,0.38312920476108336,0.12172963026852969,0.17895856761710136,0.1673854292450118,0.1595123775133865,0.08711402449542867,0.12869835293286402,0.10079926398711977,0.13984646795694158,0.09327467759477455,0.060726300579581956,0.10637992011527218,0.13541486976022082,0.17969064458628028,0.07055373469035708,0.12547080307649944,0.036916707412975536,0.09872922776148584,0.11075012223892662,0.128421902072434,0.08366396411937209
AYI,0.3275351486359948,0.14507503881317924,1.0,0.4256799493991145,0.4590305330343281,0.4732907825886953,0.31205796101431776,0.3949744120522109,0.33241331723305156,0.47444080271404754,0.3142060291861945,0.3388534299350239,0.43752515669024206,0.2071761255821977,0.35113143119216605,0.3371283997469956,0.38162891259516124,0.45484603681719077,0.4424702432292565,0.37480233476288877,0.4192398366971422,0.37815923542739666,0.36024380426657465,0.33639055820234715,0.40635961129319764,0.32539819446840323,0.36778701030123295,0.1426065956139865,0.44042553264308126,0.3731922602962792,0.502803254858346,0.22527030471013165,0.34786359422678786,0.13950145199981098,0.41682479443390263,0.3840492208613651,0.36484388476798346,0.4875355836303937,0.25432695072163763,0.2951526651716405,0.34676097774136283,0.4307400379506641,0.4317299676894398,0.21775631073543789,0.4683285908334426,0.30090276579840153,0.446105632569882,0.35998735002668847,0.3628626483495853,0.38963802091950506,0.37369903973319535,0.3857742510493934,0.401299522741648,0.3322503667167798,0.38699289858150365,0.4103846817319303,0.3317903454406057,0.3341960022135754,0.43396009430165033
CAT,0.2953336593038043,0.12460468058191017,0.4256799493991145,1.0,0.4530504283824967,0.4815709274912311,0.3295382669196711,0.4349951124144673,0.3738140417457306,0.4795008912655972,0.341358216256111,0.3142429992524869,0.5134264849634869,0.18440572710022424,0.33525978444977533,0.386119257086999,0.29926378782707214,0.44449555810327246,0.502501293772641,0.4040136857999473,0.6041630728537749,0.2991460375141906,0.39221436375136565,0.3667519624298411,0.39968949456615493,0.26329710769938475,0.389408010281418,0.14801184560903274,0.5026451992209392,0.44173543044622754,0.3917081166622887,0.2673683039564468,0.41526252503085387,0.11569535095779873,0.5138864930136278,0.5174515554022195,0.4317750560634811,0.532275225534669,0.20510608935656374,0.2339715945029038,0.3596423142279408,0.34885860502558796,0.4601362814931935,0.17014547754585707,0.4448661565186041,0.3448335345868553,0.5186739888863541,0.34618591807678345,0.2963857511242096,0.3978033985715962,0.4408602150537635,0.40532459318038067,0.40566959921798634,0.5226991750528779,0.43621517513213776,0.5095164165372894,0.37480233476288877,0.43691051950034976,0.4585705249841872
AME,0.33501049437382474,0.14530504283824966,0.4590305330343281,0.4530504283824967,1.0,0.44638031165545394,0.3923293657639009,0.36438387671784256,0.35219366338910935,0.5257317003047554,0.3087986021002366,0.40831464550629637,0.451095394169398,0.23477660859065033,0.3475660612717739,0.39485941003967573,0.4253422469692867,0.452315919798233,0.45926053705939857,0.3796325581627173,0.43419009832672073,0.3423905242905596,0.3377034098096717,0.3876829304957649,0.42682996952446667,0.32309815421769883,0.3459359996829608,0.14122653178546404,0.435480161732087,0.47025674956902486,0.4489807655459704,0.2779503146959577,0.3755822671342621,0.17319801047956748,0.5037663159105285,0.40566959921798634,0.38968431947559085,0.47166393688800295,0.27525731700304756,0.2940026450462883,0.34676097774136283,0.42728997757460757,0.46761162723102345,0.2278764878385372,0.4746542471438157,0.35173365533896844,0.47911215913537725,0.42853446204454987,0.3694183285257902,0.42057445174221664,0.33827841987234775,0.3972744523029153,0.45121039618193315,0.40585377090464386,0.4290848453514384,0.4393651888908056,0.3330554039500846,0.3814699849737818,0.4397101949284113
FLS,0.3217848826838179,0.12920476108331896,0.4732907825886953,0.4815709274912311,0.44638031165545394,1.0,0.33321833132079814,0.4041745730550285,0.34460353056178483,0.46961071818756833,0.31800273331037776,0.37220401357023747,0.47432580070151226,0.2506468863205106,0.3538917175821471,0.4038295670174228,0.36184287703634654,0.41608924429951866,0.4647806336610891,0.43483511130361524,0.5220516359036282,0.36033238582543603,0.35472370766488415,0.366521951791754,0.37438905180840665,0.3318383071703755,0.36054167520149005,0.18688364344574843,0.4813686034410802,0.4642764729787609,0.4729018719070262,0.2724292656144737,0.4087066563348952,0.13651131370467903,0.501466275659824,0.453740440457708,0.38623425909953424,0.513873316268129,0.23316658041515728,0.26916221033868093,0.3693033165928743,0.45880052900925766,0.46600155276441396,0.2244264274624806,0.46050777939516313,0.3528836754643206,0.5063684197486956,0.43417004675742776,0.3619425528862583,0.3918231219813323,0.38680926916221037,0.3634638606175608,0.4035995629923524,0.4343750900274411,0.3978033985715962,0.5207866137657409,0.3790575315674996,0.3872210777669942,0.46110056925996207
FAST,0.2548517870004791,0.026622965901903287,0.31205796101431776,0.3295382669196711,0.3923293657639009,0.33321833132079814,1.0,0.3234431602553045,0.24248174343051004,0.38174918061066065,0.30580725945694065,0.3717440055200966,0.3480535909378414,0.16761543327008224,0.2550964672074105,0.33275832327065724,0.3090417705160213,0.31913976034581654,0.29940773963544365,0.2673873667762247,0.33390834339600944,0.25739670586572805,0.31493301132769824,0.2558868348718709,0.314818009315163,0.2363866367661434,0.2739426699617063,0.006210287228351025,0.31667625124238785,0.32097984545051317,0.3146545529031186,0.23435703132340732,0.25102076191104794,0.017365803175574162,0.3556437237651659,0.2798573975044564,0.3066528664251625,0.3590672545633614,0.1193145880052901,0.27146225058938533,0.32042324510362746,0.3424184923236157,0.3315603348025186,0.21453625438445173,0.33008424746856097,0.24593180380656665,0.392628159214637,0.36090744549001547,0.4712038891563395,0.33535551033095534,0.21545627048473348,0.31010292680121904,0.33022827899488244,0.2731376327284016,0.2883183348421485,0.3296532689322063,0.25439176572430494,0.2681734569474965,0.3451785406244609
URI,0.25427676040526137,0.12862975102064286,0.3949744120522109,0.4349951124144673,0.36438387671784256,0.4041745730550285,0.3234431602553045,1.0,0.25616698292220114,0.3917543557012248,0.31202004802378597,0.27640733712839977,0.3757690759588293,0.17440055200966018,0.2770637463943426,0.32436317635558626,0.2893707700476648,0.3217848826838179,0.36599390489333566,0.34363589330209005,0.42602495543672014,0.28074412824765066,0.3118279569892473,0.30476409546537436,0.3586337760910816,0.27698234719107584,0.2893533827135404,0.09108421268248171,0.3671650379848641,0.3505362124447023,0.4047037177142085,0.2145732721147565,0.2955316598993987,0.14950691475659875,0.3943994019895349,0.35886378011615205,0.2991777356103732,0.40530205159554317,0.18222068886205509,0.2023460410557185,0.3112222904703575,0.35702374791558855,0.37813748901515126,0.18360071301247774,0.34526582261345645,0.2522569144960037,0.4050487336713391,0.31904310190863694,0.31973317350613223,0.3634168081775785,0.2850324880685412,0.3221781381174171,0.34138347421079873,0.3597366379681853,0.33374543586434585,0.3914093496636191,0.3155745954554669,0.29589372421078053,0.34713357483755963
NOC,0.31844972843155533,0.03133804841584728,0.33241331723305156,0.3738140417457306,0.35219366338910935,0.34460353056178483,0.24248174343051004,0.25616698292220114,1.0,0.3931343798516474,0.3115598414632789,0.29641768730952794,0.3396584440227704,0.1810706687367029,0.2817792356438935,0.3241331723305158,0.344702648558071,0.37330726561532274,0.46397561957334255,0.32051982417433905,0.31608303145305044,0.24647057223871993,0.3426484963486861,0.27946292527579614,0.30573285032488073,0.27997239951699154,0.3606566805205336,0.1750380955842641,0.44847613645167655,0.25968201040030764,0.3765274145485418,0.2342420094675431,0.30070734571199764,0.07199332972125448,0.3426484963486861,0.4027945489046058,0.4392501868782704,0.36677305406872507,0.15830027025472945,0.23776666091656604,0.3773541518969855,0.27514231499051234,0.35180127095418123,0.2084411477200851,0.4545271588835376,0.5066413662239089,0.3934331964479418,0.4056470873942908,0.29098019027716354,0.34271585074974176,0.3853142429992525,0.298027715485021,0.3935943879017883,0.34674103691626557,0.40803887196647104,0.3621988384796734,0.37618239859141117,0.39780308850650514,0.3402334540854465
ITW,0.3286852018264302,0.12437467655683974,0.47444080271404754,0.4795008912655972,0.5257317003047554,0.46961071818756833,0.38174918061066065,0.3917543557012248,0.3931343798516474,1.0,0.33986254493446305,0.39152435167615435,0.49019607843137253,0.20763613363233857,0.3978262759560113,0.3994594905410845,0.36690442101650844,0.4822173027495527,0.5321718130067277,0.41206405813299485,0.48295095164165375,0.35872221876461385,0.4011845207291128,0.2903884305849322,0.38450922891150596,0.326318210568685,0.34823610606383154,0.14755182433285863,0.5136860273012984,0.4176993187661282,0.47888214849729016,0.3059006256709702,0.3681062765160637,0.13053103711441505,0.49985624748433094,0.5324018170317981,0.46880570409982175,0.5664337696106838,0.21545627048473348,0.31838307170375485,0.40265677713847803,0.4017595307917889,0.5390299303570603,0.19935598872980276,0.49823169339157003,0.3538036915646024,0.512233691019916,0.4110526482413369,0.4199085670758593,0.44196544108431457,0.38151917658559026,0.38669426714967514,0.48525099189235815,0.38354273901019753,0.49394784529199354,0.4508653901443275,0.3700871166821037,0.444386940131526,0.46248059341038467
