tickers,PEG,PCG,AEP,NEE,D,CMS,NRG,XEL,PPL,AEE,WEC,DUK,LNT,ETR,EIX,ES,AWK,CNP,SRE,AES,EXC,PNW,NI,ED,DTE,SO,FE
PEG,1.0000000000000009,0.5810159798248359,0.5622799702001491,0.538764165386803,0.6232289593944371,0.5773946346572911,0.34361022929793517,0.6227954155277976,0.5857375209456316,0.5564998511922631,0.578781564834181,0.014244760654651504,0.5142532699024762,0.5419297673376138,0.47292389850343486,0.10176393404593624,0.35889905565471614,0.4725231603819119,0.49831895075136984,0.39877266562998764,0.6226494724335281,0.5678365513348409,0.4590088619876658,0.5737901516210121,0.5560475475092849,0.535588815308047,0.5546942285848264
PCG,0.5810159798248358,1.000000000000001,0.5239660976802137,0.528764238656315,0.5899381644458084,0.5664135784043759,0.31891776337614947,0.6289414286866685,0.4549052805507612,0.583005664985868,0.6173612179770088,-0.01546379797269886,0.5278876369712697,0.5106051563190505,0.5761493706721866,0.13299390975467446,0.4195718855343269,0.46055513311988056,0.5628958206102314,0.4544764839631427,0.41993076003869617,0.5706394678079162,0.43798409629811136,0.5900603242492743,0.5962849794542424,0.5270961835897932,0.4760831447042233
AEP,0.5622799702001491,0.5239660976802138,0.9999999999999996,0.5104157271423572,0.5559263804079979,0.5892308017313186,0.36672206806034635,0.6264831495483674,0.5197818190738344,0.5477114387035925,0.5749869147811482,0.14818299274104574,0.5252599895500444,0.5822206759872758,0.5391508583595988,0.1132225288323071,0.3573030440087199,0.4381581257866243,0.5133250737025432,0.501322077858362,0.4066457729053418,0.6187009875195806,0.390282162515931,0.5500043645505613,0.5673496022051348,0.5233428136314329,0.4784675071860662
NEE,0.538764165386803,0.528764238656315,0.5104157271423572,0.9999999999999998,0.6461101335497476,0.6535734878417181,0.32215534954849206,0.6467136835692391,0.4767134777324346,0.5668133109970802,0.5994296145800859,-0.005444318765830219,0.6026778855206872,0.5154244327968687,0.5645717010741713,0.08158049933243919,0.35205346731447673,0.4695218407726453,0.5547345212301924,0.5138910577353337,0.43852377400834885,0.6066400511235944,0.4027927390652561,0.572166557175904,0.6324799289891131,0.5650866143352521,0.48386807197714876
D,0.6232289593944371,0.5899381644458084,0.5559263804079979,0.6461101335497477,0.9999999999999999,0.6410762661484506,0.33023338742088615,0.65684340356771,0.5009428412547943,0.6169008122608453,0.6577126832313457,0.011139145576351586,0.6163998579913887,0.5380341983530657,0.5386265549197865,0.13569508398391333,0.43965219908944625,0.5020026075617743,0.580283201427993,0.46896302929970457,0.48465220212624327,0.6043635567096749,0.47487483925161444,0.6718671131301661,0.6606955839275496,0.6434040024148003,0.5456667326169071
CMS,0.5773946346572911,0.566413578404376,0.5892308017313186,0.6535734878417181,0.6410762661484506,0.9999999999999998,0.38078703636446604,0.7604607719228417,0.6083026064363429,0.6438903144494846,0.6996430539873423,0.047977022208490254,0.671344124805255,0.5902212825818215,0.6029632508623712,0.0990318878566295,0.4590316982225007,0.599453497262199,0.6123641768294984,0.5178286558486952,0.45768757957366796,0.7221492810304602,0.5958728828358454,0.6866198436216077,0.7253243208247218,0.6175077206095849,0.5741294803384002
NRG,0.34361022929793517,0.31891776337614947,0.36672206806034635,0.32215534954849206,0.33023338742088604,0.38078703636446604,1.0,0.30503491486488493,0.34524154978374394,0.36484409700110615,0.26236898720487967,0.09399425966346708,0.3508987974002282,0.3533075811811744,0.35438034990627415,0.19852502879529813,0.2996012206367623,0.33258029084884977,0.2543833846638739,0.3462046977705528,0.3285597491783842,0.33184365933311327,0.3256167864271605,0.2775039596941567,0.4080868308442083,0.19726098379079024,0.29417185501752807
XEL,0.6227954155277976,0.6289414286866685,0.6264831495483674,0.6467136835692391,0.6568434035677099,0.7604607719228417,0.30503491486488493,0.9999999999999992,0.6257476210561356,0.675055721576841,0.7658551081711137,0.03798479585759752,0.6889141186353284,0.5967263807766434,0.6400185911595381,0.02254174931124254,0.4360771503783356,0.5712188417697646,0.6494049093394112,0.5094260745087766,0.47438270576492686,0.7874336366363803,0.557079441401289,0.7516849349357541,0.758602834757473,0.6476520967232888,0.5553593277167778
PPL,0.5857375209456316,0.4549052805507612,0.5197818190738344,0.47671347773243455,0.5009428412547943,0.6083026064363429,0.34524154978374394,0.6257476210561356,0.9999999999999996,0.5835953477594674,0.5184367750477026,0.0180218990927834,0.5194715069853657,0.5527829025285315,0.46988326869466596,0.17384404511115886,0.3134683434454446,0.4655773438361407,0.4056577452174775,0.4402772481502754,0.5187984218669082,0.5717512657837825,0.4406626409464008,0.5839746251353707,0.5493354052325212,0.5333087430697421,0.47499398717486685
AEE,0.5564998511922631,0.583005664985868,0.5477114387035925,0.5668133109970802,0.616900812260845,0.6438903144494846,0.36484409700110615,0.675055721576841,0.5835953477594674,0.9999999999999998,0.6517018011758144,0.033187939814400685,0.5615335215004937,0.5597684080957182,0.6156284780014301,0.056401366176625084,0.40126167475969,0.6118563713681345,0.5490343437953757,0.5137278109283324,0.49531109286998515,0.670035576485911,0.5889800324654494,0.6694375734704827,0.6657496997463977,0.6011949356110153,0.5316092726844293
WEC,0.578781564834181,0.6173612179770088,0.5749869147811482,0.5994296145800858,0.6577126832313457,0.6996430539873423,0.26236898720487967,0.7658551081711137,0.5184367750477026,0.6517018011758144,0.9999999999999994,-0.01208481551190495,0.6902501742866903,0.6256101365208121,0.6006898314367033,0.07856069527395178,0.4762625973260936,0.5747518374411014,0.6271774898345048,0.48665197737105004,0.46667914782226155,0.7248991858997811,0.503249148079397,0.692737000995909,0.7243682333224448,0.6232565016799333,0.5947917657145465
DUK,0.014244760654651504,-0.01546379797269886,0.1481829927410457,-0.005444318765830219,0.011139145576351586,0.04797702220849025,0.09399425966346708,0.03798479585759752,0.0180218990927834,0.033187939814400685,-0.01208481551190495,0.9999999999999992,-0.019568275247324865,0.03238873033126464,-0.01438744932810283,0.050464725454101036,0.04792193863401015,-0.007416609085234967,0.01043099885889962,0.06474255065084038,-0.010888040460499262,0.01615279377304787,0.020905471466573632,0.019886887233231974,0.056221018278086766,-0.004743203715201741,0.02256617387543032
LNT,0.5142532699024762,0.5278876369712697,0.5252599895500444,0.6026778855206871,0.6163998579913886,0.671344124805255,0.3508987974002281,0.6889141186353284,0.5194715069853657,0.5615335215004937,0.6902501742866902,-0.019568275247324865,1.0000000000000002,0.5439696924432676,0.5231278304576021,0.10775709512906885,0.4856769765196247,0.5595937170998792,0.5635525486513306,0.4985123502511323,0.42250798241135434,0.683208729517938,0.5684328549528962,0.6342438834465424,0.721644416457263,0.5740633645422709,0.522409210103633
ETR,0.5419297673376137,0.5106051563190506,0.5822206759872758,0.5154244327968687,0.5380341983530657,0.5902212825818215,0.35330758118117445,0.5967263807766434,0.5527829025285315,0.5597684080957182,0.6256101365208121,0.032388730331264645,0.5439696924432678,1.0,0.5262736101326154,0.10374318302640442,0.32537943378437467,0.43636045235524995,0.49074404401915545,0.4483992786664159,0.5089075410235407,0.5760413402447946,0.44821431365176106,0.6343305455748045,0.6046301311147411,0.5825770044324674,0.5859602438928789
EIX,0.47292389850343486,0.5761493706721867,0.5391508583595988,0.5645717010741713,0.5386265549197864,0.6029632508623712,0.35438034990627415,0.6400185911595381,0.46988326869466596,0.6156284780014301,0.6006898314367033,-0.01438744932810283,0.5231278304576021,0.5262736101326154,0.9999999999999992,0.046669945687150244,0.37379837027288876,0.4916151313193349,0.5702270856310104,0.45223244345306435,0.43989375066719255,0.624222092722109,0.4876050224919913,0.5834222716773678,0.6129380398832303,0.5143785146638253,0.5019987780900894
ES,0.10176393404593623,0.13299390975467446,0.11322252883230707,0.08158049933243919,0.13569508398391333,0.0990318878566295,0.19852502879529813,0.02254174931124254,0.17384404511115886,0.056401366176625084,0.07856069527395178,0.050464725454101036,0.10775709512906886,0.10374318302640441,0.04666994568715024,1.0000000000000007,0.14689650290569506,0.15248356071490768,0.09358764207787858,0.1882641104576412,0.05343344158715427,0.13504536077910473,0.15151478960356898,0.08443096533044446,0.09728887929341201,0.06951427266816966,0.09310373296157078
AWK,0.35889905565471614,0.41957188553432695,0.3573030440087199,0.35205346731447673,0.43965219908944625,0.4590316982225007,0.29960122063676237,0.4360771503783356,0.3134683434454446,0.40126167475969,0.4762625973260936,0.04792193863401015,0.48567697651962477,0.32537943378437467,0.37379837027288876,0.1468965029056951,0.9999999999999997,0.4155188280380947,0.472780521120876,0.3507442594389722,0.2508348039243777,0.505701130083219,0.37099669237591026,0.4525512272984453,0.5169575091226839,0.40881500348214966,0.38765842970093745
CNP,0.47252316038191183,0.46055513311988056,0.4381581257866243,0.4695218407726453,0.5020026075617743,0.599453497262199,0.33258029084884977,0.5712188417697646,0.46557734383614074,0.6118563713681344,0.5747518374411014,-0.007416609085234967,0.5595937170998793,0.43636045235524995,0.4916151313193349,0.15248356071490768,0.4155188280380947,1.0000000000000002,0.5726767757156491,0.45642345051498634,0.3998872141017801,0.6045798450205552,0.62203914387652,0.5558941374216129,0.5834188546877171,0.48429342573506795,0.4125430913930911
SRE,0.49831895075136984,0.5628958206102314,0.5133250737025432,0.5547345212301924,0.580283201427993,0.6123641768294984,0.2543833846638739,0.6494049093394112,0.40565774521747755,0.5490343437953757,0.6271774898345048,0.01043099885889962,0.5635525486513306,0.49074404401915545,0.5702270856310104,0.09358764207787858,0.472780521120876,0.5726767757156491,0.9999999999999997,0.49665962885516113,0.3796582770471723,0.6113415221239885,0.5464443708306489,0.5900600710151517,0.6310161785068474,0.5198772858146564,0.48470355797608183
