tickers,CHTR,FB,DIS,OMC,IPG,VZ,T,EA,ATVI,DISH,NFLX,CMCSA,GOOG,NWSA,NWS,DISCA,DISCK
CHTR,1.0,0.0,0.9345857036332953,0.6015180298466608,0.08466410247438849,0.8526734361509193,0.9014923974687349,-0.7258234007426291,-0.5639049614267454,0.39561036677666506,-0.7212865652494923,0.8025034028195157,0.5862677749931442,0.838704790581932,0.8081372386674496,0.7061046035527504,0.7214406882992114
FB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIS,0.9345857036332953,0.0,1.0,0.5990939270652704,0.09587024450141213,0.8864061263721874,0.8961687066280074,-0.6999356204960352,-0.6464207170761617,0.47603631370590754,-0.7323188976855265,0.8733859774155729,0.663489639373436,0.8996608981127464,0.8610636374508016,0.8372713153434481,0.8462938325873774
OMC,0.6015180298466607,0.0,0.5990939270652704,1.0,0.6233784092215038,0.4422888572604809,0.5671037288820409,-0.2137175550816923,0.020811252130732052,0.3947748593290383,-0.4351777290140455,0.41070877583498644,0.5439754142457718,0.5027131447347719,0.44851339471792645,0.49678593557455747,0.49747061887752203
IPG,0.08466410247438849,0.0,0.09587024450141213,0.6233784092215037,1.0,0.01559930330935297,0.03802188212321552,0.21495928095948316,0.31857540114602023,0.17956122761968182,0.1386417278432183,0.01855589340131046,0.18942537844708074,0.13450029874047453,0.1071575256638487,0.085269241489375,0.07624391591133448
VZ,0.8526734361509192,0.0,0.8864061263721875,0.4422888572604809,0.015599303309352967,1.0,0.9060067163730301,-0.7864324444718099,-0.5863124961432862,0.24188728710554022,-0.7251144686166595,0.7669700877320013,0.45275991495186707,0.7916507781083232,0.7534874335010784,0.6933877220431982,0.6951978215849567
T,0.901492397468735,0.0,0.8961687066280073,0.5671037288820409,0.03802188212321552,0.9060067163730301,0.9999999999999998,-0.8336798400682625,-0.5045551625941198,0.16090638449520403,-0.8662805198602105,0.6841566030031175,0.40968193332332326,0.7130978260713441,0.6553737034931834,0.6359202273691419,0.6497718017207498
EA,-0.7258234007426291,0.0,-0.6999356204960352,-0.2137175550816923,0.21495928095948316,-0.7864324444718099,-0.8336798400682626,1.0,0.5358149338808016,0.032385364874922565,0.7471114295168428,-0.5619951437801451,-0.07092077387361048,-0.5145410502621545,-0.46780706319657706,-0.4852593760064774,-0.48968699238798036
ATVI,-0.5639049614267454,0.0,-0.6464207170761617,0.020811252130732056,0.31857540114602023,-0.5863124961432862,-0.5045551625941199,0.5358149338808016,1.0,-0.3673260331624501,0.4378816432146057,-0.7396848452578887,-0.45763612379585367,-0.685192300437377,-0.6919764863080176,-0.6555219050584359,-0.6702824761481789
DISH,0.39561036677666506,0.0,0.4760363137059076,0.3947748593290383,0.17956122761968182,0.24188728710554022,0.16090638449520403,0.03238536487492257,-0.36732603316245005,1.0,-0.012724377289156192,0.7015670988554976,0.7816241276869745,0.6450383005850562,0.6440107117360022,0.7021117721609884,0.7018570619758815
NFLX,-0.7212865652494923,0.0,-0.7323188976855266,-0.4351777290140455,0.13864172784321832,-0.7251144686166596,-0.8662805198602104,0.7471114295168427,0.4378816432146057,-0.012724377289156192,1.0,-0.4455790221783951,-0.2887311517533568,-0.4660967564922941,-0.39599536654277745,-0.4785062254371401,-0.4901015069105195
CMCSA,0.8025034028195157,0.0,0.8733859774155729,0.4107087758349865,0.01855589340131046,0.7669700877320013,0.6841566030031174,-0.5619951437801453,-0.7396848452578887,0.7015670988554977,-0.4455790221783951,1.0,0.6906011854564388,0.9410847140557442,0.9297026536021683,0.9114624334528025,0.9167362366646897
GOOG,0.5862677749931442,0.0,0.663489639373436,0.5439754142457717,0.1894253784470807,0.452759914951867,0.40968193332332326,-0.07092077387361048,-0.45763612379585356,0.7816241276869746,-0.2887311517533568,0.6906011854564387,0.9999999999999998,0.7463505598116766,0.7367219298757149,0.6869681020623731,0.7022270931598895
NWSA,0.838704790581932,0.0,0.8996608981127464,0.5027131447347719,0.13450029874047453,0.7916507781083232,0.7130978260713441,-0.5145410502621545,-0.685192300437377,0.6450383005850562,-0.46609675649229415,0.9410847140557442,0.7463505598116768,1.0,0.9884518789977823,0.8666056601196185,0.8729740004772705
NWS,0.8081372386674496,0.0,0.8610636374508016,0.4485133947179264,0.10715752566384869,0.7534874335010783,0.6553737034931832,-0.46780706319657717,-0.6919764863080177,0.6440107117360021,-0.3959953665427775,0.9297026536021683,0.736721929875715,0.9884518789977822,1.0,0.8405440693661854,0.8465318190272578
DISCA,0.7061046035527504,0.0,0.8372713153434481,0.4967859355745575,0.08526924148937498,0.6933877220431982,0.6359202273691419,-0.4852593760064774,-0.6555219050584359,0.7021117721609884,-0.4785062254371401,0.9114624334528026,0.6869681020623732,0.8666056601196185,0.8405440693661853,1.0,0.9957102344209942
DISCK,0.7214406882992114,0.0,0.8462938325873776,0.4974706188775221,0.07624391591133446,0.6951978215849567,0.6497718017207498,-0.4896869923879803,-0.6702824761481789,0.7018570619758815,-0.4901015069105195,0.9167362366646896,0.7022270931598895,0.8729740004772705,0.8465318190272578,0.9957102344209942,1.0
