tickers,KMB,EL,CHD,COST,K,TAP,PEP,MDLZ,TGT,HSY,KO,STZ,NWL,DG,MO,PM,CAG,TSN,CL,CLX,DLTR,MKC,ADM,WMT,MNST,CPB,GIS,HRL,PG,SYY,SJM,KR
KMB,1.0,0.5654135338345864,0.6631578947368421,0.3639097744360902,0.5172932330827067,0.23609022556390977,0.6977443609022556,0.5097744360902255,0.38947368421052625,0.6360902255639098,0.5142857142857143,0.4977443609022556,0.39037234802777715,0.24962406015037594,0.5593984962406015,0.5067669172932331,0.32481203007518794,0.5007518796992482,0.7278195488721804,0.613533834586466,0.3969924812030075,0.13533834586466165,0.6932330827067669,0.3804511278195489,0.30075187969924805,0.6060150375939849,0.5639097744360902,0.6300751879699248,0.6571428571428571,0.44302372444770866,0.5624060150375939,0.4421052631578947
EL,0.5654135338345864,1.0,0.43458646616541347,0.30977443609022554,0.47067669172932325,-0.045112781954887216,0.5578947368421052,0.37744360902255636,0.12932330827067667,0.5714285714285714,0.5187969924812029,0.7654135338345864,0.4016547858320482,-0.05714285714285714,0.512781954887218,0.46917293233082696,0.47518796992481205,0.5323308270676691,0.5067669172932331,0.5609022556390978,0.1518796992481203,0.26917293233082706,0.7729323308270677,0.2902255639097744,0.13984962406015036,0.3233082706766917,0.5187969924812029,0.41503759398496237,0.7864661654135338,0.5460699897267173,0.41353383458646614,0.6421052631578947
CHD,0.6631578947368421,0.43458646616541347,1.0,0.5909774436090225,0.5157894736842105,0.16541353383458643,0.5428571428571428,0.34736842105263155,0.44360902255639095,0.35939849624060144,0.5293233082706766,0.4827067669172932,0.25648741941709446,-0.010526315789473682,0.6030075187969924,0.5097744360902255,0.4796992481203006,0.45112781954887216,0.7729323308270677,0.5849624060150376,0.44060150375939844,0.23308270676691725,0.5187969924812029,0.4496240601503759,0.24661654135338343,0.35037593984962395,0.5052631578947367,0.5022556390977443,0.5804511278195488,0.23392254380855243,0.2706766917293233,0.38796992481203
COST,0.3639097744360902,0.30977443609022554,0.5909774436090225,1.0,0.4270676691729323,-0.156390977443609,0.13834586466165413,0.26917293233082706,0.47067669172932325,0.019548872180451125,0.18646616541353384,0.44360902255639095,0.3775855851829367,0.19849624060150375,0.26165413533834586,0.2721804511278195,0.4796992481203006,0.3218045112781954,0.4781954887218045,0.23909774436090225,0.4947368421052631,0.37744360902255636,0.28872180451127816,0.37744360902255636,-0.12932330827067667,0.3218045112781954,0.3954887218045112,0.4872180451127819,0.22406015037593985,0.2594960694982334,0.21353383458646616,0.14285714285714285
K,0.5172932330827067,0.47067669172932325,0.5157894736842105,0.4270676691729323,1.0,-0.33383458646616543,0.7157894736842104,0.7428571428571428,0.5578947368421052,0.5593984962406015,0.7082706766917292,0.30225563909774433,0.484392663063369,-0.003007518796992481,0.41503759398496237,0.4601503759398496,0.49022556390977434,0.7022556390977444,0.6781954887218045,0.4586466165413533,0.018045112781954885,0.12781954887218044,0.6060150375939849,0.28421052631578947,0.3759398496240601,0.4992481203007519,0.7999999999999999,0.7744360902255639,0.7037593984962407,0.7138022317502131,0.30075187969924805,0.35488721804511275
TAP,0.23609022556390977,-0.045112781954887216,0.16541353383458643,-0.156390977443609,-0.33383458646616543,1.0,0.05263157894736842,-0.23308270676691725,-0.1744360902255639,-0.04962406015037594,-0.18796992481203004,0.08120300751879699,-0.014291087885409955,0.10225563909774435,0.24360902255639094,0.15488721804511277,-0.11879699248120301,-0.08571428571428572,-0.15939849624060148,-0.03157894736842105,0.10375939849624059,-0.06917293233082707,0.18045112781954886,0.14285714285714285,0.07368421052631578,0.02706766917293233,-0.4240601503759398,-0.26165413533834586,-0.015037593984962403,-0.1872884675508989,-0.04360902255639097,0.19548872180451127
PEP,0.6977443609022556,0.5578947368421052,0.5428571428571428,0.13834586466165413,0.7157894736842104,0.05263157894736842,1.0,0.6812030075187969,0.43909774436090226,0.5548872180451127,0.8526315789473683,0.42255639097744363,0.5295224142804531,-0.025563909774436087,0.6526315789473683,0.7142857142857143,0.4421052631578947,0.5203007518796992,0.6812030075187969,0.544360902255639,0.10375939849624059,0.05263157894736842,0.7157894736842104,0.48872180451127817,0.49323308270676686,0.46917293233082696,0.5097744360902255,0.5458646616541353,0.7954887218045112,0.6017300162277875,0.2571428571428572,0.41503759398496237
MDLZ,0.5097744360902255,0.37744360902255636,0.34736842105263155,0.26917293233082706,0.7428571428571428,-0.23308270676691725,0.6812030075187969,1.0,0.4240601503759398,0.45112781954887216,0.5518796992481202,0.3488721804511278,0.6032343412683571,0.23609022556390977,0.47067669172932325,0.4270676691729323,0.38947368421052625,0.31729323308270674,0.6947368421052631,0.2150375939849624,0.016541353383458645,0.14436090225563908,0.4676691729323308,0.3639097744360902,0.40751879699248117,0.3654135338345864,0.5684210526315789,0.6902255639097743,0.4977443609022556,0.42572398648115967,0.2571428571428572,0.42255639097744363
TGT,0.38947368421052625,0.12932330827067667,0.44360902255639095,0.47067669172932325,0.5578947368421052,-0.1744360902255639,0.43909774436090226,0.4240601503759398,1.0,0.19248120300751878,0.3639097744360902,0.10375939849624059,0.5776608155786761,0.38947368421052625,0.17744360902255638,0.44360902255639095,0.060150375939849614,0.18796992481203004,0.38496240601503756,0.2300751879699248,0.3924812030075188,0.27669172932330827,0.19548872180451127,0.30977443609022554,0.11879699248120301,0.44060150375939844,0.33533834586466166,0.6075187969924812,0.1533834586466165,0.22188794348399668,0.10676691729323308,0.14586466165413534
HSY,0.6360902255639098,0.5714285714285714,0.35939849624060144,0.019548872180451125,0.5593984962406015,-0.04962406015037594,0.5548872180451127,0.45112781954887216,0.19248120300751878,1.0,0.5804511278195488,0.3218045112781954,0.2670176947010807,0.11127819548872178,0.3413533834586466,0.16842105263157892,0.30977443609022554,0.5413533834586466,0.5413533834586466,0.5142857142857143,0.20601503759398496,0.1518796992481203,0.41654135338345866,0.048120300751879695,0.37744360902255636,0.5714285714285714,0.7338345864661654,0.6496240601503759,0.6887218045112782,0.583678115740954,0.4421052631578947,0.3203007518796992
