tickers,HES,HP,NOV,COP,EOG,APA,PSX,XOM,COG,PXD,CVX,MRO,WMB,MPC,CXO,VLO,EQT,KMI,FTI,DVN,RRC,HAL,XEC,OKE,OXY
HES,1.0,0.6747606336380595,0.6643047811433931,0.6609706576519938,0.7078699743370402,0.7402443140704849,0.45731372280001326,0.7126332828964569,0.4509263213631686,0.6991997072979687,0.7478709198671252,0.6658627662035957,0.5372464219022766,0.496995681614396,0.6635240706195183,0.5481360858317789,0.5595813536438312,0.5143401175466111,0.6846294617926468,0.7121780535314913,0.5353667892487153,0.6396518494851949,0.6494068661300464,0.35516448406720924,0.7749363579209911
HP,0.6747606336380595,1.0,0.6981922557638597,0.6751471239964134,0.6972569490966433,0.6439512814786376,0.4056875957772878,0.6518280039500692,0.46405283068951175,0.6995681614395993,0.6467868781286952,0.6554210782960473,0.5118604305119937,0.4203932925886609,0.6172019128696137,0.5265853834499676,0.5499319776969298,0.3852571584653106,0.6188139762734699,0.6988518659754501,0.5083330595692586,0.7176636400177272,0.6927607779277933,0.40583214702145853,0.6927375885062921
NOV,0.6643047811433931,0.6981922557638597,1.0,0.6100544178424563,0.6711095880528101,0.6752107022054997,0.37944101863472335,0.6247105346390281,0.4866432066869038,0.6384021973265175,0.6623289537507387,0.5820522780079678,0.5832091732258553,0.49653446978676036,0.6234913993012255,0.5511429808197719,0.5573087903367104,0.44203531500480403,0.6981063892696197,0.6590923145103941,0.4984672426666051,0.6628850732270399,0.609415420449978,0.433501027421886,0.695530625495996
COP,0.6609706576519938,0.6751471239964134,0.6100544178424563,1.0,0.7469132303379472,0.7306747881407482,0.5231717222859944,0.7337253636395024,0.49731421235479073,0.7442412936605276,0.8179493967849544,0.7230324568372011,0.619741553731019,0.4851175446009874,0.6580616735547837,0.5228390035763241,0.5692616488194008,0.5032375092452553,0.6679188962344962,0.6845749121378585,0.5224038942794677,0.6179826233934885,0.6413936327001762,0.5141771287598556,0.7419713069557958
EOG,0.7078699743370402,0.6972569490966433,0.6711095880528101,0.7469132303379472,1.0,0.7423107545108857,0.47809145784911156,0.7044358171153673,0.585821849731285,0.8487070609211869,0.7240759814769436,0.7268509840374445,0.6779663637225862,0.45502798190194493,0.7125490842755111,0.5483679800467911,0.5810083791109693,0.4392731901268617,0.7331984481115336,0.6917146773578489,0.5888854319452457,0.6428957918929783,0.6946185082502808,0.5190005346461152,0.6925366135199482
APA,0.7402443140704849,0.6439512814786376,0.6752107022054997,0.7306747881407482,0.7423107545108857,0.9999999999999999,0.42914868138807427,0.6876381304898672,0.49292108421293157,0.7691976697173485,0.724160298682063,0.6987781067979527,0.6030544431408034,0.3902866992878325,0.709314699299198,0.455268778972259,0.5995125055739071,0.5015536992471128,0.70061780682894,0.7738845215391554,0.6033559065912593,0.6365383773052794,0.6954138935935088,0.4560178713836199,0.7639671533906479
PSX,0.4573137228000132,0.40568759577728775,0.3794410186347234,0.5231717222859943,0.4780914578491115,0.42914868138807427,1.0,0.4873752761799243,0.4021192581952165,0.4710534638899582,0.4696559587227765,0.47414955907834805,0.3773464826111322,0.591358971832043,0.36125148235259175,0.5443630022849165,0.4171689434185058,0.27853032703039005,0.4341103946715794,0.3939666239595363,0.36075185354573147,0.40339957138200017,0.370920189045516,0.3063070839311161,0.4124589112173957
XOM,0.712633282896457,0.6518280039500692,0.6247105346390281,0.7337253636395025,0.7044358171153673,0.6876381304898673,0.4873752761799243,1.0,0.4624994363675012,0.7130571342624759,0.797264933040459,0.6758900562344194,0.568495842002538,0.5001227107679252,0.6196822918378978,0.5511510656513413,0.556807999840366,0.4278462046854635,0.6866525382786985,0.6380612085176123,0.5287272211951585,0.6340352646914448,0.5741768877329717,0.480882539555854,0.7444466130863399
COG,0.4509263213631686,0.4640528306895118,0.4866432066869038,0.49731421235479073,0.585821849731285,0.49292108421293157,0.4021192581952165,0.4624994363675012,1.0,0.4904114901081968,0.4787758546279059,0.4911770579027717,0.41545190443369423,0.32904522004527476,0.44329313186875474,0.39359172807044357,0.6947787051406625,0.218542965305701,0.535918527727498,0.5631168148537239,0.6850730789794064,0.39002570806697734,0.4858135401832072,0.31059069368074166,0.4949179705894558
PXD,0.6991997072979687,0.6995681614395993,0.6384021973265175,0.7442412936605276,0.8487070609211869,0.7691976697173486,0.47105346388995817,0.7130571342624759,0.49041149010819673,1.0,0.7251542902713446,0.7479546594987093,0.6487283492794261,0.40889649272882805,0.7495362115699755,0.4955682438908758,0.5392751502159193,0.4198919370187627,0.6900867091678937,0.6991636348645224,0.5674352032394243,0.6144243354942439,0.6635524132457976,0.5372467679706604,0.6967029795830029
CVX,0.7478709198671251,0.6467868781286951,0.6623289537507389,0.8179493967849543,0.7240759814769436,0.724160298682063,0.4696559587227765,0.797264933040459,0.4787758546279059,0.7251542902713445,1.0,0.7189605972572032,0.6182977654386992,0.5012886240999834,0.6949938515787328,0.5354041500074221,0.6005948090447777,0.4971029233589991,0.6571259251624871,0.7097616576841281,0.48406949105595737,0.6604016539222759,0.611839109113511,0.4910111831202317,0.7932217277291265
MRO,0.6658627662035957,0.6554210782960473,0.5820522780079679,0.723032456837201,0.7268509840374445,0.6987781067979527,0.47414955907834805,0.6758900562344194,0.4911770579027717,0.7479546594987093,0.7189605972572032,1.0,0.5542536539489703,0.5323135134509498,0.7032827868035529,0.5621608947516387,0.5562514533658367,0.4148755464837977,0.6060923841976771,0.718811979405353,0.4968185361014667,0.6090422054185958,0.6546094480206919,0.45700511907478353,0.7282449268278169
WMB,0.5372464219022766,0.5118604305119937,0.5832091732258553,0.619741553731019,0.6779663637225862,0.6030544431408034,0.3773464826111322,0.568495842002538,0.41545190443369423,0.6487283492794261,0.6182977654386992,0.5542536539489703,1.0,0.47580601005787254,0.5461202462461623,0.5312906016435971,0.4957347540729087,0.48574393514246267,0.5318900047023054,0.5217790677976465,0.4469856933968037,0.49256295448890075,0.49518722571254986,0.6019070759436945,0.5728950272187198
MPC,0.496995681614396,0.4203932925886609,0.49653446978676036,0.4851175446009874,0.45502798190194493,0.3902866992878325,0.591358971832043,0.5001227107679252,0.32904522004527476,0.40889649272882805,0.5012886240999834,0.5323135134509498,0.47580601005787254,1.0,0.3990152225669144,0.6927942737588507,0.44928215857441745,0.3087035276364448,0.3963486944026032,0.3789744091850722,0.2777501866428134,0.4196538077030106,0.31372968349016256,0.3250542697580044,0.4894668494336629
CXO,0.6635240706195183,0.6172019128696137,0.6234913993012255,0.6580616735547837,0.7125490842755111,0.7093146992991979,0.36125148235259175,0.6196822918378978,0.44329313186875474,0.7495362115699755,0.694993851578733,0.7032827868035529,0.5461202462461622,0.3990152225669144,1.0,0.4916492316571676,0.4957743720819978,0.373023418800693,0.6624590722552006,0.6624109783874591,0.502500916304919,0.5775119296690613,0.6185932781596876,0.38788222335338773,0.7218248528760036
VLO,0.5481360858317789,0.5265853834499676,0.5511429808197719,0.5228390035763241,0.5483679800467911,0.4552687789722589,0.5443630022849165,0.5511510656513413,0.39359172807044357,0.4955682438908758,0.5354041500074221,0.5621608947516387,0.5312906016435971,0.6927942737588507,0.4916492316571676,1.0,0.4712013150978594,0.38222448963943556,0.4703397445684551,0.5092319663598792,0.3750453321275604,0.5153591268409824,0.4268270687540582,0.3909548256607407,0.5375617096272173
EQT,0.5595813536438312,0.5499319776969298,0.5573087903367104,0.5692616488194008,0.5810083791109693,0.5995125055739071,0.4171689434185058,0.556807999840366,0.6947787051406625,0.5392751502159193,0.6005948090447778,0.5562514533658367,0.4957347540729087,0.44928215857441745,0.4957743720819978,0.4712013150978594,1.0,0.32195245125806743,0.5421226450645307,0.6498474651385697,0.6688542035041913,0.5483705566491801,0.596913745658425,0.39302770495320655,0.5604445154441547
KMI,0.5143401175466112,0.3852571584653106,0.44203531500480403,0.5032375092452553,0.43927319012686167,0.5015536992471128,0.27853032703039005,0.4278462046854635,0.218542965305701,0.4198919370187627,0.4971029233589991,0.4148755464837977,0.4857439351424626,0.3087035276364449,0.373023418800693,0.38222448963943556,0.32195245125806743,0.9999999999999999,0.3499127495212427,0.466175564987492,0.21498595425139033,0.4391598193296328,0.4150659483094475,0.4398766833334192,0.5044330558342155
FTI,0.6846294617926468,0.61881397627347,0.6981063892696197,0.6679188962344962,0.7331984481115336,0.70061780682894,0.4341103946715794,0.6866525382786985,0.535918527727498,0.6900867091678937,0.6571259251624871,0.6060923841976771,0.5318900047023054,0.3963486944026032,0.6624590722552006,0.4703397445684552,0.5421226450645308,0.34991274952124274,1.0,0.6542500117558917,0.5776260443305011,0.5982037204875403,0.6282379055817633,0.3877806972171513,0.6491908497061765
DVN,0.7121780535314913,0.6988518659754501,0.6590923145103941,0.6845749121378585,0.6917146773578489,0.7738845215391554,0.3939666239595363,0.6380612085176123,0.5631168148537238,0.6991636348645224,0.7097616576841281,0.718811979405353,0.5217790677976464,0.3789744091850722,0.6624109783874591,0.5092319663598792,0.6498474651385697,0.466175564987492,0.6542500117558917,1.0,0.6092225677020081,0.6662372329351625,0.7391602337493688,0.3943546568930696,0.7218763849237843
RRC,0.5353667892487154,0.5083330595692586,0.4984672426666051,0.5224038942794678,0.5888854319452457,0.6033559065912593,0.36075185354573147,0.5287272211951585,0.6850730789794064,0.5674352032394243,0.48406949105595737,0.4968185361014667,0.4469856933968037,0.2777501866428134,0.5025009163049191,0.37504533212756047,0.6688542035041913,0.21498595425139033,0.5776260443305011,0.6092225677020082,1.0,0.44182575586299316,0.5719043229619766,0.35008106650939447,0.48747673809667347
HAL,0.6396518494851949,0.7176636400177272,0.6628850732270399,0.6179826233934885,0.6428957918929783,0.6365383773052794,0.40339957138200017,0.6340352646914448,0.3900257080669773,0.6144243354942439,0.6604016539222759,0.6090422054185958,0.49256295448890075,0.4196538077030106,0.5775119296690613,0.5153591268409824,0.5483705566491801,0.4391598193296328,0.5982037204875403,0.6662372329351625,0.4418257558629931,1.0,0.6191163284446598,0.35907061832125287,0.6817406495099304
XEC,0.6494068661300464,0.6927607779277933,0.609415420449978,0.6413936327001762,0.6946185082502808,0.6954138935935088,0.37092018904551605,0.5741768877329717,0.4858135401832072,0.6635524132457976,0.611839109113511,0.654609448020692,0.49518722571254986,0.31372968349016256,0.6185932781596876,0.4268270687540582,0.596913745658425,0.4150659483094475,0.6282379055817633,0.7391602337493688,0.5719043229619766,0.6191163284446598,1.0,0.40957853172157693,0.6249368732414688
OKE,0.35516448406720924,0.40583214702145853,0.433501027421886,0.5141771287598556,0.5190005346461152,0.4560178713836198,0.3063070839311161,0.480882539555854,0.3105906936807416,0.5372467679706604,0.4910111831202317,0.45700511907478353,0.6019070759436945,0.3250542697580044,0.38788222335338773,0.3909548256607407,0.39302770495320655,0.4398766833334192,0.38778069721715125,0.3943546568930696,0.35008106650939447,0.35907061832125287,0.40957853172157693,1.0,0.436944660951259
OXY,0.7749363579209911,0.6927375885062921,0.695530625495996,0.7419713069557958,0.6925366135199482,0.763967153390648,0.4124589112173957,0.7444466130863399,0.49491797058945575,0.6967029795830029,0.7932217277291265,0.7282449268278169,0.5728950272187199,0.4894668494336629,0.7218248528760036,0.5375617096272173,0.5604445154441547,0.5044330558342155,0.6491908497061765,0.7218763849237843,0.4874767380966735,0.6817406495099304,0.6249368732414688,0.43694466095125895,1.0
