tickers,BEN,SCHW,NTRS,ADS,CINF,CBOE,AMG,FITB,PRU,AFL,COF,WFC,TRV,AJG,GS,JPM,V,PBCT,L,HIG,AMP,MTB,UNM,DFS,BAC,TROW,MS,MMC,CME,PNC,AIZ,WU,RF,C,LNC,CB,KEY,ZION,HBAN,MCO,AON,BLK,BK,PGR,AIG,MA,STT,MET,PFG,ICE,NDAQ,CMA,AXP,USB,RJF,ALL
BEN,1.0,0.4390269698572184,0.4420941300898995,0.3337916446324696,0.5942358540454785,0.1670015864621893,0.7561078794288735,0.42527763088313053,0.4993654151242728,0.5375991538868323,0.34886303543098884,0.39095716552088833,0.44389798917138407,0.5731887890005288,0.5211528291909042,0.5084082496033844,0.15695399259650977,0.14979045202858532,0.5454785827604441,0.5785827604442093,0.6362771020624007,0.41179270227392906,0.44378635642517184,0.41306187202538336,0.47847699629825485,0.6364886303543098,0.580539397144368,0.6271585404551483,0.421099947117927,0.4654151242728714,0.34881015335801163,0.3198878885510724,0.45376062617167745,0.4459016393442622,0.6034373347435218,0.36150185087255415,0.4253338659420056,0.389053410893707,0.37065534978582687,0.5244592529413497,0.3987361017813004,0.4683765203595981,0.38894764674775245,0.42802749867794815,0.3391327340031729,0.3537281861448968,0.4170809095716551,0.5143310417768375,0.554574299312533,0.38741406663141187,0.5704918032786885,0.38281332628239023,0.3944473823373876,0.3959280803807509,0.6272871496562664,0.40280274986779474
SCHW,0.4390269698572184,1.0,0.7279217345319935,0.2907985193019566,0.34791115811739814,0.12950819672131145,0.5268640930724484,0.4394500264410364,0.5883130618720254,0.5528820729772607,0.4441565309360126,0.5267583289264939,0.44056637452785324,0.35383395029085135,0.5661554732945531,0.5752511898466419,0.030777366472765723,0.44596041728404595,0.5763617133791643,0.7212057112638814,0.4795875198307773,0.5017979904812268,0.4563722897937599,0.2928609201480698,0.49011105235325214,0.4233738762559492,0.5607615018508724,0.3232315247083521,0.35367530407191955,0.589476467477525,0.0771020624008461,0.2693319584047961,0.3393751900771214,0.52760444209413,0.6177154944473823,0.19629825489159172,0.545630045758605,0.5529349550502378,0.4756540938291653,0.27161669084468804,0.14103835324280214,0.45029085140137487,0.6732945531464832,0.42527763088313053,0.4038075092543627,0.11015335801163405,0.7516657852987837,0.660074034902168,0.5224748810153357,0.2722369116869381,0.3830777366472765,0.5811739820200951,0.2639344262295082,0.4232152300370174,0.6038075092543628,0.5049709148598625
NTRS,0.4420941300898995,0.7279217345319935,1.0,0.1512427287149656,0.29476467477525115,0.36398730830248543,0.5751983077736647,0.551136964569011,0.5766261237440506,0.5158117398202009,0.4366472765732416,0.6812797461660496,0.4720051825529173,0.44812268640930714,0.6070333157059756,0.6241671073506081,-0.06499206768905341,0.5988445114816241,0.6183500793231094,0.6753040719196192,0.5411422527763088,0.5915917503966155,0.40872554204124795,0.3180327868852459,0.5885245901639343,0.41406663141195127,0.668164992067689,0.45804575304535433,0.32543627710206235,0.7369116869381279,0.07287149656266524,0.30190774603043025,0.3966736736686385,0.5974087784241142,0.6228450555261765,0.30608143839238494,0.5565780823477612,0.5645161290322579,0.5349885641472846,0.5080120584606841,0.32581075902846046,0.48439978847170806,0.8443151771549444,0.4383923849814912,0.29846641988365935,0.015441565309360122,0.8218402961396085,0.6628767847699629,0.5574828133262824,0.2583818085668958,0.44204124801692224,0.697197250132205,0.398995240613432,0.6070861977789529,0.5782654680063458,0.5159703860391327
ADS,0.3337916446324696,0.2907985193019566,0.1512427287149656,1.0,0.41459545214172383,0.02554204124801692,0.25928080380750923,0.26002115282919086,0.24986779481755683,0.35705975674246426,0.27942887361184554,0.2209413008989952,0.22387921576805508,0.3397673188789,0.3539397144368059,0.26790058170280273,0.4209413008989952,0.04037599651326563,0.3088841882601797,0.4226864093072448,0.26541512427287145,0.23823373876255943,0.37281861448968795,0.09153886832363828,0.31681649920676885,0.2175568482284505,0.3767318878900052,0.2000528908139314,0.1560549973558963,0.1328397673188789,0.07287149656266524,0.3417549148225005,0.3791165933249526,0.3128503437334743,0.37012162876784765,0.281755684822845,0.24408303796597314,0.2562136435748281,0.17824138342889562,0.2636839603877754,0.2843771070728041,0.3415653093601268,0.2337916446324696,0.25557905869910097,0.14108937070333158,0.4170809095716551,0.2048122686409307,0.3408249603384453,0.31951348492860915,0.28466419883659433,0.3224748810153358,0.22665256478053938,0.33178212585933364,0.2050237969328397,0.26583818085668953,0.21152829190904282
CINF,0.5942358540454785,0.34791115811739814,0.29476467477525115,0.41459545214172383,1.0,0.150713907985193,0.5095187731359069,0.2899524061343204,0.39222633527234263,0.4127445795875198,0.273241671073506,0.4244315177154943,0.514311400248546,0.5903225806451612,0.49386567953463767,0.4357482813326282,0.16287678476996295,0.06086807070958578,0.5175039661554732,0.4527234267583289,0.6096774193548387,0.3835007932310946,0.4680063458487572,0.2512427287149656,0.41364357482813324,0.509941829719725,0.4735589635113696,0.6364670160092136,0.1565309360126917,0.3594923320994183,0.45182443151771545,0.3570115945789866,0.4022528061272495,0.44362771020624,0.40010576414595445,0.597197250132205,0.2975538833362004,0.37043892120571126,0.33535609939603667,0.4212808721317728,0.3268419730847914,0.2934426229508197,0.28667371760973026,0.5332099418297197,0.3600211528291909,0.23035430988894762,0.23595980962453722,0.4469592808038075,0.5090957165520887,0.24130089899524057,0.4830777366472765,0.3756213643574827,0.39999999999999997,0.3126388154415653,0.5415653093601269,0.5649920676890533
CBOE,0.1670015864621893,0.12950819672131145,0.36398730830248543,0.02554204124801692,0.150713907985193,1.0,0.2066631411951348,0.2748810153358011,0.15346377578001055,0.11972501322051823,0.2383923849814912,0.20983606557377044,0.09767448010478273,0.3414066631411951,0.3303014278159703,0.24722369116869378,0.18646218931782124,0.24339295868016378,0.2993125330512955,0.25002644103648863,0.21686938127974612,0.20930724484399787,0.02728714965626652,0.2317292437863564,0.3447911158117398,0.12263352723426757,0.3420941300898995,0.3634801036665548,0.44093072448439974,0.20052882072977257,0.09529349550502378,0.19545472575380457,0.3039437327570324,0.30322580645161284,0.22263352723426758,0.15304071919619247,0.212217375912994,0.16462189317821257,0.1149407052018112,0.2397799992776121,0.11145044224192183,0.16610259122157586,0.37334743521946057,0.18630354309888944,0.025965097831835003,0.13484928609201477,0.38191433104177674,0.1879957694341618,0.17477525118984663,0.4148598625066102,0.18239026969857217,0.18535166578529877,0.3572712850343733,0.2604970914859862,0.19947117927022737,0.20713907985193017
AMG,0.7561078794288735,0.5268640930724484,0.5751983077736647,0.25928080380750923,0.5095187731359069,0.2066631411951348,1.0,0.5409307244843997,0.4780010576414595,0.5361713379164462,0.44992067689053405,0.5285563194077207,0.48638929656943114,0.45912215758857733,0.643204653622422,0.6685880486515071,0.07800105764145952,0.40378640651871606,0.628397673188789,0.5934426229508195,0.6999471179270226,0.5313061872025383,0.4156530936012691,0.34045478582760436,0.501639344262295,0.694341618191433,0.6626652564780539,0.6079333650920646,0.33347435219460597,0.5766261237440506,0.3709677419354838,0.37676330996563323,0.4629093457483571,0.5810153358011634,0.5734531993654151,0.39730301427815967,0.5263255367970491,0.5492860920148069,0.46449582891194313,0.5403775987248877,0.41719218925101836,0.5265468006345847,0.4928609201480698,0.5271813855103119,0.38498149127445785,0.30549973558963506,0.5294553146483342,0.5817028027498677,0.5448968799576942,0.4120042305658381,0.6547329455314647,0.4972501322051823,0.5149656266525647,0.5302485457429931,0.7008989952406134,0.4423056583818085
FITB,0.42527763088313053,0.4394500264410364,0.551136964569011,0.26002115282919086,0.2899524061343204,0.2748810153358011,0.5409307244843997,1.0,0.6336329984135377,0.465520888418826,0.6097831835007932,0.6462189317821257,0.296460820502118,0.4325753569539926,0.47620306716023264,0.6001057641459544,0.12559492332099417,0.7033673105758866,0.5788471708090956,0.561290322580645,0.37900581702802744,0.7518244315177154,0.5545214172395556,0.2917503966155473,0.4830777366472765,0.5665785298783712,0.5317821258593336,0.45873331089877967,0.32321523003701735,0.6837652035959808,0.17890005288207295,0.3243036000230537,0.5448776425336377,0.5277630883130618,0.5762559492332099,0.20386039132734002,0.7686367910638109,0.6352723426758329,0.6603207340705846,0.38468454229054927,0.274250056211913,0.545055526176626,0.5437863564251718,0.3566367001586462,0.09175039661554732,0.14875727128503435,0.5775780010576413,0.5661025912215758,0.4934955050237969,0.43685880486515066,0.43802221047065043,0.677683765203596,0.4670015864621893,0.6467477525118984,0.46155473294553145,0.39793759915388677
PRU,0.4993654151242728,0.5883130618720254,0.5766261237440506,0.24986779481755683,0.39222633527234263,0.15346377578001055,0.4780010576414595,0.6336329984135377,1.0,0.5816499206768905,0.39740877842411415,0.6672131147540983,0.34889408905863784,0.47334743521946054,0.6951877313590692,0.6562665256478054,0.01835007932310946,0.41219476728572224,0.5911158117398202,0.6855631940772078,0.5475409836065573,0.6546800634584875,0.6341089370703331,0.34309888947646744,0.5392913802221047,0.5240613432046535,0.6594923320994182,0.435779456407505,0.35991538868323636,0.608143839238498,0.2120571126388154,0.3502954825198055,0.410053015014881,0.6427287149656266,0.6427815970386038,0.21681649920676888,0.5947904322785122,0.5547329455314648,0.5143642830206655,0.3850018515088257,0.21060563996605158,0.47747223691168683,0.5976203067160232,0.2775780010576414,0.342411422527763,0.08736118455843467,0.5425700687466948,0.8298783712321522,0.4647276573241671,0.3341089370703331,0.5218931782125859,0.5428873611845584,0.27535695399259646,0.46229508196721303,0.5706504494976202,0.5065573770491804
AFL,0.5375991538868323,0.5528820729772607,0.5158117398202009,0.35705975674246426,0.4127445795875198,0.11972501322051823,0.5361713379164462,0.465520888418826,0.5816499206768905,1.0,0.3015335801163405,0.5614489687995768,0.40873094571189267,0.39920676890534107,0.5912215758857746,0.69169751454257,0.06895822316234795,0.31473181826941765,0.5787942887361184,0.5389212057112638,0.5102591221575885,0.4384452670544685,0.5902168164992067,0.2688524590163934,0.5362242199894235,0.49476467477525116,0.6274986779481755,0.4316276647541292,0.3451612903225806,0.41544156530936005,0.3859333685880486,0.26473115723039653,0.49395153298252475,0.4924907456372289,0.6836594394500264,0.36203067160232677,0.5329102254702374,0.4444738233738762,0.43810732562429483,0.2979004710919252,0.36457383099208024,0.5415124272871495,0.47112638815441554,0.5704918032786885,0.3364886303543098,0.20772078265468003,0.531253305129561,0.6517715494447381,0.6316234796404018,0.32485457429931247,0.4936541512427287,0.43326282390269694,0.36070861977789526,0.37477525118984656,0.5575356953992596,0.4739291380222104
