tickers,EFX,UAL,AYI,CAT,AME,FLS,FAST,URI,NOC,ITW,WM,TDG,PCAR,HII,PWR,FDX,PAYX,ROK,HON,XYL,CMI,GPN,UNP,CHRW,KSU,JBHT,NSC,LUV,MMM,JCI,AOS,RSG,CSX,DAL,DOV,ETN,BA,PH,ALK,SRCL,UPS,MAS,SNA,VRSK,RHI,LMT,TXT,ADP,GWW,PNR,AVY,EXPD,ROP,DE,EMR,FLR,CTAS,GE,SWK
EFX,0.9999999999999999,0.17222323919529117,0.46745862104882213,0.4193018120625068,0.47754271172122287,0.45907937482312944,0.36694528669697585,0.36641493142776316,0.44769050008010514,0.46355803238200005,0.44165539572530416,0.43343789039726616,0.44348803099187983,0.24511038592524112,0.5010737878772465,0.4870661673253035,0.5323393515953168,0.37002757298123107,0.49927167907455505,0.42108071405304465,0.39477976263394365,0.42065121844261877,0.47187855414881796,0.36703537691485405,0.3796380279409539,0.33616082427122124,0.4087710524987727,0.18524547293856408,0.5220811049751681,0.4500662944390665,0.4613707579587735,0.4291043423761645,0.4690314938168148,0.14663320594401905,0.4797237748266184,0.45218200361435446,0.48595223774602286,0.47567908308974816,0.3004627762630548,0.4186815349656421,0.4725923730555978,0.4502064761150207,0.5238875609610629,0.3810786123227255,0.5804960115472677,0.43801748061982765,0.4950134653410837,0.6215435660590737,0.39097807142137175,0.40787183380970515,0.4091791834639694,0.4274608415674192,0.4898656723882239,0.3995797528983745,0.41762743901599775,0.45400429697881206,0.47335238820555403,0.4247302676920365,0.42171043244604195
UAL,0.17222323919529117,1.0,0.21532414051288454,0.1767440238714816,0.2097489897562569,0.19175912706131934,0.039844527066457705,0.18877886214072578,0.049392752671044086,0.17875717080368056,0.009412576499043203,0.1204144476783663,0.1470019342359768,0.1672416767293428,0.2140748040530878,0.3753959311309225,0.17768341001972052,0.12295158306002521,0.15409474453036973,0.07341383172048296,0.11308857479473976,0.17140584189634017,0.19673785780612862,0.20740102520061401,0.1399348158805545,0.27707655096730155,0.19814274723113967,0.564343884925812,0.1957277936569204,0.24573341573111554,0.20515848492733402,0.12516252520017834,0.1939287056238922,0.7664569561186876,0.12354335881728996,0.1025640555092693,0.11699191437977824,0.06368492816347891,0.5327608924645544,0.17521902377972468,0.2586155322741579,0.25069827019845187,0.23013931919085623,0.1316528358395208,0.190805205196709,0.15320103208189126,0.20377846014377707,0.13864863823321208,0.08507350660757154,0.1557822258496974,0.1959524185290264,0.26459210376607123,0.09916904928814978,0.19017181950856055,0.05105908185226656,0.1476093650787825,0.1554509831988569,0.19410899488290054,0.12291941172800311
AYI,0.46745862104882213,0.21532414051288454,1.0,0.5845246440748884,0.6219706451245876,0.649330724989815,0.44550005688929345,0.5515545458215732,0.4744181693392401,0.6473340943040973,0.4415671050381714,0.47709380126918177,0.584363151887073,0.3010856679353591,0.4864410543265238,0.48677782712261297,0.5410771995023278,0.6295427153915175,0.6031623106595856,0.5315728841646845,0.577516250151399,0.5423254631786385,0.509953791212623,0.46738521547522877,0.573904697587527,0.46277054529305334,0.5263665938575688,0.20893887196739686,0.6113751164169627,0.5210382667843539,0.688475462581352,0.3188219090883419,0.5014022784227478,0.20195157893097004,0.5886738922186457,0.5424302372100023,0.5066175094234362,0.6628110336080691,0.3745682836683685,0.43175670467850213,0.4962388767472025,0.6110093628766163,0.5946952544673653,0.31917646324768134,0.6484620593605906,0.43796497821690605,0.6106233463674747,0.5149408074999908,0.5117935392004096,0.5593614816181564,0.5253285815480495,0.541439262421135,0.5525418503334447,0.4753506377797883,0.532262896556463,0.5857486814529893,0.47411100115572885,0.47111616388724814,0.599787490961943
CAT,0.4193018120625068,0.1767440238714816,0.5845246440748884,1.0,0.6247637259183951,0.6594808760217135,0.46768688132893393,0.5901144759394992,0.5254221736114425,0.6604388183176184,0.48090760073128686,0.4474563145280575,0.6890339463919343,0.27476611159844233,0.4720333555393448,0.5447168197783887,0.4413016389958089,0.6033204093645961,0.6807152635809425,0.572730471708864,0.7804256787259735,0.4349036482148886,0.5413897136816916,0.5112395402792977,0.5574655269233169,0.3828080555239504,0.5431324268663136,0.2247201527203195,0.689300673955522,0.6085615673191687,0.5498389435837455,0.38302911185715327,0.5832441377528516,0.17296280034924522,0.7010816306306636,0.6945063293926792,0.598433158750491,0.7250498699814197,0.2987825691204915,0.3449821808051854,0.5157941484675157,0.4931842956187904,0.63478387334609,0.24688301726131273,0.6080687517558784,0.4895690727779226,0.7009938655880456,0.48868910311193886,0.427661460369914,0.5496187268629651,0.6067022928220392,0.5722145350309588,0.5602347509166518,0.7014856829311218,0.6032736133114303,0.6857398727881995,0.5271621267613877,0.6154376229039722,0.6361801225138461
AME,0.4775427117212229,0.2097489897562569,0.6219706451245876,0.6247637259183951,1.0,0.6193023537486375,0.5552266579558759,0.5073332134376182,0.4959571898891209,0.700773327363016,0.4333620690609396,0.5749910995782852,0.6151751272668549,0.3531320308743701,0.483369026843434,0.5476530413750326,0.5906484154599893,0.614231230309593,0.6311371619216103,0.5428378870022699,0.5874516899790427,0.48453778991259705,0.4789417857365696,0.5190599865760103,0.5964713956962333,0.46086567153223057,0.49347080362133233,0.21107130388028672,0.6043217551283242,0.6323238690610395,0.62940232723202,0.39710927658008877,0.5374096134882447,0.2562588574147469,0.6925133689839573,0.5603650457500028,0.5492532821452035,0.6432263996179055,0.3997353730286025,0.4260604347810129,0.48480961320796534,0.6023364983355294,0.6332946577718129,0.32257881002279243,0.6545804223406512,0.48900752039756445,0.6641708771645595,0.5915176072696259,0.5239990677488147,0.5819236022317742,0.47348408384380775,0.5527694075071846,0.6128665230364936,0.5632675757029979,0.5907249305056292,0.5979211551095761,0.4559238527282808,0.5389028207182408,0.6158284365721082
FLS,0.4590793748231294,0.19175912706131934,0.649330724989815,0.6594808760217135,0.6193023537486375,1.0,0.46385144186831784,0.563070039895911,0.47950884353242146,0.6404963682609127,0.4442987525559772,0.5244513853460521,0.6507364410792082,0.36629364418132637,0.4996540757591679,0.5718328262233952,0.5070313976940006,0.5760438157869385,0.6343174569384752,0.613009027509262,0.7084754036387128,0.515269061495605,0.5097959693018033,0.5149786366842143,0.5243376067591822,0.47548254966802356,0.5123553049979184,0.2736211107089386,0.6610459381468784,0.6319504182053828,0.6375310769378252,0.3942473649625693,0.5804712371216929,0.19727380875372716,0.6807849988438628,0.6248389665968092,0.5388186846461303,0.6960784853484819,0.3428479147321249,0.39185712345710727,0.5173154810741355,0.619819862805046,0.6313182127028092,0.3258930701500043,0.6417656266928521,0.4913087840739341,0.6889828786088167,0.5997078454159996,0.5071212680104774,0.5486029772383657,0.5412410674633615,0.5182889902700957,0.5583463934023102,0.6001098330895523,0.5595037049169936,0.7032287426732097,0.5285788543317415,0.5474068915329795,0.6381473909835975
FAST,0.3669452866969759,0.039844527066457705,0.44550005688929345,0.46768688132893393,0.5552266579558759,0.46385144186831784,1.0,0.4546023438388896,0.34974436520724217,0.5445222950976111,0.4373902627469212,0.5215463611038725,0.48809545656410686,0.2478409595572178,0.3745377736432221,0.47264726068876417,0.44672268786071817,0.45178194323827026,0.4285286960606917,0.3892954487168427,0.4735795110456986,0.3642709053534055,0.4529488840522794,0.3671829372414847,0.45321314399597745,0.34338744545050814,0.40371689121894655,0.009158262875453268,0.44846696977084216,0.4526765736664404,0.44962381937462265,0.33649529147533835,0.3687223782358106,0.02757296858104105,0.5046630869231701,0.4041965947170033,0.4340763197398508,0.5047355835851389,0.17226445079810174,0.3956888926407276,0.4511421005408419,0.49119133521006836,0.4671136148529329,0.31830660759967555,0.4696623522489314,0.35449370363981375,0.5547378480514386,0.5170090123825728,0.6427621087258973,0.4806899756890422,0.30980991635438726,0.43848248727331457,0.4656829100892245,0.39250510742221645,0.41266686577932843,0.4649121519201055,0.36720128863488305,0.3924351573817419,0.4879981942237181
URI,0.3664149314277632,0.18877886214072578,0.5515545458215732,0.5901144759394992,0.5073332134376182,0.563070039895911,0.4546023438388896,1.0,0.3788716834459496,0.5464913987058604,0.437560015783802,0.39985098675397035,0.5095830932360466,0.2593032346151164,0.3958272544265699,0.4682025552468445,0.419520180303321,0.44776665836270835,0.5063697657262194,0.4818782284115862,0.5896061425755802,0.4086207584733479,0.4529984327917228,0.4395654206529797,0.5146223835512866,0.40167144414388956,0.42245274630900576,0.1333944434733639,0.5134896566913667,0.4894169808196339,0.559264219233145,0.31168410515352835,0.4260815987040422,0.21720800983269944,0.550600273802664,0.5020333334556759,0.4252291170414632,0.558943839154427,0.2616779038314022,0.29636385658025616,0.44674510063075645,0.4941642595766702,0.5282301778571726,0.27520470969944105,0.4805263920935499,0.35883197104885506,0.5551746112143197,0.4470185367687376,0.45071451248614663,0.4951582142443119,0.40834767799925864,0.4573477110317516,0.4815458472650932,0.5068260301669913,0.4763150035028723,0.5509654663637465,0.45772412442066024,0.42313533016114724,0.4904554446724095
NOC,0.4476905000801051,0.049392752671044086,0.4744181693392401,0.5254221736114425,0.4959571898891209,0.47950884353242146,0.34974436520724217,0.3788716834459496,1.0,0.5537236795260938,0.4475194723367963,0.42234427932276053,0.4747448239918667,0.2600996847232061,0.39930851854569854,0.4610143177505607,0.49167848814632575,0.533619064528602,0.630126000609266,0.4631689828419547,0.43559948469310983,0.3595775321852733,0.491987785318158,0.4025194627997034,0.4478435287511149,0.4082650967668531,0.5043596028942513,0.26046774949066154,0.6148618827623283,0.3696888200100312,0.5256903450108391,0.334074732691428,0.4349921341207142,0.10852830541858148,0.48155318781908474,0.5632076752832538,0.6167496760980551,0.5221914530111543,0.2364062115767877,0.3426588954668409,0.533571167720019,0.4089184060721062,0.48877101177201154,0.2996817869844637,0.6361170600303967,0.6844516055626718,0.5556673461270657,0.5641483014853962,0.42013003815330685,0.4968401194492719,0.5430468437452974,0.42958023041998983,0.551013179964692,0.4782207957072924,0.5641897332212656,0.5080782796677665,0.532083052901159,0.5624202284633588,0.47900418044549825
ITW,0.463558032382,0.17875717080368056,0.6473340943040973,0.6604388183176184,0.700773327363016,0.6404963682609127,0.5445222950976111,0.5464913987058604,0.5537236795260938,1.0,0.4804745010912451,0.5518316517347565,0.6608572298951403,0.30490642628799197,0.5435726908877843,0.5626534634568872,0.5179946156760483,0.6492071509875339,0.715201186233525,0.5820071010717367,0.6599268146767037,0.5119217642683623,0.5665402867954445,0.4082350042736237,0.545878462447561,0.46970920395362237,0.506123171799834,0.2176548662619496,0.695344708144186,0.5685353431779981,0.6426557035443182,0.4342829301102475,0.5354515162192531,0.18969835355888273,0.6818310277876672,0.7171831358112598,0.6458127644893361,0.751894325192075,0.307820626222661,0.4584726509309658,0.5669120251350576,0.5622093599403948,0.719906811624399,0.28673672002025996,0.683247173423892,0.49618107678586504,0.6965932014511179,0.5689710543083113,0.5780806985293732,0.6019486427080684,0.5316084254878716,0.5422026800362624,0.6568144197842612,0.5361689906413046,0.6768177399250416,0.6200767821947523,0.5187893035233845,0.6105497090897606,0.6321960368348999
