tickers,PEG,PCG,AEP,NEE,D,CMS,NRG,XEL,PPL,AEE,WEC,DUK,LNT,ETR,EIX,ES,AWK,CNP,SRE,AES,EXC,PNW,NI,ED,DTE,SO,FE
PEG,1.0,0.5891836272676968,0.5609784251179097,0.5135874624029485,0.5959832055771783,0.5409888660990371,0.33617548438264333,0.6041778042295658,0.5818876235876751,0.5755560707403947,0.5720682949591969,0.5959767776647967,0.5104257878464591,0.5627580283310354,0.4754373060994335,0.14648947290070424,0.3776968169698088,0.4857484317877475,0.49554769917010105,0.3860696386381564,0.6221325642172842,0.5432782221485414,0.46463745889567604,0.5728550349758541,0.5396972591255729,0.5332419742426494,0.5820121900863321
PCG,0.5891836272676968,1.0,0.5184189083976074,0.5334136287239954,0.6051264292900288,0.5789926156237855,0.3212077753752186,0.6172745989232605,0.480403142031037,0.5999469877306536,0.6236066302711217,0.5362985535516525,0.5309499912070046,0.5139860085503304,0.5505503303536727,0.19469319344171074,0.39953719205172045,0.5001192196331548,0.582264735534366,0.4277318168997026,0.4498036233764797,0.5477056295690296,0.4694252045346613,0.6049489331321611,0.5936968396762856,0.5498333754048637,0.4771011991870633
AEP,0.5609784251179099,0.5184189083976074,1.0,0.5660576744457042,0.5642212923942851,0.6336733327660533,0.4072437917061146,0.6449919480317684,0.556200030044215,0.6261909569197319,0.6042028641083597,0.6506590044851772,0.5463720835513501,0.6720900491640969,0.6026087502338393,0.16284053155285158,0.4162901906898847,0.5016263262415627,0.4855315357511364,0.5486187561340657,0.47841650006464254,0.6567221549272991,0.4217392385817897,0.581684718598119,0.6248284340064468,0.5465051609147378,0.5617803725977224
NEE,0.5135874624029485,0.5334136287239954,0.5660576744457041,1.0,0.6378521717264561,0.6384719468464845,0.31277602808759636,0.6255383642201366,0.4522064517621001,0.5754468004860218,0.5881495389554212,0.5756462600057373,0.5917371843031529,0.5681765581377017,0.5692076504484466,0.1282920498745576,0.362465210697381,0.49692924397757454,0.5283654570205493,0.485377624839294,0.4428596468965107,0.5828198565060818,0.4414977032596235,0.5321825877473405,0.6327413447648217,0.5540460761935779,0.5154838069036015
D,0.5959832055771783,0.6051264292900288,0.5642212923942851,0.6378521717264561,1.0,0.6317657659863637,0.3217647764117903,0.6344681692919031,0.5167384152751054,0.6269915314481324,0.6384894452554604,0.6136071215130197,0.6105051813120942,0.538973287791166,0.546537999715906,0.1705126834011067,0.42919382865932987,0.5608636205117247,0.547796101628641,0.4672004882149682,0.5007499060469093,0.5826309706141438,0.47519367522699213,0.6395604194872367,0.6385404243975309,0.6141195546519839,0.5815348614240289
CMS,0.540988866099037,0.5789926156237855,0.6336733327660533,0.6384719468464845,0.6317657659863637,1.0,0.35537729377699007,0.7666700221867195,0.6096850783327623,0.667803088165438,0.6894001490158762,0.6131615974056764,0.6604231057359372,0.6279992226972406,0.5834154683249125,0.12808291188969492,0.4673042777710565,0.6130379822002223,0.578961973542323,0.4964422272614549,0.4851753184419892,0.7040510380625985,0.5969537039269245,0.6796710764365366,0.7136659806969959,0.6327121322798667,0.5956537031758297
NRG,0.33617548438264333,0.32120777537521855,0.4072437917061146,0.3127760280875963,0.3217647764117903,0.35537729377699007,1.0,0.32564307460511477,0.3434385911464676,0.37496191192896,0.26342760001688426,0.27000915303290784,0.3338812686008239,0.3786163595350319,0.3825949914406591,0.18556779038961985,0.3207088888416877,0.36408013673304757,0.2715708903990313,0.35695210915044406,0.3908064739613851,0.34465089570758584,0.3498313342636988,0.26461138269301165,0.43837131119825584,0.1576859181007268,0.3137765789995298
XEL,0.6041778042295658,0.6172745989232605,0.6449919480317684,0.6255383642201366,0.6344681692919031,0.7666700221867195,0.32564307460511477,0.9999999999999998,0.6355496773451407,0.6980317504288484,0.7316053271796551,0.6591787390000535,0.7047427384450969,0.6213516200322277,0.654073503845971,0.11820857113336017,0.45486254770294116,0.6038466897788712,0.6300899161492639,0.4851147433942024,0.5140499423930946,0.7657921999707992,0.5726074015602886,0.7516828893528199,0.7589867592605616,0.6555104993924649,0.5875220370084111
PPL,0.5818876235876751,0.480403142031037,0.556200030044215,0.45220645176210006,0.5167384152751054,0.6096850783327623,0.3434385911464675,0.6355496773451407,0.9999999999999998,0.6511987276999648,0.5338965199080599,0.5594577231867015,0.537423340545139,0.582204199090509,0.4736199805017186,0.13987157810750062,0.34171758528103385,0.5033600255596041,0.4436205857266215,0.4416167531171347,0.5974472775423616,0.5901635521438328,0.45229611938743447,0.5933991919167642,0.561961131512645,0.5699028581014683,0.5069246446940775
AEE,0.5755560707403947,0.5999469877306537,0.6261909569197319,0.5754468004860217,0.6269915314481322,0.667803088165438,0.37496191192896,0.6980317504288484,0.6511987276999648,0.9999999999999998,0.6595862848419225,0.5924201562796394,0.6269026285247907,0.5984304635636107,0.6323796953717523,0.0953882215523427,0.4378940593557316,0.6586726669943325,0.5714789853228932,0.5154995420023304,0.5710933845735702,0.6660858855239823,0.6357295473259151,0.7103426055674584,0.6883186992242529,0.6417362533931842,0.611719311120582
