Company Name	Ticker	Primary Industry
3M Company	MMM	Industrial Conglomerates
A. O. Smith Corporation	AOS	Building Products
Abbott Laboratories	ABT	Health Care Equipment
AbbVie Inc.	ABBV	Biotechnology
Abiomed, Inc.	ABMD	Health Care Equipment
Accenture plc	ACN	IT Consulting and Other Services
Activision Blizzard, Inc.	ATVI	Interactive Home Entertainment
Adobe Inc.	ADBE	Application Software
Advance Auto Parts, Inc.	AAP	Automotive Retail
Advanced Micro Devices, Inc.	AMD	Semiconductors
Aflac Incorporated	AFL	Life and Health Insurance
Agilent Technologies, Inc.	A	Life Sciences Tools and Services
Air Products and Chemicals, Inc.	APD	Industrial Gases
Akamai Technologies, Inc.	AKAM	Internet Services and Infrastructure
Alaska Air Group, Inc.	ALK	Airlines
Albemarle Corporation	ALB	Specialty Chemicals
Alexandria Real Estate Equities, Inc.	ARE	Office REITs
Alexion Pharmaceuticals, Inc.	ALXN	Biotechnology
Align Technology, Inc.	ALGN	Health Care Supplies
Allegion plc	ALLE	Building Products
Alliant Energy Corporation	LNT	Electric Utilities
Alphabet Inc.	GOOG	Interactive Media and Services
Alphabet Inc.	GOOG.L	Interactive Media and Services
Altria Group, Inc.	MO	Tobacco
Amazon.com, Inc.	AMZN	Internet and Direct Marketing Retail
Amcor plc	AMCR	Paper Packaging
Ameren Corporation	AEE	Multi-Utilities
American Airlines Group Inc.	AAL	Airlines
American Electric Power Company, Inc.	AEP	Electric Utilities
American Express Company	AXP	Consumer Finance
American International Group, Inc.	AIG	Multi-line Insurance
American Tower Corporation (REIT)	AMT	Specialized REITs
American Water Works Company, Inc.	AWK	Water Utilities
Ameriprise Financial, Inc.	AMP	Asset Management and Custody Banks
AmerisourceBergen Corporation	ABC	Health Care Distributors
AMETEK, Inc.	AME	Electrical Components and Equipment
Amgen Inc.	AMGN	Biotechnology
Amphenol Corporation	APH	Electronic Components
Analog Devices, Inc.	ADI	Semiconductors
ANSYS, Inc.	ANSS	Application Software
Anthem, Inc.	ANTM	Managed Health Care
Aon Plc	AON	Insurance Brokers
Apache Corporation	APA	Oil and Gas Exploration and Production
Apartment Investment and Management Company	AIV	Residential REITs
Apple Inc.	AAPL	Technology Hardware, Storage and Peripherals
Applied Materials, Inc.	AMAT	Semiconductor Equipment
Aptiv PLC	APTV	Auto Parts and Equipment
Archer-Daniels-Midland Company	ADM	Agricultural Products
Arista Networks, Inc.	ANET	Communications Equipment
Arthur J. Gallagher & Co.	AJG	Insurance Brokers
Assurant, Inc.	AIZ	Multi-line Insurance
AT&T Inc.	T	Integrated Telecommunication Services
Atmos Energy Corporation	ATO	Gas Utilities
Autodesk, Inc.	ADSK	Application Software
Automatic Data Processing, Inc.	ADP	Data Processing and Outsourced Services
AutoZone, Inc.	AZO	Automotive Retail
AvalonBay Communities, Inc.	AVB	Residential REITs
Avery Dennison Corporation	AVY	Paper Packaging
Baker Hughes Company	BKR	Oil and Gas Equipment and Services
Ball Corporation	BLL	Metal and Glass Containers
Bank of America Corporation	BAC	Diversified Banks
Baxter International Inc.	BAX	Health Care Equipment
Becton, Dickinson and Company	BDX	Health Care Equipment
Berkshire Hathaway Inc.	BRK.B	Multi-Sector Holdings
Best Buy Co., Inc.	BBY	Computer and Electronics Retail
Biogen Inc.	BIIB	Biotechnology
Bio-Rad Laboratories, Inc.	BIO	Life Sciences Tools and Services
BlackRock, Inc.	BLK	Asset Management and Custody Banks
Booking Holdings Inc.	BKNG	Internet and Direct Marketing Retail
BorgWarner Inc.	BWA	Auto Parts and Equipment
Boston Properties, Inc.	BXP	Office REITs
Boston Scientific Corporation	BSX	Health Care Equipment
Bristol-Myers Squibb Company	BMY	Pharmaceuticals
Broadcom Inc.	AVGO	Semiconductors
Broadridge Financial Solutions, Inc.	BR	Data Processing and Outsourced Services
Brown-Forman Corporation	BF.B	Distillers and Vintners
C.H. Robinson Worldwide, Inc.	CHRW	Air Freight and Logistics
Cabot Oil & Gas Corporation	COG	Oil and Gas Exploration and Production
Cadence Design Systems, Inc.	CDNS	Application Software
Campbell Soup Company	CPB	Packaged Foods and Meats
Capital One Financial Corporation	COF	Consumer Finance
Cardinal Health, Inc.	CAH	Health Care Distributors
CarMax, Inc.	KMX	Automotive Retail
Carnival Corporation & Plc	CCL	Hotels, Resorts and Cruise Lines
Carrier Global Corporation	CARR	Building Products
Caterpillar Inc.	CAT	Construction Machinery and Heavy Trucks
Cboe Global Markets, Inc.	BATS:CBOE	Financial Exchanges and Data
CBRE Group, Inc.	CBRE	Real Estate Services
CDW Corporation	CDW	Technology Distributors
Celanese Corporation	CE	Specialty Chemicals
Centene Corporation	CNC	Managed Health Care
CenterPoint Energy, Inc.	CNP	Multi-Utilities
CenturyLink, Inc.	CTL	Alternative Carriers
Cerner Corporation	CERN	Health Care Technology
CF Industries Holdings, Inc.	CF	Fertilizers and Agricultural Chemicals
Charter Communications, Inc.	CHTR	Cable and Satellite
Chevron Corporation	CVX	Integrated Oil and Gas
Chipotle Mexican Grill, Inc.	CMG	Restaurants
Chubb Limited	CB	Property and Casualty Insurance
Church & Dwight Co., Inc.	CHD	Household Products
Cigna Corporation	CI	Health Care Services
Cincinnati Financial Corporation	CINF	Property and Casualty Insurance
Cintas Corporation	CTAS	Diversified Support Services
Cisco Systems, Inc.	CSCO	Communications Equipment
Citigroup Inc.	C	Diversified Banks
Citizens Financial Group, Inc.	CFG	Regional Banks
Citrix Systems, Inc.	CTXS	Application Software
CME Group Inc.	CME	Financial Exchanges and Data
CMS Energy Corporation	CMS	Multi-Utilities
Cognizant Technology Solutions Corporation	CTSH	IT Consulting and Other Services
Colgate-Palmolive Company	CL	Household Products
Comcast Corporation	CMCS.A	Cable and Satellite
Comerica Incorporated	CMA	Regional Banks
