TICKER,Industry
ORCL,Technology
MSFT,Technology
TROW,Financial Services
HON,Industrials
ADM,Consumer Defensive
FISV,Technology
CERN,Healthcare
KO,Consumer Defensive
CDNS,Technology
ED,Utilities
CELG,
XRAY,Healthcare
FAST,Industrials
DTE,Utilities
ETN,Industrials
XOM,Energy
MGM,Consumer Cyclical
WM,Industrials
GD,
GE,Industrials
LH,Healthcare
PBCT,Financial Services
CHTR,Communication Services
GM,Consumer Cyclical
IBM,Technology
KMI,Energy
HCA,Healthcare
HII,Industrials
KSU,Industrials
MPC,Energy
FBHS,Consumer Cyclical
XYL,Industrials
TRIP,Consumer Cyclical
PSX,Energy
FB,Communication Services
PCG,Utilities
PEP,Consumer Defensive
MO,Consumer Defensive
COP,Energy
PVH,Consumer Cyclical
AMGN,Healthcare
CVX,Energy
AAPL,Technology
AMAT,Technology
MRO,Energy
VMC,Basic Materials
FL,Consumer Cyclical
TXN,Technology
EIX,Utilities
HSY,Consumer Defensive
KR,Consumer Defensive
CVS,Healthcare
GIS,Consumer Defensive
KMB,Consumer Defensive
UTX,
PG,Consumer Defensive
SO,Utilities
CAT,Industrials
CL,Consumer Defensive
FMC,Basic Materials
DE,Industrials
BMY,Healthcare
BA,Industrials
LUK,
ABT,Healthcare
LMT,Industrials
NEM,Basic Materials
CAH,Healthcare
IP,Consumer Cyclical
EXC,Utilities
CNP,Utilities
PFE,Healthcare
EMR,Industrials
JNJ,Healthcare
GLW,Technology
PPG,Basic Materials
PPL,Utilities
MMM,Industrials
MRK,Healthcare
MSI,Technology
FE,Utilities
SCG,
CMS,Utilities
CHD,Consumer Defensive
CINF,Financial Services
WEC,Utilities
TXT,Industrials
CTAS,Industrials
PEG,Utilities
HAL,Energy
XEL,Utilities
ETR,Utilities
AEP,Utilities
NEE,Utilities
EQT,Energy
NOC,Industrials
RTN,
AEE,Utilities
CMA,Financial Services
OKE,Energy
CPB,Consumer Defensive
WHR,Consumer Cyclical
HRS,
CA,
F,Consumer Cyclical
DOV,Industrials
DIS,Communication Services
L,Financial Services
K,Consumer Defensive
VAR,Healthcare
HPQ,Technology
BAX,Healthcare
DUK,Utilities
XRX,Technology
PNW,Utilities
APD,Basic Materials
HES,Energy
ALK,Industrials
OMC,Communication Services
FLS,Industrials
HP,Energy
HRL,Consumer Defensive
MAS,Industrials
FITB,Financial Services
NUE,Basic Materials
OXY,Energy
RF,Financial Services
MTB,Financial Services
SHW,Basic Materials
BEN,Financial Services
AJG,Financial Services
WMB,Energy
WFC,Financial Services
NI,Utilities
APA,Energy
MAT,Consumer Cyclical
BDX,Healthcare
IFF,Basic Materials
TJX,Consumer Cyclical
CMI,Industrials
PH,Industrials
PKI,Healthcare
JCI,Industrials
SJM,Consumer Defensive
JBHT,Industrials
HBAN,Financial Services
SWK,Industrials
MCD,Consumer Cyclical
VFC,Consumer Cyclical
AVY,Industrials
ADP,Industrials
MMC,Financial Services
SWKS,Technology
CLX,Consumer Defensive
GPC,Consumer Cyclical
KLAC,Technology
JPM,Financial Services
LRCX,Technology
MCO,Financial Services
HUM,Healthcare
UNP,Industrials
LNC,Financial Services
TGT,Consumer Defensive
HRB,Consumer Cyclical
BK,Financial Services
DHR,Healthcare
RRC,Energy
LLY,Healthcare
SYY,Consumer Defensive
MKC,Consumer Defensive
RHI,Industrials
JEC,
EFX,Industrials
GWW,Industrials
LEN,Consumer Cyclical
HAS,Consumer Cyclical
IPG,Communication Services
MU,Technology
PHM,Consumer Cyclical
WMT,Consumer Defensive
CAG,Consumer Defensive
ITW,Industrials
BLL,Consumer Cyclical
NKE,Consumer Cyclical
JWN,Consumer Cyclical
AFL,Financial Services
